Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,991,1001,1152.81,926.47
"Cash and Short Term Investments 769 811 980.1 687.35  Cash - - - -  Cash & Equivalents 769 811 980.1 687.35  Short Term Investments - - - -  Total Receivables, Net 145 128 114.35 188.59  Accounts Receivables - Trade, Net 145 128 114.35 188.59  Total Inventory 1 1 0.29 4.36  Prepaid Expenses 17 13 47.83 45.12  Other Current Assets, Total 59 48 10.23 1.06","Cash and Short Term Investments 769 811 980.1 687.35  Cash - - - -  Cash & Equivalents 769 811 980.1 687.35  Short Term Investments - - - -  Total Receivables, Net 145 128 114.35 188.59  Accounts Receivables - Trade, Net 145 128 114.35 188.59  Total Inventory 1 1 0.29 4.36  Prepaid Expenses 17 13 47.83 45.12  Other Current Assets, Total 59 48 10.23 1.06","Cash and Short Term Investments 769 811 980.1 687.35  Cash - - - -  Cash & Equivalents 769 811 980.1 687.35  Short Term Investments - - - -  Total Receivables, Net 145 128 114.35 188.59  Accounts Receivables - Trade, Net 145 128 114.35 188.59  Total Inventory 1 1 0.29 4.36  Prepaid Expenses 17 13 47.83 45.12  Other Current Assets, Total 59 48 10.23 1.06","Cash and Short Term Investments 769 811 980.1 687.35  Cash - - - -  Cash & Equivalents 769 811 980.1 687.35  Short Term Investments - - - -  Total Receivables, Net 145 128 114.35 188.59  Accounts Receivables - Trade, Net 145 128 114.35 188.59  Total Inventory 1 1 0.29 4.36  Prepaid Expenses 17 13 47.83 45.12  Other Current Assets, Total 59 48 10.23 1.06","Cash and Short Term Investments 769 811 980.1 687.35  Cash - - - -  Cash & Equivalents 769 811 980.1 687.35  Short Term Investments - - - -  Total Receivables, Net 145 128 114.35 188.59  Accounts Receivables - Trade, Net 145 128 114.35 188.59  Total Inventory 1 1 0.29 4.36  Prepaid Expenses 17 13 47.83 45.12  Other Current Assets, Total 59 48 10.23 1.06"
Cash and Short Term Investments,769,811,980.1,687.35
Cash,-,-,-,-
Cash & Equivalents,769,811,980.1,687.35
Short Term Investments,-,-,-,-
"Total Receivables, Net",145,128,114.35,188.59
"Accounts Receivables - Trade, Net",145,128,114.35,188.59
Total Inventory,1,1,0.29,4.36
Prepaid Expenses,17,13,47.83,45.12
"Other Current Assets, Total",59,48,10.23,1.06
Total Assets,1320,1354,1334.2,1123.5
"Property/Plant/Equipment, Total - Net 35 37 56.33 33.65  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - 55.19  Intangibles, Net 2 - 0.01 0.27  Long Term Investments 281 293 34.19 15.3  Note Receivable - Long Term - 17.5 23.5 -  Other Long Term Assets, Total - 3 67.36 92.62  Other Assets, Total -74 -59 - -","Property/Plant/Equipment, Total - Net 35 37 56.33 33.65  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - 55.19  Intangibles, Net 2 - 0.01 0.27  Long Term Investments 281 293 34.19 15.3  Note Receivable - Long Term - 17.5 23.5 -  Other Long Term Assets, Total - 3 67.36 92.62  Other Assets, Total -74 -59 - -","Property/Plant/Equipment, Total - Net 35 37 56.33 33.65  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - 55.19  Intangibles, Net 2 - 0.01 0.27  Long Term Investments 281 293 34.19 15.3  Note Receivable - Long Term - 17.5 23.5 -  Other Long Term Assets, Total - 3 67.36 92.62  Other Assets, Total -74 -59 - -","Property/Plant/Equipment, Total - Net 35 37 56.33 33.65  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - 55.19  Intangibles, Net 2 - 0.01 0.27  Long Term Investments 281 293 34.19 15.3  Note Receivable - Long Term - 17.5 23.5 -  Other Long Term Assets, Total - 3 67.36 92.62  Other Assets, Total -74 -59 - -","Property/Plant/Equipment, Total - Net 35 37 56.33 33.65  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - 55.19  Intangibles, Net 2 - 0.01 0.27  Long Term Investments 281 293 34.19 15.3  Note Receivable - Long Term - 17.5 23.5 -  Other Long Term Assets, Total - 3 67.36 92.62  Other Assets, Total -74 -59 - -"
"Property/Plant/Equipment, Total - Net",35,37,56.33,33.65
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",-,-,-,55.19
"Intangibles, Net",2,-,0.01,0.27
Long Term Investments,281,293,34.19,15.3
Note Receivable - Long Term,-,17.5,23.5,-
"Other Long Term Assets, Total",-,3,67.36,92.62
"Other Assets, Total",-74,-59,-,-
Total Current Liabilities,199,189,235.72,308.27
"Accounts Payable 14 15 15.05 38.42  Payable/Accrued - - - -  Accrued Expenses 51 48 73.91 94.77  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1 - - 13.25  Other Current liabilities, Total 133 126 146.77 161.83","Accounts Payable 14 15 15.05 38.42  Payable/Accrued - - - -  Accrued Expenses 51 48 73.91 94.77  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1 - - 13.25  Other Current liabilities, Total 133 126 146.77 161.83","Accounts Payable 14 15 15.05 38.42  Payable/Accrued - - - -  Accrued Expenses 51 48 73.91 94.77  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1 - - 13.25  Other Current liabilities, Total 133 126 146.77 161.83","Accounts Payable 14 15 15.05 38.42  Payable/Accrued - - - -  Accrued Expenses 51 48 73.91 94.77  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1 - - 13.25  Other Current liabilities, Total 133 126 146.77 161.83","Accounts Payable 14 15 15.05 38.42  Payable/Accrued - - - -  Accrued Expenses 51 48 73.91 94.77  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1 - - 13.25  Other Current liabilities, Total 133 126 146.77 161.83"
Accounts Payable,14,15,15.05,38.42
Payable/Accrued,-,-,-,-
