Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2934.83,3503,3214.15,2698.19
"Cash and Short Term Investments 2243.35 3120 2860.21 2153.49  Cash - - - -  Cash & Equivalents 2243.35 3116 2860.21 2153.49  Short Term Investments - 4 - -  Total Receivables, Net 93.19 121 225.74 456.26  Accounts Receivables - Trade, Net 93.19 121 225.74 456.26  Total Inventory - - - -  Prepaid Expenses 102.54 82 61.49 42.34  Other Current Assets, Total 495.74 180 66.72 46.09","Cash and Short Term Investments 2243.35 3120 2860.21 2153.49  Cash - - - -  Cash & Equivalents 2243.35 3116 2860.21 2153.49  Short Term Investments - 4 - -  Total Receivables, Net 93.19 121 225.74 456.26  Accounts Receivables - Trade, Net 93.19 121 225.74 456.26  Total Inventory - - - -  Prepaid Expenses 102.54 82 61.49 42.34  Other Current Assets, Total 495.74 180 66.72 46.09","Cash and Short Term Investments 2243.35 3120 2860.21 2153.49  Cash - - - -  Cash & Equivalents 2243.35 3116 2860.21 2153.49  Short Term Investments - 4 - -  Total Receivables, Net 93.19 121 225.74 456.26  Accounts Receivables - Trade, Net 93.19 121 225.74 456.26  Total Inventory - - - -  Prepaid Expenses 102.54 82 61.49 42.34  Other Current Assets, Total 495.74 180 66.72 46.09","Cash and Short Term Investments 2243.35 3120 2860.21 2153.49  Cash - - - -  Cash & Equivalents 2243.35 3116 2860.21 2153.49  Short Term Investments - 4 - -  Total Receivables, Net 93.19 121 225.74 456.26  Accounts Receivables - Trade, Net 93.19 121 225.74 456.26  Total Inventory - - - -  Prepaid Expenses 102.54 82 61.49 42.34  Other Current Assets, Total 495.74 180 66.72 46.09","Cash and Short Term Investments 2243.35 3120 2860.21 2153.49  Cash - - - -  Cash & Equivalents 2243.35 3116 2860.21 2153.49  Short Term Investments - 4 - -  Total Receivables, Net 93.19 121 225.74 456.26  Accounts Receivables - Trade, Net 93.19 121 225.74 456.26  Total Inventory - - - -  Prepaid Expenses 102.54 82 61.49 42.34  Other Current Assets, Total 495.74 180 66.72 46.09"
Cash and Short Term Investments,2243.35,3120,2860.21,2153.49
Cash,-,-,-,-
Cash & Equivalents,2243.35,3116,2860.21,2153.49
Short Term Investments,-,4,-,-
"Total Receivables, Net",93.19,121,225.74,456.26
"Accounts Receivables - Trade, Net",93.19,121,225.74,456.26
Total Inventory,-,-,-,-
Prepaid Expenses,102.54,82,61.49,42.34
"Other Current Assets, Total",495.74,180,66.72,46.09
Total Assets,6835.1,6343,4468.58,3557.86
