Period Ending:,202330/04,202231/10,202230/04,202131/10
Total Current Assets,28069.52,28311,27793,38523.89
"Cash and Short Term Investments 10950.12 11416 11154 23040.3  Cash - - - -  Cash & Equivalents 10950.12 11416 11154 23040.3  Short Term Investments - - - -  Total Receivables, Net 188.97 196 187 162.11  Accounts Receivables - Trade, Net 187.73 196 187 162.11  Total Inventory - - - -  Prepaid Expenses - - - 234.97  Other Current Assets, Total 16930.42 16699 16452 15086.52","Cash and Short Term Investments 10950.12 11416 11154 23040.3  Cash - - - -  Cash & Equivalents 10950.12 11416 11154 23040.3  Short Term Investments - - - -  Total Receivables, Net 188.97 196 187 162.11  Accounts Receivables - Trade, Net 187.73 196 187 162.11  Total Inventory - - - -  Prepaid Expenses - - - 234.97  Other Current Assets, Total 16930.42 16699 16452 15086.52","Cash and Short Term Investments 10950.12 11416 11154 23040.3  Cash - - - -  Cash & Equivalents 10950.12 11416 11154 23040.3  Short Term Investments - - - -  Total Receivables, Net 188.97 196 187 162.11  Accounts Receivables - Trade, Net 187.73 196 187 162.11  Total Inventory - - - -  Prepaid Expenses - - - 234.97  Other Current Assets, Total 16930.42 16699 16452 15086.52","Cash and Short Term Investments 10950.12 11416 11154 23040.3  Cash - - - -  Cash & Equivalents 10950.12 11416 11154 23040.3  Short Term Investments - - - -  Total Receivables, Net 188.97 196 187 162.11  Accounts Receivables - Trade, Net 187.73 196 187 162.11  Total Inventory - - - -  Prepaid Expenses - - - 234.97  Other Current Assets, Total 16930.42 16699 16452 15086.52","Cash and Short Term Investments 10950.12 11416 11154 23040.3  Cash - - - -  Cash & Equivalents 10950.12 11416 11154 23040.3  Short Term Investments - - - -  Total Receivables, Net 188.97 196 187 162.11  Accounts Receivables - Trade, Net 187.73 196 187 162.11  Total Inventory - - - -  Prepaid Expenses - - - 234.97  Other Current Assets, Total 16930.42 16699 16452 15086.52"
Cash and Short Term Investments,10950.12,11416,11154,23040.3
Cash,-,-,-,-
Cash & Equivalents,10950.12,11416,11154,23040.3
Short Term Investments,-,-,-,-
"Total Receivables, Net",188.97,196,187,162.11
"Accounts Receivables - Trade, Net",187.73,196,187,162.11
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,234.97
"Other Current Assets, Total",16930.42,16699,16452,15086.52
Total Assets,569205.17,570999,579931,555645
"Property/Plant/Equipment, Total - Net 532009.48 542547 551966 2452.58  Property/Plant/Equipment, Total - Gross 559065.68 - - 2941.84  Accumulated Depreciation, Total -27056.21 - - -489.27  Goodwill, Net - - - -  Intangibles, Net 5987.74 - - 2377.41  Long Term Investments 684.91 - - 510379.59  Note Receivable - Long Term 1.24 - - -  Other Long Term Assets, Total 2334.13 141 172 1911.53  Other Assets, Total 16860.85 16503 16265 -","Property/Plant/Equipment, Total - Net 532009.48 542547 551966 2452.58  Property/Plant/Equipment, Total - Gross 559065.68 - - 2941.84  Accumulated Depreciation, Total -27056.21 - - -489.27  Goodwill, Net - - - -  Intangibles, Net 5987.74 - - 2377.41  Long Term Investments 684.91 - - 510379.59  Note Receivable - Long Term 1.24 - - -  Other Long Term Assets, Total 2334.13 141 172 1911.53  Other Assets, Total 16860.85 16503 16265 -","Property/Plant/Equipment, Total - Net 532009.48 542547 551966 2452.58  Property/Plant/Equipment, Total - Gross 559065.68 - - 2941.84  Accumulated Depreciation, Total -27056.21 - - -489.27  Goodwill, Net - - - -  Intangibles, Net 5987.74 - - 2377.41  Long Term Investments 684.91 - - 510379.59  Note Receivable - Long Term 1.24 - - -  Other Long Term Assets, Total 2334.13 141 172 1911.53  Other Assets, Total 16860.85 16503 16265 -","Property/Plant/Equipment, Total - Net 532009.48 542547 551966 2452.58  Property/Plant/Equipment, Total - Gross 559065.68 - - 2941.84  Accumulated Depreciation, Total -27056.21 - - -489.27  Goodwill, Net - - - -  Intangibles, Net 5987.74 - - 2377.41  Long Term Investments 684.91 - - 510379.59  Note Receivable - Long Term 1.24 - - -  Other Long Term Assets, Total 2334.13 141 172 1911.53  Other Assets, Total 16860.85 16503 16265 -","Property/Plant/Equipment, Total - Net 532009.48 542547 551966 2452.58  Property/Plant/Equipment, Total - Gross 559065.68 - - 2941.84  Accumulated Depreciation, Total -27056.21 - - -489.27  Goodwill, Net - - - -  Intangibles, Net 5987.74 - - 2377.41  Long Term Investments 684.91 - - 510379.59  Note Receivable - Long Term 1.24 - - -  Other Long Term Assets, Total 2334.13 141 172 1911.53  Other Assets, Total 16860.85 16503 16265 -"
"Property/Plant/Equipment, Total - Net",532009.48,542547,551966,2452.58
"Property/Plant/Equipment, Total - Gross",559065.68,-,-,2941.84
"Accumulated Depreciation, Total",-27056.21,-,-,-489.27
"Goodwill, Net",-,-,-,-
"Intangibles, Net",5987.74,-,-,2377.41
Long Term Investments,684.91,-,-,510379.59
Note Receivable - Long Term,1.24,-,-,-
"Other Long Term Assets, Total",2334.13,141,172,1911.53
"Other Assets, Total",16860.85,16503,16265,-
Total Current Liabilities,46014.96,42927,43027,46281.71
