Period Ending:,202228/02,202128/02,202029/02,201928/02
Total Current Assets,46221,50402,29818,28318
"Cash and Short Term Investments 5866 10511 3150 2438  Cash - - - -  Cash & Equivalents 5866 10511 3150 2438  Short Term Investments - - - -  Total Receivables, Net 12207 10484 5079 3705  Accounts Receivables - Trade, Net 2476 2407 1606 1325  Total Inventory 26486 27409 20238 20890  Prepaid Expenses 1422 1437 717 661  Other Current Assets, Total 240 561 634 624","Cash and Short Term Investments 5866 10511 3150 2438  Cash - - - -  Cash & Equivalents 5866 10511 3150 2438  Short Term Investments - - - -  Total Receivables, Net 12207 10484 5079 3705  Accounts Receivables - Trade, Net 2476 2407 1606 1325  Total Inventory 26486 27409 20238 20890  Prepaid Expenses 1422 1437 717 661  Other Current Assets, Total 240 561 634 624","Cash and Short Term Investments 5866 10511 3150 2438  Cash - - - -  Cash & Equivalents 5866 10511 3150 2438  Short Term Investments - - - -  Total Receivables, Net 12207 10484 5079 3705  Accounts Receivables - Trade, Net 2476 2407 1606 1325  Total Inventory 26486 27409 20238 20890  Prepaid Expenses 1422 1437 717 661  Other Current Assets, Total 240 561 634 624","Cash and Short Term Investments 5866 10511 3150 2438  Cash - - - -  Cash & Equivalents 5866 10511 3150 2438  Short Term Investments - - - -  Total Receivables, Net 12207 10484 5079 3705  Accounts Receivables - Trade, Net 2476 2407 1606 1325  Total Inventory 26486 27409 20238 20890  Prepaid Expenses 1422 1437 717 661  Other Current Assets, Total 240 561 634 624","Cash and Short Term Investments 5866 10511 3150 2438  Cash - - - -  Cash & Equivalents 5866 10511 3150 2438  Short Term Investments - - - -  Total Receivables, Net 12207 10484 5079 3705  Accounts Receivables - Trade, Net 2476 2407 1606 1325  Total Inventory 26486 27409 20238 20890  Prepaid Expenses 1422 1437 717 661  Other Current Assets, Total 240 561 634 624"
Cash and Short Term Investments,5866,10511,3150,2438
Cash,-,-,-,-
Cash & Equivalents,5866,10511,3150,2438
Short Term Investments,-,-,-,-
"Total Receivables, Net",12207,10484,5079,3705
"Accounts Receivables - Trade, Net",2476,2407,1606,1325
Total Inventory,26486,27409,20238,20890
Prepaid Expenses,1422,1437,717,661
