Period Ending:,202231/08,202131/08,202031/08,201931/08
Total Current Assets,22489,20619.09,13719.78,14720.26
"Cash and Short Term Investments 1275 1806.02 2090.27 2067.83  Cash - - - -  Cash & Equivalents 1275 1806.02 2090.27 2015.63  Short Term Investments - - - 52.2  Total Receivables, Net 12178 10512.93 5975.67 6523.81  Accounts Receivables - Trade, Net 10682 9817.93 5236.53 5664.67  Total Inventory 6771 6981.13 4782.59 5517.12  Prepaid Expenses - 1150.82 788.07 526.24  Other Current Assets, Total 2265 168.2 83.17 85.27","Cash and Short Term Investments 1275 1806.02 2090.27 2067.83  Cash - - - -  Cash & Equivalents 1275 1806.02 2090.27 2015.63  Short Term Investments - - - 52.2  Total Receivables, Net 12178 10512.93 5975.67 6523.81  Accounts Receivables - Trade, Net 10682 9817.93 5236.53 5664.67  Total Inventory 6771 6981.13 4782.59 5517.12  Prepaid Expenses - 1150.82 788.07 526.24  Other Current Assets, Total 2265 168.2 83.17 85.27","Cash and Short Term Investments 1275 1806.02 2090.27 2067.83  Cash - - - -  Cash & Equivalents 1275 1806.02 2090.27 2015.63  Short Term Investments - - - 52.2  Total Receivables, Net 12178 10512.93 5975.67 6523.81  Accounts Receivables - Trade, Net 10682 9817.93 5236.53 5664.67  Total Inventory 6771 6981.13 4782.59 5517.12  Prepaid Expenses - 1150.82 788.07 526.24  Other Current Assets, Total 2265 168.2 83.17 85.27","Cash and Short Term Investments 1275 1806.02 2090.27 2067.83  Cash - - - -  Cash & Equivalents 1275 1806.02 2090.27 2015.63  Short Term Investments - - - 52.2  Total Receivables, Net 12178 10512.93 5975.67 6523.81  Accounts Receivables - Trade, Net 10682 9817.93 5236.53 5664.67  Total Inventory 6771 6981.13 4782.59 5517.12  Prepaid Expenses - 1150.82 788.07 526.24  Other Current Assets, Total 2265 168.2 83.17 85.27","Cash and Short Term Investments 1275 1806.02 2090.27 2067.83  Cash - - - -  Cash & Equivalents 1275 1806.02 2090.27 2015.63  Short Term Investments - - - 52.2  Total Receivables, Net 12178 10512.93 5975.67 6523.81  Accounts Receivables - Trade, Net 10682 9817.93 5236.53 5664.67  Total Inventory 6771 6981.13 4782.59 5517.12  Prepaid Expenses - 1150.82 788.07 526.24  Other Current Assets, Total 2265 168.2 83.17 85.27"
Cash and Short Term Investments,1275,1806.02,2090.27,2067.83
Cash,-,-,-,-
Cash & Equivalents,1275,1806.02,2090.27,2015.63
Short Term Investments,-,-,-,52.2
"Total Receivables, Net",12178,10512.93,5975.67,6523.81
"Accounts Receivables - Trade, Net",10682,9817.93,5236.53,5664.67
Total Inventory,6771,6981.13,4782.59,5517.12
Prepaid Expenses,-,1150.82,788.07,526.24
"Other Current Assets, Total",2265,168.2,83.17,85.27
Total Assets,25725,23640.54,16735.92,17832.35
"Property/Plant/Equipment, Total - Net 2434 2282.84 2351.59 2403.9  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 51 32.64 12.26 12.94  Long Term Investments 720 576.61 566.82 532.04  Note Receivable - Long Term 1496 - - -  Other Long Term Assets, Total 1 129.36 85.46 163.19  Other Assets, Total -3112 - - -","Property/Plant/Equipment, Total - Net 2434 2282.84 2351.59 2403.9  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 51 32.64 12.26 12.94  Long Term Investments 720 576.61 566.82 532.04  Note Receivable - Long Term 1496 - - -  Other Long Term Assets, Total 1 129.36 85.46 163.19  Other Assets, Total -3112 - - -","Property/Plant/Equipment, Total - Net 2434 2282.84 2351.59 2403.9  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 51 32.64 12.26 12.94  Long Term Investments 720 576.61 566.82 532.04  Note Receivable - Long Term 1496 - - -  Other Long Term Assets, Total 1 129.36 85.46 163.19  Other Assets, Total -3112 - - -","Property/Plant/Equipment, Total - Net 2434 2282.84 2351.59 2403.9  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 51 32.64 12.26 12.94  Long Term Investments 720 576.61 566.82 532.04  Note Receivable - Long Term 1496 - - -  Other Long Term Assets, Total 1 129.36 85.46 163.19  Other Assets, Total -3112 - - -","Property/Plant/Equipment, Total - Net 2434 2282.84 2351.59 2403.9  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 51 32.64 12.26 12.94  Long Term Investments 720 576.61 566.82 532.04  Note Receivable - Long Term 1496 - - -  Other Long Term Assets, Total 1 129.36 85.46 163.19  Other Assets, Total -3112 - - -"
"Property/Plant/Equipment, Total - Net",2434,2282.84,2351.59,2403.9
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",51,32.64,12.26,12.94
Long Term Investments,720,576.61,566.82,532.04
Note Receivable - Long Term,1496,-,-,-
"Other Long Term Assets, Total",1,129.36,85.46,163.19
"Other Assets, Total",-3112,-,-,-
Total Current Liabilities,13961,12450.4,7143.4,8489.23
"Accounts Payable 2214 2153.99 1055.66 1528.86  Payable/Accrued - - - -  Accrued Expenses 21 56.74 33.4 21.4  Notes Payable/Short Term Debt 9909 7779.2 4292.88 5458.14  Current Port. of LT Debt/Capital Leases 1300 1314.98 1175.01 1160.58  Other Current liabilities, Total 517 1145.49 586.44 320.25","Accounts Payable 2214 2153.99 1055.66 1528.86  Payable/Accrued - - - -  Accrued Expenses 21 56.74 33.4 21.4  Notes Payable/Short Term Debt 9909 7779.2 4292.88 5458.14  Current Port. of LT Debt/Capital Leases 1300 1314.98 1175.01 1160.58  Other Current liabilities, Total 517 1145.49 586.44 320.25","Accounts Payable 2214 2153.99 1055.66 1528.86  Payable/Accrued - - - -  Accrued Expenses 21 56.74 33.4 21.4  Notes Payable/Short Term Debt 9909 7779.2 4292.88 5458.14  Current Port. of LT Debt/Capital Leases 1300 1314.98 1175.01 1160.58  Other Current liabilities, Total 517 1145.49 586.44 320.25","Accounts Payable 2214 2153.99 1055.66 1528.86  Payable/Accrued - - - -  Accrued Expenses 21 56.74 33.4 21.4  Notes Payable/Short Term Debt 9909 7779.2 4292.88 5458.14  Current Port. of LT Debt/Capital Leases 1300 1314.98 1175.01 1160.58  Other Current liabilities, Total 517 1145.49 586.44 320.25","Accounts Payable 2214 2153.99 1055.66 1528.86  Payable/Accrued - - - -  Accrued Expenses 21 56.74 33.4 21.4  Notes Payable/Short Term Debt 9909 7779.2 4292.88 5458.14  Current Port. of LT Debt/Capital Leases 1300 1314.98 1175.01 1160.58  Other Current liabilities, Total 517 1145.49 586.44 320.25"
Accounts Payable,2214,2153.99,1055.66,1528.86
Payable/Accrued,-,-,-,-
Accrued Expenses,21,56.74,33.4,21.4
Notes Payable/Short Term Debt,9909,7779.2,4292.88,5458.14
Current Port. of LT Debt/Capital Leases,1300,1314.98,1175.01,1160.58
"Other Current liabilities, Total",517,1145.49,586.44,320.25
Total Liabilities,16507,14959.27,9189.42,10492.16
"Total Long Term Debt 2418 2388.02 1935.93 1900.33  Long Term Debt 2418 2388.02 1935.93 1900.33  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -23408.46 120.85 110.1 102.6","Total Long Term Debt 2418 2388.02 1935.93 1900.33  Long Term Debt 2418 2388.02 1935.93 1900.33  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -23408.46 120.85 110.1 102.6","Total Long Term Debt 2418 2388.02 1935.93 1900.33  Long Term Debt 2418 2388.02 1935.93 1900.33  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -23408.46 120.85 110.1 102.6","Total Long Term Debt 2418 2388.02 1935.93 1900.33  Long Term Debt 2418 2388.02 1935.93 1900.33  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -23408.46 120.85 110.1 102.6","Total Long Term Debt 2418 2388.02 1935.93 1900.33  Long Term Debt 2418 2388.02 1935.93 1900.33  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -23408.46 120.85 110.1 102.6"
Total Long Term Debt,2418,2388.02,1935.93,1900.33
Long Term Debt,2418,2388.02,1935.93,1900.33
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-23408.46,120.85,110.1,102.6
Total Equity,9218,8681.27,7546.49,7340.19
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1000 1000 1000 1000  Additional Paid-In Capital 695 690.56 685.4 685.82  Retained Earnings (Accumulated Deficit) 7286 6987.65 5846.66 5680.76  Treasury Stock - Common -52 -65.8 -78.33 -88.62  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.96 22.39 -8.86  Other Equity, Total 289 73.81 70.38 71.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1000 1000 1000 1000  Additional Paid-In Capital 695 690.56 685.4 685.82  Retained Earnings (Accumulated Deficit) 7286 6987.65 5846.66 5680.76  Treasury Stock - Common -52 -65.8 -78.33 -88.62  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.96 22.39 -8.86  Other Equity, Total 289 73.81 70.38 71.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1000 1000 1000 1000  Additional Paid-In Capital 695 690.56 685.4 685.82  Retained Earnings (Accumulated Deficit) 7286 6987.65 5846.66 5680.76  Treasury Stock - Common -52 -65.8 -78.33 -88.62  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.96 22.39 -8.86  Other Equity, Total 289 73.81 70.38 71.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1000 1000 1000 1000  Additional Paid-In Capital 695 690.56 685.4 685.82  Retained Earnings (Accumulated Deficit) 7286 6987.65 5846.66 5680.76  Treasury Stock - Common -52 -65.8 -78.33 -88.62  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.96 22.39 -8.86  Other Equity, Total 289 73.81 70.38 71.08","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1000 1000 1000 1000  Additional Paid-In Capital 695 690.56 685.4 685.82  Retained Earnings (Accumulated Deficit) 7286 6987.65 5846.66 5680.76  Treasury Stock - Common -52 -65.8 -78.33 -88.62  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - -4.96 22.39 -8.86  Other Equity, Total 289 73.81 70.38 71.08"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",1000,1000,1000,1000
Additional Paid-In Capital,695,690.56,685.4,685.82
Retained Earnings (Accumulated Deficit),7286,6987.65,5846.66,5680.76
Treasury Stock - Common,-52,-65.8,-78.33,-88.62
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-4.96,22.39,-8.86
"Other Equity, Total",289,73.81,70.38,71.08
Total Liabilities & Shareholders' Equity,25725,23640.54,16735.92,17832.35
Total Common Shares Outstanding,14.23,14.2,14.17,14.15
Total Preferred Shares Outstanding,-,-,-,-
