Period Ending:,202230/11,202130/11,202030/11,201930/11
Total Current Assets,2941,2240,2056,1793
"Cash and Short Term Investments 1699 1079 932 903  Cash - - - -  Cash & Equivalents 1699 1079 932 903  Short Term Investments - - - -  Total Receivables, Net 706 633 664 683  Accounts Receivables - Trade, Net 705 600 640 670  Total Inventory 467 453 374 112  Prepaid Expenses 64 69 75 92  Other Current Assets, Total 5 6 11 3","Cash and Short Term Investments 1699 1079 932 903  Cash - - - -  Cash & Equivalents 1699 1079 932 903  Short Term Investments - - - -  Total Receivables, Net 706 633 664 683  Accounts Receivables - Trade, Net 705 600 640 670  Total Inventory 467 453 374 112  Prepaid Expenses 64 69 75 92  Other Current Assets, Total 5 6 11 3","Cash and Short Term Investments 1699 1079 932 903  Cash - - - -  Cash & Equivalents 1699 1079 932 903  Short Term Investments - - - -  Total Receivables, Net 706 633 664 683  Accounts Receivables - Trade, Net 705 600 640 670  Total Inventory 467 453 374 112  Prepaid Expenses 64 69 75 92  Other Current Assets, Total 5 6 11 3","Cash and Short Term Investments 1699 1079 932 903  Cash - - - -  Cash & Equivalents 1699 1079 932 903  Short Term Investments - - - -  Total Receivables, Net 706 633 664 683  Accounts Receivables - Trade, Net 705 600 640 670  Total Inventory 467 453 374 112  Prepaid Expenses 64 69 75 92  Other Current Assets, Total 5 6 11 3","Cash and Short Term Investments 1699 1079 932 903  Cash - - - -  Cash & Equivalents 1699 1079 932 903  Short Term Investments - - - -  Total Receivables, Net 706 633 664 683  Accounts Receivables - Trade, Net 705 600 640 670  Total Inventory 467 453 374 112  Prepaid Expenses 64 69 75 92  Other Current Assets, Total 5 6 11 3"
Cash and Short Term Investments,1699,1079,932,903
Cash,-,-,-,-
Cash & Equivalents,1699,1079,932,903
Short Term Investments,-,-,-,-
"Total Receivables, Net",706,633,664,683
"Accounts Receivables - Trade, Net",705,600,640,670
Total Inventory,467,453,374,112
Prepaid Expenses,64,69,75,92
"Other Current Assets, Total",5,6,11,3
Total Assets,3440,2824,2638,2402
"Property/Plant/Equipment, Total - Net 115 112 118 148  Property/Plant/Equipment, Total - Gross - 429 424 456  Accumulated Depreciation, Total - -316 -305 -308  Goodwill, Net - - - -  Intangibles, Net 36 159 121 117  Long Term Investments 255 244 127 109  Note Receivable - Long Term 1 33 - -  Other Long Term Assets, Total 2 1 216 235  Other Assets, Total -143 -106 - -","Property/Plant/Equipment, Total - Net 115 112 118 148  Property/Plant/Equipment, Total - Gross - 429 424 456  Accumulated Depreciation, Total - -316 -305 -308  Goodwill, Net - - - -  Intangibles, Net 36 159 121 117  Long Term Investments 255 244 127 109  Note Receivable - Long Term 1 33 - -  Other Long Term Assets, Total 2 1 216 235  Other Assets, Total -143 -106 - -","Property/Plant/Equipment, Total - Net 115 112 118 148  Property/Plant/Equipment, Total - Gross - 429 424 456  Accumulated Depreciation, Total - -316 -305 -308  Goodwill, Net - - - -  Intangibles, Net 36 159 121 117  Long Term Investments 255 244 127 109  Note Receivable - Long Term 1 33 - -  Other Long Term Assets, Total 2 1 216 235  Other Assets, Total -143 -106 - -","Property/Plant/Equipment, Total - Net 115 112 118 148  Property/Plant/Equipment, Total - Gross - 429 424 456  Accumulated Depreciation, Total - -316 -305 -308  Goodwill, Net - - - -  Intangibles, Net 36 159 121 117  Long Term Investments 255 244 127 109  Note Receivable - Long Term 1 33 - -  Other Long Term Assets, Total 2 1 216 235  Other Assets, Total -143 -106 - -","Property/Plant/Equipment, Total - Net 115 112 118 148  Property/Plant/Equipment, Total - Gross - 429 424 456  Accumulated Depreciation, Total - -316 -305 -308  Goodwill, Net - - - -  Intangibles, Net 36 159 121 117  Long Term Investments 255 244 127 109  Note Receivable - Long Term 1 33 - -  Other Long Term Assets, Total 2 1 216 235  Other Assets, Total -143 -106 - -"
"Property/Plant/Equipment, Total - Net",115,112,118,148
"Property/Plant/Equipment, Total - Gross",-,429,424,456
"Accumulated Depreciation, Total",-,-316,-305,-308
"Goodwill, Net",-,-,-,-
"Intangibles, Net",36,159,121,117
Long Term Investments,255,244,127,109
Note Receivable - Long Term,1,33,-,-
"Other Long Term Assets, Total",2,1,216,235
"Other Assets, Total",-143,-106,-,-
Total Current Liabilities,1546,1295,1044,811
"Accounts Payable 78 28 103 64  Payable/Accrued - - - -  Accrued Expenses 257 136 171 257  Notes Payable/Short Term Debt 350 350 249 107  Current Port. of LT Debt/Capital Leases 66 77 100 110  Other Current liabilities, Total 795 704 421 273","Accounts Payable 78 28 103 64  Payable/Accrued - - - -  Accrued Expenses 257 136 171 257  Notes Payable/Short Term Debt 350 350 249 107  Current Port. of LT Debt/Capital Leases 66 77 100 110  Other Current liabilities, Total 795 704 421 273","Accounts Payable 78 28 103 64  Payable/Accrued - - - -  Accrued Expenses 257 136 171 257  Notes Payable/Short Term Debt 350 350 249 107  Current Port. of LT Debt/Capital Leases 66 77 100 110  Other Current liabilities, Total 795 704 421 273","Accounts Payable 78 28 103 64  Payable/Accrued - - - -  Accrued Expenses 257 136 171 257  Notes Payable/Short Term Debt 350 350 249 107  Current Port. of LT Debt/Capital Leases 66 77 100 110  Other Current liabilities, Total 795 704 421 273","Accounts Payable 78 28 103 64  Payable/Accrued - - - -  Accrued Expenses 257 136 171 257  Notes Payable/Short Term Debt 350 350 249 107  Current Port. of LT Debt/Capital Leases 66 77 100 110  Other Current liabilities, Total 795 704 421 273"
Accounts Payable,78,28,103,64
Payable/Accrued,-,-,-,-
Accrued Expenses,257,136,171,257
Notes Payable/Short Term Debt,350,350,249,107
Current Port. of LT Debt/Capital Leases,66,77,100,110
"Other Current liabilities, Total",795,704,421,273
Total Liabilities,1738,1463,1188,888
"Total Long Term Debt 163 140 116 44  Long Term Debt 162 138 116 44  Capital Lease Obligations 1 2 - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -649 -637 28 33","Total Long Term Debt 163 140 116 44  Long Term Debt 162 138 116 44  Capital Lease Obligations 1 2 - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -649 -637 28 33","Total Long Term Debt 163 140 116 44  Long Term Debt 162 138 116 44  Capital Lease Obligations 1 2 - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -649 -637 28 33","Total Long Term Debt 163 140 116 44  Long Term Debt 162 138 116 44  Capital Lease Obligations 1 2 - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -649 -637 28 33","Total Long Term Debt 163 140 116 44  Long Term Debt 162 138 116 44  Capital Lease Obligations 1 2 - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -649 -637 28 33"
Total Long Term Debt,163,140,116,44
Long Term Debt,162,138,116,44
Capital Lease Obligations,1,2,-,-
