Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2216,2360,2845.6,2777.3
"Cash and Short Term Investments 1295 1600 2048.85 2032.91  Cash - - - -  Cash & Equivalents 1295 1600 2037.9 2032.91  Short Term Investments - - 10.95 -  Total Receivables, Net 805 640 660.38 661.48  Accounts Receivables - Trade, Net 508 358 419.37 439.52  Total Inventory - 3 9.54 2.18  Prepaid Expenses 45 42 36.43 39.24  Other Current Assets, Total 71 75 90.39 41.49","Cash and Short Term Investments 1295 1600 2048.85 2032.91  Cash - - - -  Cash & Equivalents 1295 1600 2037.9 2032.91  Short Term Investments - - 10.95 -  Total Receivables, Net 805 640 660.38 661.48  Accounts Receivables - Trade, Net 508 358 419.37 439.52  Total Inventory - 3 9.54 2.18  Prepaid Expenses 45 42 36.43 39.24  Other Current Assets, Total 71 75 90.39 41.49","Cash and Short Term Investments 1295 1600 2048.85 2032.91  Cash - - - -  Cash & Equivalents 1295 1600 2037.9 2032.91  Short Term Investments - - 10.95 -  Total Receivables, Net 805 640 660.38 661.48  Accounts Receivables - Trade, Net 508 358 419.37 439.52  Total Inventory - 3 9.54 2.18  Prepaid Expenses 45 42 36.43 39.24  Other Current Assets, Total 71 75 90.39 41.49","Cash and Short Term Investments 1295 1600 2048.85 2032.91  Cash - - - -  Cash & Equivalents 1295 1600 2037.9 2032.91  Short Term Investments - - 10.95 -  Total Receivables, Net 805 640 660.38 661.48  Accounts Receivables - Trade, Net 508 358 419.37 439.52  Total Inventory - 3 9.54 2.18  Prepaid Expenses 45 42 36.43 39.24  Other Current Assets, Total 71 75 90.39 41.49","Cash and Short Term Investments 1295 1600 2048.85 2032.91  Cash - - - -  Cash & Equivalents 1295 1600 2037.9 2032.91  Short Term Investments - - 10.95 -  Total Receivables, Net 805 640 660.38 661.48  Accounts Receivables - Trade, Net 508 358 419.37 439.52  Total Inventory - 3 9.54 2.18  Prepaid Expenses 45 42 36.43 39.24  Other Current Assets, Total 71 75 90.39 41.49"
Cash and Short Term Investments,1295,1600,2048.85,2032.91
Cash,-,-,-,-
Cash & Equivalents,1295,1600,2037.9,2032.91
Short Term Investments,-,-,10.95,-
"Total Receivables, Net",805,640,660.38,661.48
"Accounts Receivables - Trade, Net",508,358,419.37,439.52
Total Inventory,-,3,9.54,2.18
Prepaid Expenses,45,42,36.43,39.24
"Other Current Assets, Total",71,75,90.39,41.49
Total Assets,3073,2840,3433.34,3145.39
