Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,266162,259626,229117,187784
"Cash and Short Term Investments 87388 112276 97184 70436  Cash - - - -  Cash & Equivalents 87388 102005 90294 60163  Short Term Investments - 10271 6890 10273  Total Receivables, Net 103575 90322 86581 80637  Accounts Receivables - Trade, Net 101483 89600 78226 75326  Total Inventory 57187 47638 40901 32454  Prepaid Expenses - 1890 2823 2761  Other Current Assets, Total 18012 7500 1628 1496","Cash and Short Term Investments 87388 112276 97184 70436  Cash - - - -  Cash & Equivalents 87388 102005 90294 60163  Short Term Investments - 10271 6890 10273  Total Receivables, Net 103575 90322 86581 80637  Accounts Receivables - Trade, Net 101483 89600 78226 75326  Total Inventory 57187 47638 40901 32454  Prepaid Expenses - 1890 2823 2761  Other Current Assets, Total 18012 7500 1628 1496","Cash and Short Term Investments 87388 112276 97184 70436  Cash - - - -  Cash & Equivalents 87388 102005 90294 60163  Short Term Investments - 10271 6890 10273  Total Receivables, Net 103575 90322 86581 80637  Accounts Receivables - Trade, Net 101483 89600 78226 75326  Total Inventory 57187 47638 40901 32454  Prepaid Expenses - 1890 2823 2761  Other Current Assets, Total 18012 7500 1628 1496","Cash and Short Term Investments 87388 112276 97184 70436  Cash - - - -  Cash & Equivalents 87388 102005 90294 60163  Short Term Investments - 10271 6890 10273  Total Receivables, Net 103575 90322 86581 80637  Accounts Receivables - Trade, Net 101483 89600 78226 75326  Total Inventory 57187 47638 40901 32454  Prepaid Expenses - 1890 2823 2761  Other Current Assets, Total 18012 7500 1628 1496","Cash and Short Term Investments 87388 112276 97184 70436  Cash - - - -  Cash & Equivalents 87388 102005 90294 60163  Short Term Investments - 10271 6890 10273  Total Receivables, Net 103575 90322 86581 80637  Accounts Receivables - Trade, Net 101483 89600 78226 75326  Total Inventory 57187 47638 40901 32454  Prepaid Expenses - 1890 2823 2761  Other Current Assets, Total 18012 7500 1628 1496"
Cash and Short Term Investments,87388,112276,97184,70436
Cash,-,-,-,-
Cash & Equivalents,87388,102005,90294,60163
Short Term Investments,-,10271,6890,10273
"Total Receivables, Net",103575,90322,86581,80637
"Accounts Receivables - Trade, Net",101483,89600,78226,75326
Total Inventory,57187,47638,40901,32454
Prepaid Expenses,-,1890,2823,2761
