Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,4725,3911.86,3806.06,4134.21
"Cash and Short Term Investments 2851 2761.17 2819.66 2830.8  Cash - - - -  Cash & Equivalents 2851 2761.17 2819.66 2830.8  Short Term Investments - - - -  Total Receivables, Net 1580 936.74 587.82 1072.87  Accounts Receivables - Trade, Net 1580 905.8 587.29 1070.46  Total Inventory 221 156.81 344.13 175.64  Prepaid Expenses 64 55.61 53.13 54.1  Other Current Assets, Total 9 1.53 1.32 0.8","Cash and Short Term Investments 2851 2761.17 2819.66 2830.8  Cash - - - -  Cash & Equivalents 2851 2761.17 2819.66 2830.8  Short Term Investments - - - -  Total Receivables, Net 1580 936.74 587.82 1072.87  Accounts Receivables - Trade, Net 1580 905.8 587.29 1070.46  Total Inventory 221 156.81 344.13 175.64  Prepaid Expenses 64 55.61 53.13 54.1  Other Current Assets, Total 9 1.53 1.32 0.8","Cash and Short Term Investments 2851 2761.17 2819.66 2830.8  Cash - - - -  Cash & Equivalents 2851 2761.17 2819.66 2830.8  Short Term Investments - - - -  Total Receivables, Net 1580 936.74 587.82 1072.87  Accounts Receivables - Trade, Net 1580 905.8 587.29 1070.46  Total Inventory 221 156.81 344.13 175.64  Prepaid Expenses 64 55.61 53.13 54.1  Other Current Assets, Total 9 1.53 1.32 0.8","Cash and Short Term Investments 2851 2761.17 2819.66 2830.8  Cash - - - -  Cash & Equivalents 2851 2761.17 2819.66 2830.8  Short Term Investments - - - -  Total Receivables, Net 1580 936.74 587.82 1072.87  Accounts Receivables - Trade, Net 1580 905.8 587.29 1070.46  Total Inventory 221 156.81 344.13 175.64  Prepaid Expenses 64 55.61 53.13 54.1  Other Current Assets, Total 9 1.53 1.32 0.8","Cash and Short Term Investments 2851 2761.17 2819.66 2830.8  Cash - - - -  Cash & Equivalents 2851 2761.17 2819.66 2830.8  Short Term Investments - - - -  Total Receivables, Net 1580 936.74 587.82 1072.87  Accounts Receivables - Trade, Net 1580 905.8 587.29 1070.46  Total Inventory 221 156.81 344.13 175.64  Prepaid Expenses 64 55.61 53.13 54.1  Other Current Assets, Total 9 1.53 1.32 0.8"
Cash and Short Term Investments,2851,2761.17,2819.66,2830.8
Cash,-,-,-,-
Cash & Equivalents,2851,2761.17,2819.66,2830.8
Short Term Investments,-,-,-,-
"Total Receivables, Net",1580,936.74,587.82,1072.87
"Accounts Receivables - Trade, Net",1580,905.8,587.29,1070.46
Total Inventory,221,156.81,344.13,175.64
Prepaid Expenses,64,55.61,53.13,54.1
"Other Current Assets, Total",9,1.53,1.32,0.8
Total Assets,6549,5763.49,5689.26,5642.18
