Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,10841,9607.19,4325.78,2476.1
"Cash and Short Term Investments 7845 7365.48 2406.4 1433.08  Cash - - - -  Cash & Equivalents 7845 7365.48 2406.4 1433.08  Short Term Investments - - - -  Total Receivables, Net 2639 1994.68 1758.67 853.74  Accounts Receivables - Trade, Net 2639 1994.68 1758.67 853.74  Total Inventory 27 35.27 30.22 30.09  Prepaid Expenses 237 111.97 45.18 40.77  Other Current Assets, Total 93 99.78 85.32 118.43","Cash and Short Term Investments 7845 7365.48 2406.4 1433.08  Cash - - - -  Cash & Equivalents 7845 7365.48 2406.4 1433.08  Short Term Investments - - - -  Total Receivables, Net 2639 1994.68 1758.67 853.74  Accounts Receivables - Trade, Net 2639 1994.68 1758.67 853.74  Total Inventory 27 35.27 30.22 30.09  Prepaid Expenses 237 111.97 45.18 40.77  Other Current Assets, Total 93 99.78 85.32 118.43","Cash and Short Term Investments 7845 7365.48 2406.4 1433.08  Cash - - - -  Cash & Equivalents 7845 7365.48 2406.4 1433.08  Short Term Investments - - - -  Total Receivables, Net 2639 1994.68 1758.67 853.74  Accounts Receivables - Trade, Net 2639 1994.68 1758.67 853.74  Total Inventory 27 35.27 30.22 30.09  Prepaid Expenses 237 111.97 45.18 40.77  Other Current Assets, Total 93 99.78 85.32 118.43","Cash and Short Term Investments 7845 7365.48 2406.4 1433.08  Cash - - - -  Cash & Equivalents 7845 7365.48 2406.4 1433.08  Short Term Investments - - - -  Total Receivables, Net 2639 1994.68 1758.67 853.74  Accounts Receivables - Trade, Net 2639 1994.68 1758.67 853.74  Total Inventory 27 35.27 30.22 30.09  Prepaid Expenses 237 111.97 45.18 40.77  Other Current Assets, Total 93 99.78 85.32 118.43","Cash and Short Term Investments 7845 7365.48 2406.4 1433.08  Cash - - - -  Cash & Equivalents 7845 7365.48 2406.4 1433.08  Short Term Investments - - - -  Total Receivables, Net 2639 1994.68 1758.67 853.74  Accounts Receivables - Trade, Net 2639 1994.68 1758.67 853.74  Total Inventory 27 35.27 30.22 30.09  Prepaid Expenses 237 111.97 45.18 40.77  Other Current Assets, Total 93 99.78 85.32 118.43"
Cash and Short Term Investments,7845,7365.48,2406.4,1433.08
Cash,-,-,-,-
Cash & Equivalents,7845,7365.48,2406.4,1433.08
Short Term Investments,-,-,-,-
"Total Receivables, Net",2639,1994.68,1758.67,853.74
"Accounts Receivables - Trade, Net",2639,1994.68,1758.67,853.74
Total Inventory,27,35.27,30.22,30.09
Prepaid Expenses,237,111.97,45.18,40.77
"Other Current Assets, Total",93,99.78,85.32,118.43
Total Assets,13071,10742.65,5319.41,3079.89
"Property/Plant/Equipment, Total - Net 215 207.59 41.55 17.18  Property/Plant/Equipment, Total - Gross - 263.98 119.13 81.18  Accumulated Depreciation, Total - -56.39 -77.58 -64  Goodwill, Net 1006 103.68 80.75 -  Intangibles, Net 52 27.29 100.4 55.55  Long Term Investments 569 290.9 477.62 274.68  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 505.99 293.31 256.37  Other Assets, Total -2132 - - -","Property/Plant/Equipment, Total - Net 215 207.59 41.55 17.18  Property/Plant/Equipment, Total - Gross - 263.98 119.13 81.18  Accumulated Depreciation, Total - -56.39 -77.58 -64  Goodwill, Net 1006 103.68 80.75 -  Intangibles, Net 52 27.29 100.4 55.55  Long Term Investments 569 290.9 477.62 274.68  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 505.99 293.31 256.37  Other Assets, Total -2132 - - -","Property/Plant/Equipment, Total - Net 215 207.59 41.55 17.18  Property/Plant/Equipment, Total - Gross - 263.98 119.13 81.18  Accumulated Depreciation, Total - -56.39 -77.58 -64  Goodwill, Net 1006 103.68 80.75 -  Intangibles, Net 52 27.29 100.4 55.55  Long Term Investments 569 290.9 477.62 274.68  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 505.99 293.31 256.37  Other Assets, Total -2132 - - -","Property/Plant/Equipment, Total - Net 215 207.59 41.55 17.18  Property/Plant/Equipment, Total - Gross - 263.98 119.13 81.18  Accumulated Depreciation, Total - -56.39 -77.58 -64  Goodwill, Net 1006 103.68 80.75 -  Intangibles, Net 52 27.29 100.4 55.55  Long Term Investments 569 290.9 477.62 274.68  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 505.99 293.31 256.37  Other Assets, Total -2132 - - -","Property/Plant/Equipment, Total - Net 215 207.59 41.55 17.18  Property/Plant/Equipment, Total - Gross - 263.98 119.13 81.18  Accumulated Depreciation, Total - -56.39 -77.58 -64  Goodwill, Net 1006 103.68 80.75 -  Intangibles, Net 52 27.29 100.4 55.55  Long Term Investments 569 290.9 477.62 274.68  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 505.99 293.31 256.37  Other Assets, Total -2132 - - -"
"Property/Plant/Equipment, Total - Net",215,207.59,41.55,17.18
"Property/Plant/Equipment, Total - Gross",-,263.98,119.13,81.18
"Accumulated Depreciation, Total",-,-56.39,-77.58,-64
"Goodwill, Net",1006,103.68,80.75,-
"Intangibles, Net",52,27.29,100.4,55.55
Long Term Investments,569,290.9,477.62,274.68
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,505.99,293.31,256.37
"Other Assets, Total",-2132,-,-,-
Total Current Liabilities,2822,2518.74,2209.43,909.93
