Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Current Assets,2086,1850.69,2387.88,1786.35
"Cash and Short Term Investments 692 508.3 548.67 291.16  Cash - - - -  Cash & Equivalents 692 508.3 548.67 291.16  Short Term Investments - - - -  Total Receivables, Net 269 321.47 279.32 289.16  Accounts Receivables - Trade, Net 246 290.34 243.33 261.18  Total Inventory 1095 996.2 1261.21 1177.12  Prepaid Expenses 27 24.45 16.29 27.5  Other Current Assets, Total 3 0.27 282.39 1.41","Cash and Short Term Investments 692 508.3 548.67 291.16  Cash - - - -  Cash & Equivalents 692 508.3 548.67 291.16  Short Term Investments - - - -  Total Receivables, Net 269 321.47 279.32 289.16  Accounts Receivables - Trade, Net 246 290.34 243.33 261.18  Total Inventory 1095 996.2 1261.21 1177.12  Prepaid Expenses 27 24.45 16.29 27.5  Other Current Assets, Total 3 0.27 282.39 1.41","Cash and Short Term Investments 692 508.3 548.67 291.16  Cash - - - -  Cash & Equivalents 692 508.3 548.67 291.16  Short Term Investments - - - -  Total Receivables, Net 269 321.47 279.32 289.16  Accounts Receivables - Trade, Net 246 290.34 243.33 261.18  Total Inventory 1095 996.2 1261.21 1177.12  Prepaid Expenses 27 24.45 16.29 27.5  Other Current Assets, Total 3 0.27 282.39 1.41","Cash and Short Term Investments 692 508.3 548.67 291.16  Cash - - - -  Cash & Equivalents 692 508.3 548.67 291.16  Short Term Investments - - - -  Total Receivables, Net 269 321.47 279.32 289.16  Accounts Receivables - Trade, Net 246 290.34 243.33 261.18  Total Inventory 1095 996.2 1261.21 1177.12  Prepaid Expenses 27 24.45 16.29 27.5  Other Current Assets, Total 3 0.27 282.39 1.41","Cash and Short Term Investments 692 508.3 548.67 291.16  Cash - - - -  Cash & Equivalents 692 508.3 548.67 291.16  Short Term Investments - - - -  Total Receivables, Net 269 321.47 279.32 289.16  Accounts Receivables - Trade, Net 246 290.34 243.33 261.18  Total Inventory 1095 996.2 1261.21 1177.12  Prepaid Expenses 27 24.45 16.29 27.5  Other Current Assets, Total 3 0.27 282.39 1.41"
Cash and Short Term Investments,692,508.3,548.67,291.16
Cash,-,-,-,-
Cash & Equivalents,692,508.3,548.67,291.16
Short Term Investments,-,-,-,-
"Total Receivables, Net",269,321.47,279.32,289.16
"Accounts Receivables - Trade, Net",246,290.34,243.33,261.18
Total Inventory,1095,996.2,1261.21,1177.12
Prepaid Expenses,27,24.45,16.29,27.5
"Other Current Assets, Total",3,0.27,282.39,1.41
Total Assets,6287,6484.05,7234.53,5657.47
