Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,41840,67446,36317,36658
"Cash and Short Term Investments 15344 38381 17076 19272  Cash - - - -  Cash & Equivalents 15275 38331 17030 18949  Short Term Investments 69 50 46 323  Total Receivables, Net 16943 24247 13588 10689  Accounts Receivables - Trade, Net 16943 24247 11982 9200  Total Inventory 7335 3972 4304 4899  Prepaid Expenses 779 792 941 1356  Other Current Assets, Total 1439 54 408 442","Cash and Short Term Investments 15344 38381 17076 19272  Cash - - - -  Cash & Equivalents 15275 38331 17030 18949  Short Term Investments 69 50 46 323  Total Receivables, Net 16943 24247 13588 10689  Accounts Receivables - Trade, Net 16943 24247 11982 9200  Total Inventory 7335 3972 4304 4899  Prepaid Expenses 779 792 941 1356  Other Current Assets, Total 1439 54 408 442","Cash and Short Term Investments 15344 38381 17076 19272  Cash - - - -  Cash & Equivalents 15275 38331 17030 18949  Short Term Investments 69 50 46 323  Total Receivables, Net 16943 24247 13588 10689  Accounts Receivables - Trade, Net 16943 24247 11982 9200  Total Inventory 7335 3972 4304 4899  Prepaid Expenses 779 792 941 1356  Other Current Assets, Total 1439 54 408 442","Cash and Short Term Investments 15344 38381 17076 19272  Cash - - - -  Cash & Equivalents 15275 38331 17030 18949  Short Term Investments 69 50 46 323  Total Receivables, Net 16943 24247 13588 10689  Accounts Receivables - Trade, Net 16943 24247 11982 9200  Total Inventory 7335 3972 4304 4899  Prepaid Expenses 779 792 941 1356  Other Current Assets, Total 1439 54 408 442","Cash and Short Term Investments 15344 38381 17076 19272  Cash - - - -  Cash & Equivalents 15275 38331 17030 18949  Short Term Investments 69 50 46 323  Total Receivables, Net 16943 24247 13588 10689  Accounts Receivables - Trade, Net 16943 24247 11982 9200  Total Inventory 7335 3972 4304 4899  Prepaid Expenses 779 792 941 1356  Other Current Assets, Total 1439 54 408 442"
Cash and Short Term Investments,15344,38381,17076,19272
Cash,-,-,-,-
Cash & Equivalents,15275,38331,17030,18949
Short Term Investments,69,50,46,323
"Total Receivables, Net",16943,24247,13588,10689
"Accounts Receivables - Trade, Net",16943,24247,11982,9200
Total Inventory,7335,3972,4304,4899
Prepaid Expenses,779,792,941,1356
"Other Current Assets, Total",1439,54,408,442
Total Assets,424772,457993,441672,453979
"Property/Plant/Equipment, Total - Net 191072 199468 210530 230040  Property/Plant/Equipment, Total - Gross - 401326 375415 358403  Accumulated Depreciation, Total - -201857 -164886 -128363  Goodwill, Net 144816 146001 146059 146072  Intangibles, Net 5045 4179 4726 5835  Long Term Investments 23602 24584 930 678  Note Receivable - Long Term - - 1 -  Other Long Term Assets, Total -1 1 43109 34696  Other Assets, Total 10298 -3857 - -","Property/Plant/Equipment, Total - Net 191072 199468 210530 230040  Property/Plant/Equipment, Total - Gross - 401326 375415 358403  Accumulated Depreciation, Total - -201857 -164886 -128363  Goodwill, Net 144816 146001 146059 146072  Intangibles, Net 5045 4179 4726 5835  Long Term Investments 23602 24584 930 678  Note Receivable - Long Term - - 1 -  Other Long Term Assets, Total -1 1 43109 34696  Other Assets, Total 10298 -3857 - -","Property/Plant/Equipment, Total - Net 191072 199468 210530 230040  Property/Plant/Equipment, Total - Gross - 401326 375415 358403  Accumulated Depreciation, Total - -201857 -164886 -128363  Goodwill, Net 144816 146001 146059 146072  Intangibles, Net 5045 4179 4726 5835  Long Term Investments 23602 24584 930 678  Note Receivable - Long Term - - 1 -  Other Long Term Assets, Total -1 1 43109 34696  Other Assets, Total 10298 -3857 - -","Property/Plant/Equipment, Total - Net 191072 199468 210530 230040  Property/Plant/Equipment, Total - Gross - 401326 375415 358403  Accumulated Depreciation, Total - -201857 -164886 -128363  Goodwill, Net 144816 146001 146059 146072  Intangibles, Net 5045 4179 4726 5835  Long Term Investments 23602 24584 930 678  Note Receivable - Long Term - - 1 -  Other Long Term Assets, Total -1 1 43109 34696  Other Assets, Total 10298 -3857 - -","Property/Plant/Equipment, Total - Net 191072 199468 210530 230040  Property/Plant/Equipment, Total - Gross - 401326 375415 358403  Accumulated Depreciation, Total - -201857 -164886 -128363  Goodwill, Net 144816 146001 146059 146072  Intangibles, Net 5045 4179 4726 5835  Long Term Investments 23602 24584 930 678  Note Receivable - Long Term - - 1 -  Other Long Term Assets, Total -1 1 43109 34696  Other Assets, Total 10298 -3857 - -"
"Property/Plant/Equipment, Total - Net",191072,199468,210530,230040
"Property/Plant/Equipment, Total - Gross",-,401326,375415,358403
"Accumulated Depreciation, Total",-,-201857,-164886,-128363
"Goodwill, Net",144816,146001,146059,146072
"Intangibles, Net",5045,4179,4726,5835
Long Term Investments,23602,24584,930,678
Note Receivable - Long Term,-,-,1,-
"Other Long Term Assets, Total",-1,1,43109,34696
"Other Assets, Total",10298,-3857,-,-
Total Current Liabilities,157311,89863,203726,97588
"Accounts Payable 24896 28347 8157 10996  Payable/Accrued - - - -  Accrued Expenses 10811 8700 18233 13313  Notes Payable/Short Term Debt 86971 17810 - -  Current Port. of LT Debt/Capital Leases 26629 25412 151929 49633  Other Current liabilities, Total 8004 9594 25407 23646","Accounts Payable 24896 28347 8157 10996  Payable/Accrued - - - -  Accrued Expenses 10811 8700 18233 13313  Notes Payable/Short Term Debt 86971 17810 - -  Current Port. of LT Debt/Capital Leases 26629 25412 151929 49633  Other Current liabilities, Total 8004 9594 25407 23646","Accounts Payable 24896 28347 8157 10996  Payable/Accrued - - - -  Accrued Expenses 10811 8700 18233 13313  Notes Payable/Short Term Debt 86971 17810 - -  Current Port. of LT Debt/Capital Leases 26629 25412 151929 49633  Other Current liabilities, Total 8004 9594 25407 23646","Accounts Payable 24896 28347 8157 10996  Payable/Accrued - - - -  Accrued Expenses 10811 8700 18233 13313  Notes Payable/Short Term Debt 86971 17810 - -  Current Port. of LT Debt/Capital Leases 26629 25412 151929 49633  Other Current liabilities, Total 8004 9594 25407 23646","Accounts Payable 24896 28347 8157 10996  Payable/Accrued - - - -  Accrued Expenses 10811 8700 18233 13313  Notes Payable/Short Term Debt 86971 17810 - -  Current Port. of LT Debt/Capital Leases 26629 25412 151929 49633  Other Current liabilities, Total 8004 9594 25407 23646"
Accounts Payable,24896,28347,8157,10996
Payable/Accrued,-,-,-,-
Accrued Expenses,10811,8700,18233,13313
Notes Payable/Short Term Debt,86971,17810,-,-
Current Port. of LT Debt/Capital Leases,26629,25412,151929,49633
