Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,10633,9732,11389,11454
"Cash and Short Term Investments 6124 4926 6463 2177  Cash - - - -  Cash & Equivalents 6112 4917 6449 2160  Short Term Investments 12 9 14 17  Total Receivables, Net 3970 4180 4079 4155  Accounts Receivables - Trade, Net 3299 3851 3680 4114  Total Inventory 183 200 187 256  Prepaid Expenses 335 403 238 4448  Other Current Assets, Total 21 23 422 418","Cash and Short Term Investments 6124 4926 6463 2177  Cash - - - -  Cash & Equivalents 6112 4917 6449 2160  Short Term Investments 12 9 14 17  Total Receivables, Net 3970 4180 4079 4155  Accounts Receivables - Trade, Net 3299 3851 3680 4114  Total Inventory 183 200 187 256  Prepaid Expenses 335 403 238 4448  Other Current Assets, Total 21 23 422 418","Cash and Short Term Investments 6124 4926 6463 2177  Cash - - - -  Cash & Equivalents 6112 4917 6449 2160  Short Term Investments 12 9 14 17  Total Receivables, Net 3970 4180 4079 4155  Accounts Receivables - Trade, Net 3299 3851 3680 4114  Total Inventory 183 200 187 256  Prepaid Expenses 335 403 238 4448  Other Current Assets, Total 21 23 422 418","Cash and Short Term Investments 6124 4926 6463 2177  Cash - - - -  Cash & Equivalents 6112 4917 6449 2160  Short Term Investments 12 9 14 17  Total Receivables, Net 3970 4180 4079 4155  Accounts Receivables - Trade, Net 3299 3851 3680 4114  Total Inventory 183 200 187 256  Prepaid Expenses 335 403 238 4448  Other Current Assets, Total 21 23 422 418","Cash and Short Term Investments 6124 4926 6463 2177  Cash - - - -  Cash & Equivalents 6112 4917 6449 2160  Short Term Investments 12 9 14 17  Total Receivables, Net 3970 4180 4079 4155  Accounts Receivables - Trade, Net 3299 3851 3680 4114  Total Inventory 183 200 187 256  Prepaid Expenses 335 403 238 4448  Other Current Assets, Total 21 23 422 418"
Cash and Short Term Investments,6124,4926,6463,2177
Cash,-,-,-,-
Cash & Equivalents,6112,4917,6449,2160
Short Term Investments,12,9,14,17
"Total Receivables, Net",3970,4180,4079,4155
"Accounts Receivables - Trade, Net",3299,3851,3680,4114
Total Inventory,183,200,187,256
Prepaid Expenses,335,403,238,4448
"Other Current Assets, Total",21,23,422,418
Total Assets,28952,30062,41083,44787
"Property/Plant/Equipment, Total - Net 3907 4786 13953 17400  Property/Plant/Equipment, Total - Gross - 12830 22422 20691  Accumulated Depreciation, Total - -8045 -8469 -3292  Goodwill, Net 9347 9410 9376 5927  Intangibles, Net 2417 2234 2266 2095  Long Term Investments 2027 2744 3203 6821  Note Receivable - Long Term 671 - - -  Other Long Term Assets, Total 4 1156 896 1090  Other Assets, Total -3137 - - -","Property/Plant/Equipment, Total - Net 3907 4786 13953 17400  Property/Plant/Equipment, Total - Gross - 12830 22422 20691  Accumulated Depreciation, Total - -8045 -8469 -3292  Goodwill, Net 9347 9410 9376 5927  Intangibles, Net 2417 2234 2266 2095  Long Term Investments 2027 2744 3203 6821  Note Receivable - Long Term 671 - - -  Other Long Term Assets, Total 4 1156 896 1090  Other Assets, Total -3137 - - -","Property/Plant/Equipment, Total - Net 3907 4786 13953 17400  Property/Plant/Equipment, Total - Gross - 12830 22422 20691  Accumulated Depreciation, Total - -8045 -8469 -3292  Goodwill, Net 9347 9410 9376 5927  Intangibles, Net 2417 2234 2266 2095  Long Term Investments 2027 2744 3203 6821  Note Receivable - Long Term 671 - - -  Other Long Term Assets, Total 4 1156 896 1090  Other Assets, Total -3137 - - -","Property/Plant/Equipment, Total - Net 3907 4786 13953 17400  Property/Plant/Equipment, Total - Gross - 12830 22422 20691  Accumulated Depreciation, Total - -8045 -8469 -3292  Goodwill, Net 9347 9410 9376 5927  Intangibles, Net 2417 2234 2266 2095  Long Term Investments 2027 2744 3203 6821  Note Receivable - Long Term 671 - - -  Other Long Term Assets, Total 4 1156 896 1090  Other Assets, Total -3137 - - -","Property/Plant/Equipment, Total - Net 3907 4786 13953 17400  Property/Plant/Equipment, Total - Gross - 12830 22422 20691  Accumulated Depreciation, Total - -8045 -8469 -3292  Goodwill, Net 9347 9410 9376 5927  Intangibles, Net 2417 2234 2266 2095  Long Term Investments 2027 2744 3203 6821  Note Receivable - Long Term 671 - - -  Other Long Term Assets, Total 4 1156 896 1090  Other Assets, Total -3137 - - -"
"Property/Plant/Equipment, Total - Net",3907,4786,13953,17400
"Property/Plant/Equipment, Total - Gross",-,12830,22422,20691
"Accumulated Depreciation, Total",-,-8045,-8469,-3292
"Goodwill, Net",9347,9410,9376,5927
"Intangibles, Net",2417,2234,2266,2095
Long Term Investments,2027,2744,3203,6821
Note Receivable - Long Term,671,-,-,-
"Other Long Term Assets, Total",4,1156,896,1090
"Other Assets, Total",-3137,-,-,-
Total Current Liabilities,11737,15018,15944,12831
