Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,3231,2822,1949,1472.42
"Cash and Short Term Investments 1078 1146 652 216.96  Cash - - - -  Cash & Equivalents 1078 1146 652 216.96  Short Term Investments - - - -  Total Receivables, Net 1210 988 692 493.28  Accounts Receivables - Trade, Net 1210 988 692 493.28  Total Inventory 10 22 21 13.36  Prepaid Expenses 930 657 548 663.8  Other Current Assets, Total 3 9 36 85.03","Cash and Short Term Investments 1078 1146 652 216.96  Cash - - - -  Cash & Equivalents 1078 1146 652 216.96  Short Term Investments - - - -  Total Receivables, Net 1210 988 692 493.28  Accounts Receivables - Trade, Net 1210 988 692 493.28  Total Inventory 10 22 21 13.36  Prepaid Expenses 930 657 548 663.8  Other Current Assets, Total 3 9 36 85.03","Cash and Short Term Investments 1078 1146 652 216.96  Cash - - - -  Cash & Equivalents 1078 1146 652 216.96  Short Term Investments - - - -  Total Receivables, Net 1210 988 692 493.28  Accounts Receivables - Trade, Net 1210 988 692 493.28  Total Inventory 10 22 21 13.36  Prepaid Expenses 930 657 548 663.8  Other Current Assets, Total 3 9 36 85.03","Cash and Short Term Investments 1078 1146 652 216.96  Cash - - - -  Cash & Equivalents 1078 1146 652 216.96  Short Term Investments - - - -  Total Receivables, Net 1210 988 692 493.28  Accounts Receivables - Trade, Net 1210 988 692 493.28  Total Inventory 10 22 21 13.36  Prepaid Expenses 930 657 548 663.8  Other Current Assets, Total 3 9 36 85.03","Cash and Short Term Investments 1078 1146 652 216.96  Cash - - - -  Cash & Equivalents 1078 1146 652 216.96  Short Term Investments - - - -  Total Receivables, Net 1210 988 692 493.28  Accounts Receivables - Trade, Net 1210 988 692 493.28  Total Inventory 10 22 21 13.36  Prepaid Expenses 930 657 548 663.8  Other Current Assets, Total 3 9 36 85.03"
Cash and Short Term Investments,1078,1146,652,216.96
Cash,-,-,-,-
Cash & Equivalents,1078,1146,652,216.96
Short Term Investments,-,-,-,-
"Total Receivables, Net",1210,988,692,493.28
"Accounts Receivables - Trade, Net",1210,988,692,493.28
Total Inventory,10,22,21,13.36
Prepaid Expenses,930,657,548,663.8
