Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,7532,6882.85,6170.89,6654.4
"Cash and Short Term Investments 2378 2111.37 2113.55 1915.09  Cash - - - -  Cash & Equivalents 2378 2111.37 2113.55 1915.09  Short Term Investments - - - -  Total Receivables, Net 4414 4156.77 3565.06 3948.42  Accounts Receivables - Trade, Net 3987 3547.49 3105.64 3686.99  Total Inventory 372 290.32 196.91 180.23  Prepaid Expenses 301 318.12 290.43 587.76  Other Current Assets, Total 67 6.26 4.93 22.9","Cash and Short Term Investments 2378 2111.37 2113.55 1915.09  Cash - - - -  Cash & Equivalents 2378 2111.37 2113.55 1915.09  Short Term Investments - - - -  Total Receivables, Net 4414 4156.77 3565.06 3948.42  Accounts Receivables - Trade, Net 3987 3547.49 3105.64 3686.99  Total Inventory 372 290.32 196.91 180.23  Prepaid Expenses 301 318.12 290.43 587.76  Other Current Assets, Total 67 6.26 4.93 22.9","Cash and Short Term Investments 2378 2111.37 2113.55 1915.09  Cash - - - -  Cash & Equivalents 2378 2111.37 2113.55 1915.09  Short Term Investments - - - -  Total Receivables, Net 4414 4156.77 3565.06 3948.42  Accounts Receivables - Trade, Net 3987 3547.49 3105.64 3686.99  Total Inventory 372 290.32 196.91 180.23  Prepaid Expenses 301 318.12 290.43 587.76  Other Current Assets, Total 67 6.26 4.93 22.9","Cash and Short Term Investments 2378 2111.37 2113.55 1915.09  Cash - - - -  Cash & Equivalents 2378 2111.37 2113.55 1915.09  Short Term Investments - - - -  Total Receivables, Net 4414 4156.77 3565.06 3948.42  Accounts Receivables - Trade, Net 3987 3547.49 3105.64 3686.99  Total Inventory 372 290.32 196.91 180.23  Prepaid Expenses 301 318.12 290.43 587.76  Other Current Assets, Total 67 6.26 4.93 22.9","Cash and Short Term Investments 2378 2111.37 2113.55 1915.09  Cash - - - -  Cash & Equivalents 2378 2111.37 2113.55 1915.09  Short Term Investments - - - -  Total Receivables, Net 4414 4156.77 3565.06 3948.42  Accounts Receivables - Trade, Net 3987 3547.49 3105.64 3686.99  Total Inventory 372 290.32 196.91 180.23  Prepaid Expenses 301 318.12 290.43 587.76  Other Current Assets, Total 67 6.26 4.93 22.9"
Cash and Short Term Investments,2378,2111.37,2113.55,1915.09
Cash,-,-,-,-
Cash & Equivalents,2378,2111.37,2113.55,1915.09
Short Term Investments,-,-,-,-
"Total Receivables, Net",4414,4156.77,3565.06,3948.42
"Accounts Receivables - Trade, Net",3987,3547.49,3105.64,3686.99
Total Inventory,372,290.32,196.91,180.23
Prepaid Expenses,301,318.12,290.43,587.76
"Other Current Assets, Total",67,6.26,4.93,22.9
Total Assets,17202,15345.96,13996.02,14612.62
