Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,2419.19,1432.73,2240.24,1958.25
"Cash and Short Term Investments 1303.79 870.6 1140.23 750.67  Cash - - - -  Cash & Equivalents 1303.79 870.6 1140.23 750.67  Short Term Investments - - - -  Total Receivables, Net 795.96 405 533 949.05  Accounts Receivables - Trade, Net 752 221.86 319.17 603.37  Total Inventory 233.67 123.89 523.22 217.95  Prepaid Expenses 66.43 14.37 41.48 37.37  Other Current Assets, Total 19.34 18.87 2.31 3.2","Cash and Short Term Investments 1303.79 870.6 1140.23 750.67  Cash - - - -  Cash & Equivalents 1303.79 870.6 1140.23 750.67  Short Term Investments - - - -  Total Receivables, Net 795.96 405 533 949.05  Accounts Receivables - Trade, Net 752 221.86 319.17 603.37  Total Inventory 233.67 123.89 523.22 217.95  Prepaid Expenses 66.43 14.37 41.48 37.37  Other Current Assets, Total 19.34 18.87 2.31 3.2","Cash and Short Term Investments 1303.79 870.6 1140.23 750.67  Cash - - - -  Cash & Equivalents 1303.79 870.6 1140.23 750.67  Short Term Investments - - - -  Total Receivables, Net 795.96 405 533 949.05  Accounts Receivables - Trade, Net 752 221.86 319.17 603.37  Total Inventory 233.67 123.89 523.22 217.95  Prepaid Expenses 66.43 14.37 41.48 37.37  Other Current Assets, Total 19.34 18.87 2.31 3.2","Cash and Short Term Investments 1303.79 870.6 1140.23 750.67  Cash - - - -  Cash & Equivalents 1303.79 870.6 1140.23 750.67  Short Term Investments - - - -  Total Receivables, Net 795.96 405 533 949.05  Accounts Receivables - Trade, Net 752 221.86 319.17 603.37  Total Inventory 233.67 123.89 523.22 217.95  Prepaid Expenses 66.43 14.37 41.48 37.37  Other Current Assets, Total 19.34 18.87 2.31 3.2","Cash and Short Term Investments 1303.79 870.6 1140.23 750.67  Cash - - - -  Cash & Equivalents 1303.79 870.6 1140.23 750.67  Short Term Investments - - - -  Total Receivables, Net 795.96 405 533 949.05  Accounts Receivables - Trade, Net 752 221.86 319.17 603.37  Total Inventory 233.67 123.89 523.22 217.95  Prepaid Expenses 66.43 14.37 41.48 37.37  Other Current Assets, Total 19.34 18.87 2.31 3.2"
Cash and Short Term Investments,1303.79,870.6,1140.23,750.67
Cash,-,-,-,-
Cash & Equivalents,1303.79,870.6,1140.23,750.67
Short Term Investments,-,-,-,-
"Total Receivables, Net",795.96,405,533,949.05
"Accounts Receivables - Trade, Net",752,221.86,319.17,603.37
Total Inventory,233.67,123.89,523.22,217.95
Prepaid Expenses,66.43,14.37,41.48,37.37
