Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,48158,38953.52,32186.19,31759.44
"Cash and Short Term Investments 14043 16020.27 15667.34 14944.46  Cash - - - -  Cash & Equivalents 11744 12020.29 10967.36 10544.48  Short Term Investments 2299 3999.98 4699.98 4399.98  Total Receivables, Net 27663 21063.19 7890.47 8519.26  Accounts Receivables - Trade, Net 27663 21063.19 7890.47 8519.26  Total Inventory 647 355.29 6996.63 6830.82  Prepaid Expenses - 775.55 717.63 444.88  Other Current Assets, Total 5805 739.22 914.12 1020.02","Cash and Short Term Investments 14043 16020.27 15667.34 14944.46  Cash - - - -  Cash & Equivalents 11744 12020.29 10967.36 10544.48  Short Term Investments 2299 3999.98 4699.98 4399.98  Total Receivables, Net 27663 21063.19 7890.47 8519.26  Accounts Receivables - Trade, Net 27663 21063.19 7890.47 8519.26  Total Inventory 647 355.29 6996.63 6830.82  Prepaid Expenses - 775.55 717.63 444.88  Other Current Assets, Total 5805 739.22 914.12 1020.02","Cash and Short Term Investments 14043 16020.27 15667.34 14944.46  Cash - - - -  Cash & Equivalents 11744 12020.29 10967.36 10544.48  Short Term Investments 2299 3999.98 4699.98 4399.98  Total Receivables, Net 27663 21063.19 7890.47 8519.26  Accounts Receivables - Trade, Net 27663 21063.19 7890.47 8519.26  Total Inventory 647 355.29 6996.63 6830.82  Prepaid Expenses - 775.55 717.63 444.88  Other Current Assets, Total 5805 739.22 914.12 1020.02","Cash and Short Term Investments 14043 16020.27 15667.34 14944.46  Cash - - - -  Cash & Equivalents 11744 12020.29 10967.36 10544.48  Short Term Investments 2299 3999.98 4699.98 4399.98  Total Receivables, Net 27663 21063.19 7890.47 8519.26  Accounts Receivables - Trade, Net 27663 21063.19 7890.47 8519.26  Total Inventory 647 355.29 6996.63 6830.82  Prepaid Expenses - 775.55 717.63 444.88  Other Current Assets, Total 5805 739.22 914.12 1020.02","Cash and Short Term Investments 14043 16020.27 15667.34 14944.46  Cash - - - -  Cash & Equivalents 11744 12020.29 10967.36 10544.48  Short Term Investments 2299 3999.98 4699.98 4399.98  Total Receivables, Net 27663 21063.19 7890.47 8519.26  Accounts Receivables - Trade, Net 27663 21063.19 7890.47 8519.26  Total Inventory 647 355.29 6996.63 6830.82  Prepaid Expenses - 775.55 717.63 444.88  Other Current Assets, Total 5805 739.22 914.12 1020.02"
Cash and Short Term Investments,14043,16020.27,15667.34,14944.46
Cash,-,-,-,-
Cash & Equivalents,11744,12020.29,10967.36,10544.48
Short Term Investments,2299,3999.98,4699.98,4399.98
"Total Receivables, Net",27663,21063.19,7890.47,8519.26
"Accounts Receivables - Trade, Net",27663,21063.19,7890.47,8519.26
Total Inventory,647,355.29,6996.63,6830.82
Prepaid Expenses,-,775.55,717.63,444.88
"Other Current Assets, Total",5805,739.22,914.12,1020.02
Total Assets,60522,50461.94,42699.01,42208.43
