Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,7252,6839,6037,5938
"Cash and Short Term Investments 2831 2645 1985 1720  Cash - - - -  Cash & Equivalents 2831 2645 1985 1720  Short Term Investments - - - -  Total Receivables, Net 3016 2839 2900 3077  Accounts Receivables - Trade, Net 2958 2747 2738 3008  Total Inventory 1352 1303 1075 1075  Prepaid Expenses 43 45 43 42  Other Current Assets, Total 10 7 34 24","Cash and Short Term Investments 2831 2645 1985 1720  Cash - - - -  Cash & Equivalents 2831 2645 1985 1720  Short Term Investments - - - -  Total Receivables, Net 3016 2839 2900 3077  Accounts Receivables - Trade, Net 2958 2747 2738 3008  Total Inventory 1352 1303 1075 1075  Prepaid Expenses 43 45 43 42  Other Current Assets, Total 10 7 34 24","Cash and Short Term Investments 2831 2645 1985 1720  Cash - - - -  Cash & Equivalents 2831 2645 1985 1720  Short Term Investments - - - -  Total Receivables, Net 3016 2839 2900 3077  Accounts Receivables - Trade, Net 2958 2747 2738 3008  Total Inventory 1352 1303 1075 1075  Prepaid Expenses 43 45 43 42  Other Current Assets, Total 10 7 34 24","Cash and Short Term Investments 2831 2645 1985 1720  Cash - - - -  Cash & Equivalents 2831 2645 1985 1720  Short Term Investments - - - -  Total Receivables, Net 3016 2839 2900 3077  Accounts Receivables - Trade, Net 2958 2747 2738 3008  Total Inventory 1352 1303 1075 1075  Prepaid Expenses 43 45 43 42  Other Current Assets, Total 10 7 34 24","Cash and Short Term Investments 2831 2645 1985 1720  Cash - - - -  Cash & Equivalents 2831 2645 1985 1720  Short Term Investments - - - -  Total Receivables, Net 3016 2839 2900 3077  Accounts Receivables - Trade, Net 2958 2747 2738 3008  Total Inventory 1352 1303 1075 1075  Prepaid Expenses 43 45 43 42  Other Current Assets, Total 10 7 34 24"
Cash and Short Term Investments,2831,2645,1985,1720
Cash,-,-,-,-
Cash & Equivalents,2831,2645,1985,1720
Short Term Investments,-,-,-,-
"Total Receivables, Net",3016,2839,2900,3077
"Accounts Receivables - Trade, Net",2958,2747,2738,3008
Total Inventory,1352,1303,1075,1075
Prepaid Expenses,43,45,43,42
"Other Current Assets, Total",10,7,34,24
Total Assets,15664,15115,14209,13669
