Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,17439,17153.4,17768.13,11051.47
"Cash and Short Term Investments 4922 4276.42 4091.15 3990.52  Cash - - - -  Cash & Equivalents 4922 4276.42 4091.15 3990.52  Short Term Investments - - - -  Total Receivables, Net 5575 5003.02 5144.5 4660.93  Accounts Receivables - Trade, Net 5527 4956.49 5098.57 4605.17  Total Inventory 6797 7540.54 7896.9 2311.41  Prepaid Expenses 83 224.84 227.29 81.61  Other Current Assets, Total 62 108.59 408.28 6.99","Cash and Short Term Investments 4922 4276.42 4091.15 3990.52  Cash - - - -  Cash & Equivalents 4922 4276.42 4091.15 3990.52  Short Term Investments - - - -  Total Receivables, Net 5575 5003.02 5144.5 4660.93  Accounts Receivables - Trade, Net 5527 4956.49 5098.57 4605.17  Total Inventory 6797 7540.54 7896.9 2311.41  Prepaid Expenses 83 224.84 227.29 81.61  Other Current Assets, Total 62 108.59 408.28 6.99","Cash and Short Term Investments 4922 4276.42 4091.15 3990.52  Cash - - - -  Cash & Equivalents 4922 4276.42 4091.15 3990.52  Short Term Investments - - - -  Total Receivables, Net 5575 5003.02 5144.5 4660.93  Accounts Receivables - Trade, Net 5527 4956.49 5098.57 4605.17  Total Inventory 6797 7540.54 7896.9 2311.41  Prepaid Expenses 83 224.84 227.29 81.61  Other Current Assets, Total 62 108.59 408.28 6.99","Cash and Short Term Investments 4922 4276.42 4091.15 3990.52  Cash - - - -  Cash & Equivalents 4922 4276.42 4091.15 3990.52  Short Term Investments - - - -  Total Receivables, Net 5575 5003.02 5144.5 4660.93  Accounts Receivables - Trade, Net 5527 4956.49 5098.57 4605.17  Total Inventory 6797 7540.54 7896.9 2311.41  Prepaid Expenses 83 224.84 227.29 81.61  Other Current Assets, Total 62 108.59 408.28 6.99","Cash and Short Term Investments 4922 4276.42 4091.15 3990.52  Cash - - - -  Cash & Equivalents 4922 4276.42 4091.15 3990.52  Short Term Investments - - - -  Total Receivables, Net 5575 5003.02 5144.5 4660.93  Accounts Receivables - Trade, Net 5527 4956.49 5098.57 4605.17  Total Inventory 6797 7540.54 7896.9 2311.41  Prepaid Expenses 83 224.84 227.29 81.61  Other Current Assets, Total 62 108.59 408.28 6.99"
Cash and Short Term Investments,4922,4276.42,4091.15,3990.52
Cash,-,-,-,-
Cash & Equivalents,4922,4276.42,4091.15,3990.52
Short Term Investments,-,-,-,-
"Total Receivables, Net",5575,5003.02,5144.5,4660.93
"Accounts Receivables - Trade, Net",5527,4956.49,5098.57,4605.17
Total Inventory,6797,7540.54,7896.9,2311.41
Prepaid Expenses,83,224.84,227.29,81.61
"Other Current Assets, Total",62,108.59,408.28,6.99
Total Assets,17811,17427.98,17941.31,11221.86
"Property/Plant/Equipment, Total - Net 36 18.64 24.41 32.86  Property/Plant/Equipment, Total - Gross - 50.48 55.05 55.4  Accumulated Depreciation, Total - -31.85 -30.64 -22.54  Goodwill, Net - - - -  Intangibles, Net 11 9.19 9.26 17.95  Long Term Investments 144 39.06 2.06 2.07  Note Receivable - Long Term 48 - - -  Other Long Term Assets, Total 1 207.69 137.45 117.5  Other Assets, Total 1464 - - -","Property/Plant/Equipment, Total - Net 36 18.64 24.41 32.86  Property/Plant/Equipment, Total - Gross - 50.48 55.05 55.4  Accumulated Depreciation, Total - -31.85 -30.64 -22.54  Goodwill, Net - - - -  Intangibles, Net 11 9.19 9.26 17.95  Long Term Investments 144 39.06 2.06 2.07  Note Receivable - Long Term 48 - - -  Other Long Term Assets, Total 1 207.69 137.45 117.5  Other Assets, Total 1464 - - -","Property/Plant/Equipment, Total - Net 36 18.64 24.41 32.86  Property/Plant/Equipment, Total - Gross - 50.48 55.05 55.4  Accumulated Depreciation, Total - -31.85 -30.64 -22.54  Goodwill, Net - - - -  Intangibles, Net 11 9.19 9.26 17.95  Long Term Investments 144 39.06 2.06 2.07  Note Receivable - Long Term 48 - - -  Other Long Term Assets, Total 1 207.69 137.45 117.5  Other Assets, Total 1464 - - -","Property/Plant/Equipment, Total - Net 36 18.64 24.41 32.86  Property/Plant/Equipment, Total - Gross - 50.48 55.05 55.4  Accumulated Depreciation, Total - -31.85 -30.64 -22.54  Goodwill, Net - - - -  Intangibles, Net 11 9.19 9.26 17.95  Long Term Investments 144 39.06 2.06 2.07  Note Receivable - Long Term 48 - - -  Other Long Term Assets, Total 1 207.69 137.45 117.5  Other Assets, Total 1464 - - -","Property/Plant/Equipment, Total - Net 36 18.64 24.41 32.86  Property/Plant/Equipment, Total - Gross - 50.48 55.05 55.4  Accumulated Depreciation, Total - -31.85 -30.64 -22.54  Goodwill, Net - - - -  Intangibles, Net 11 9.19 9.26 17.95  Long Term Investments 144 39.06 2.06 2.07  Note Receivable - Long Term 48 - - -  Other Long Term Assets, Total 1 207.69 137.45 117.5  Other Assets, Total 1464 - - -"
"Property/Plant/Equipment, Total - Net",36,18.64,24.41,32.86
"Property/Plant/Equipment, Total - Gross",-,50.48,55.05,55.4
"Accumulated Depreciation, Total",-,-31.85,-30.64,-22.54
"Goodwill, Net",-,-,-,-
"Intangibles, Net",11,9.19,9.26,17.95
Long Term Investments,144,39.06,2.06,2.07
Note Receivable - Long Term,48,-,-,-
"Other Long Term Assets, Total",1,207.69,137.45,117.5
"Other Assets, Total",1464,-,-,-
Total Current Liabilities,7861,7340.88,8427.15,5325.42
