Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,12506,12846,13465.8,11518.38
"Cash and Short Term Investments 6484 5451 4779.95 3898.68  Cash - - - -  Cash & Equivalents 6484 5451 4779.95 3898.68  Short Term Investments - - - -  Total Receivables, Net 1264 1477 2416.07 2390.82  Accounts Receivables - Trade, Net 1264 1449 2023.67 2362.79  Total Inventory 3411 4361 4492.71 3215.8  Prepaid Expenses - 1090.2 1086.34 1556.73  Other Current Assets, Total 1347 1557 690.73 456.34","Cash and Short Term Investments 6484 5451 4779.95 3898.68  Cash - - - -  Cash & Equivalents 6484 5451 4779.95 3898.68  Short Term Investments - - - -  Total Receivables, Net 1264 1477 2416.07 2390.82  Accounts Receivables - Trade, Net 1264 1449 2023.67 2362.79  Total Inventory 3411 4361 4492.71 3215.8  Prepaid Expenses - 1090.2 1086.34 1556.73  Other Current Assets, Total 1347 1557 690.73 456.34","Cash and Short Term Investments 6484 5451 4779.95 3898.68  Cash - - - -  Cash & Equivalents 6484 5451 4779.95 3898.68  Short Term Investments - - - -  Total Receivables, Net 1264 1477 2416.07 2390.82  Accounts Receivables - Trade, Net 1264 1449 2023.67 2362.79  Total Inventory 3411 4361 4492.71 3215.8  Prepaid Expenses - 1090.2 1086.34 1556.73  Other Current Assets, Total 1347 1557 690.73 456.34","Cash and Short Term Investments 6484 5451 4779.95 3898.68  Cash - - - -  Cash & Equivalents 6484 5451 4779.95 3898.68  Short Term Investments - - - -  Total Receivables, Net 1264 1477 2416.07 2390.82  Accounts Receivables - Trade, Net 1264 1449 2023.67 2362.79  Total Inventory 3411 4361 4492.71 3215.8  Prepaid Expenses - 1090.2 1086.34 1556.73  Other Current Assets, Total 1347 1557 690.73 456.34","Cash and Short Term Investments 6484 5451 4779.95 3898.68  Cash - - - -  Cash & Equivalents 6484 5451 4779.95 3898.68  Short Term Investments - - - -  Total Receivables, Net 1264 1477 2416.07 2390.82  Accounts Receivables - Trade, Net 1264 1449 2023.67 2362.79  Total Inventory 3411 4361 4492.71 3215.8  Prepaid Expenses - 1090.2 1086.34 1556.73  Other Current Assets, Total 1347 1557 690.73 456.34"
Cash and Short Term Investments,6484,5451,4779.95,3898.68
Cash,-,-,-,-
Cash & Equivalents,6484,5451,4779.95,3898.68
Short Term Investments,-,-,-,-
"Total Receivables, Net",1264,1477,2416.07,2390.82
"Accounts Receivables - Trade, Net",1264,1449,2023.67,2362.79
Total Inventory,3411,4361,4492.71,3215.8
Prepaid Expenses,-,1090.2,1086.34,1556.73
