Period Ending:,202328/02,202231/08,202228/02,202131/08
Total Current Assets,14524,14661,-,12303.05
"Cash and Short Term Investments 3892 4241 - 4669.73  Cash - - - -  Cash & Equivalents 3892 4241 - 4669.73  Short Term Investments - - - -  Total Receivables, Net 72 70 - 637.49  Accounts Receivables - Trade, Net 72 70 - 43.41  Total Inventory - - - -  Prepaid Expenses - - - 21.98  Other Current Assets, Total 10560 10350 - 6973.86","Cash and Short Term Investments 3892 4241 - 4669.73  Cash - - - -  Cash & Equivalents 3892 4241 - 4669.73  Short Term Investments - - - -  Total Receivables, Net 72 70 - 637.49  Accounts Receivables - Trade, Net 72 70 - 43.41  Total Inventory - - - -  Prepaid Expenses - - - 21.98  Other Current Assets, Total 10560 10350 - 6973.86","Cash and Short Term Investments 3892 4241 - 4669.73  Cash - - - -  Cash & Equivalents 3892 4241 - 4669.73  Short Term Investments - - - -  Total Receivables, Net 72 70 - 637.49  Accounts Receivables - Trade, Net 72 70 - 43.41  Total Inventory - - - -  Prepaid Expenses - - - 21.98  Other Current Assets, Total 10560 10350 - 6973.86","Cash and Short Term Investments 3892 4241 - 4669.73  Cash - - - -  Cash & Equivalents 3892 4241 - 4669.73  Short Term Investments - - - -  Total Receivables, Net 72 70 - 637.49  Accounts Receivables - Trade, Net 72 70 - 43.41  Total Inventory - - - -  Prepaid Expenses - - - 21.98  Other Current Assets, Total 10560 10350 - 6973.86","Cash and Short Term Investments 3892 4241 - 4669.73  Cash - - - -  Cash & Equivalents 3892 4241 - 4669.73  Short Term Investments - - - -  Total Receivables, Net 72 70 - 637.49  Accounts Receivables - Trade, Net 72 70 - 43.41  Total Inventory - - - -  Prepaid Expenses - - - 21.98  Other Current Assets, Total 10560 10350 - 6973.86"
Cash and Short Term Investments,3892,4241,-,4669.73
Cash,-,-,-,-
Cash & Equivalents,3892,4241,-,4669.73
Short Term Investments,-,-,-,-
"Total Receivables, Net",72,70,-,637.49
"Accounts Receivables - Trade, Net",72,70,-,43.41
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,21.98
"Other Current Assets, Total",10560,10350,-,6973.86
Total Assets,273063,228173,-,181206.34
"Property/Plant/Equipment, Total - Net 258430 213459 - 202.28  Property/Plant/Equipment, Total - Gross 258427 213457 - 231  Accumulated Depreciation, Total - - - -28.72  Goodwill, Net - - - -  Intangibles, Net - - - 2.63  Long Term Investments - - - 168646.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 109 53 - 51.72  Other Assets, Total 10488 10280 - -","Property/Plant/Equipment, Total - Net 258430 213459 - 202.28  Property/Plant/Equipment, Total - Gross 258427 213457 - 231  Accumulated Depreciation, Total - - - -28.72  Goodwill, Net - - - -  Intangibles, Net - - - 2.63  Long Term Investments - - - 168646.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 109 53 - 51.72  Other Assets, Total 10488 10280 - -","Property/Plant/Equipment, Total - Net 258430 213459 - 202.28  Property/Plant/Equipment, Total - Gross 258427 213457 - 231  Accumulated Depreciation, Total - - - -28.72  Goodwill, Net - - - -  Intangibles, Net - - - 2.63  Long Term Investments - - - 168646.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 109 53 - 51.72  Other Assets, Total 10488 10280 - -","Property/Plant/Equipment, Total - Net 258430 213459 - 202.28  Property/Plant/Equipment, Total - Gross 258427 213457 - 231  Accumulated Depreciation, Total - - - -28.72  Goodwill, Net - - - -  Intangibles, Net - - - 2.63  Long Term Investments - - - 168646.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 109 53 - 51.72  Other Assets, Total 10488 10280 - -","Property/Plant/Equipment, Total - Net 258430 213459 - 202.28  Property/Plant/Equipment, Total - Gross 258427 213457 - 231  Accumulated Depreciation, Total - - - -28.72  Goodwill, Net - - - -  Intangibles, Net - - - 2.63  Long Term Investments - - - 168646.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 109 53 - 51.72  Other Assets, Total 10488 10280 - -"
"Property/Plant/Equipment, Total - Net",258430,213459,-,202.28
"Property/Plant/Equipment, Total - Gross",258427,213457,-,231
"Accumulated Depreciation, Total",-,-,-,-28.72
"Goodwill, Net",-,-,-,-
"Intangibles, Net",-,-,-,2.63
Long Term Investments,-,-,-,168646.66
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",109,53,-,51.72
"Other Assets, Total",10488,10280,-,-
Total Current Liabilities,13402,8330,-,5442.07
