Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,40247,37974,41515,35479
"Cash and Short Term Investments 10288 10362 16707 10060  Cash - - - -  Cash & Equivalents 10288 10362 16707 10060  Short Term Investments - - - -  Total Receivables, Net 12864 12290 14096 11901  Accounts Receivables - Trade, Net 12863 12287 10924 9906  Total Inventory 12830 11790 10134 12936  Prepaid Expenses - - 340 282  Other Current Assets, Total 4265 3532 238 300","Cash and Short Term Investments 10288 10362 16707 10060  Cash - - - -  Cash & Equivalents 10288 10362 16707 10060  Short Term Investments - - - -  Total Receivables, Net 12864 12290 14096 11901  Accounts Receivables - Trade, Net 12863 12287 10924 9906  Total Inventory 12830 11790 10134 12936  Prepaid Expenses - - 340 282  Other Current Assets, Total 4265 3532 238 300","Cash and Short Term Investments 10288 10362 16707 10060  Cash - - - -  Cash & Equivalents 10288 10362 16707 10060  Short Term Investments - - - -  Total Receivables, Net 12864 12290 14096 11901  Accounts Receivables - Trade, Net 12863 12287 10924 9906  Total Inventory 12830 11790 10134 12936  Prepaid Expenses - - 340 282  Other Current Assets, Total 4265 3532 238 300","Cash and Short Term Investments 10288 10362 16707 10060  Cash - - - -  Cash & Equivalents 10288 10362 16707 10060  Short Term Investments - - - -  Total Receivables, Net 12864 12290 14096 11901  Accounts Receivables - Trade, Net 12863 12287 10924 9906  Total Inventory 12830 11790 10134 12936  Prepaid Expenses - - 340 282  Other Current Assets, Total 4265 3532 238 300","Cash and Short Term Investments 10288 10362 16707 10060  Cash - - - -  Cash & Equivalents 10288 10362 16707 10060  Short Term Investments - - - -  Total Receivables, Net 12864 12290 14096 11901  Accounts Receivables - Trade, Net 12863 12287 10924 9906  Total Inventory 12830 11790 10134 12936  Prepaid Expenses - - 340 282  Other Current Assets, Total 4265 3532 238 300"
Cash and Short Term Investments,10288,10362,16707,10060
Cash,-,-,-,-
Cash & Equivalents,10288,10362,16707,10060
Short Term Investments,-,-,-,-
"Total Receivables, Net",12864,12290,14096,11901
"Accounts Receivables - Trade, Net",12863,12287,10924,9906
Total Inventory,12830,11790,10134,12936
Prepaid Expenses,-,-,340,282
"Other Current Assets, Total",4265,3532,238,300
Total Assets,64162,61220,63054,54547
"Property/Plant/Equipment, Total - Net 17503 16791 16440 17266  Property/Plant/Equipment, Total - Gross - - 90249 107018  Accumulated Depreciation, Total - - -73810 -89754  Goodwill, Net - - 15 15  Intangibles, Net 336 167 161 213  Long Term Investments 3897 3801 3689 705  Note Receivable - Long Term 1 - - -  Other Long Term Assets, Total 515 2487 1234 869  Other Assets, Total 5895 - - -","Property/Plant/Equipment, Total - Net 17503 16791 16440 17266  Property/Plant/Equipment, Total - Gross - - 90249 107018  Accumulated Depreciation, Total - - -73810 -89754  Goodwill, Net - - 15 15  Intangibles, Net 336 167 161 213  Long Term Investments 3897 3801 3689 705  Note Receivable - Long Term 1 - - -  Other Long Term Assets, Total 515 2487 1234 869  Other Assets, Total 5895 - - -","Property/Plant/Equipment, Total - Net 17503 16791 16440 17266  Property/Plant/Equipment, Total - Gross - - 90249 107018  Accumulated Depreciation, Total - - -73810 -89754  Goodwill, Net - - 15 15  Intangibles, Net 336 167 161 213  Long Term Investments 3897 3801 3689 705  Note Receivable - Long Term 1 - - -  Other Long Term Assets, Total 515 2487 1234 869  Other Assets, Total 5895 - - -","Property/Plant/Equipment, Total - Net 17503 16791 16440 17266  Property/Plant/Equipment, Total - Gross - - 90249 107018  Accumulated Depreciation, Total - - -73810 -89754  Goodwill, Net - - 15 15  Intangibles, Net 336 167 161 213  Long Term Investments 3897 3801 3689 705  Note Receivable - Long Term 1 - - -  Other Long Term Assets, Total 515 2487 1234 869  Other Assets, Total 5895 - - -","Property/Plant/Equipment, Total - Net 17503 16791 16440 17266  Property/Plant/Equipment, Total - Gross - - 90249 107018  Accumulated Depreciation, Total - - -73810 -89754  Goodwill, Net - - 15 15  Intangibles, Net 336 167 161 213  Long Term Investments 3897 3801 3689 705  Note Receivable - Long Term 1 - - -  Other Long Term Assets, Total 515 2487 1234 869  Other Assets, Total 5895 - - -"
"Property/Plant/Equipment, Total - Net",17503,16791,16440,17266
"Property/Plant/Equipment, Total - Gross",-,-,90249,107018
"Accumulated Depreciation, Total",-,-,-73810,-89754
"Goodwill, Net",-,-,15,15
"Intangibles, Net",336,167,161,213
Long Term Investments,3897,3801,3689,705
Note Receivable - Long Term,1,-,-,-
"Other Long Term Assets, Total",515,2487,1234,869
"Other Assets, Total",5895,-,-,-
