Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,894,758.59,1134.07,1052.99
"Cash and Short Term Investments 396 365.37 545.02 418.47  Cash - - - -  Cash & Equivalents 396 365.37 545.02 418.47  Short Term Investments - - - -  Total Receivables, Net 388 254.66 551.1 598.37  Accounts Receivables - Trade, Net 388 254.66 551.1 598.37  Total Inventory 4 37.68 14.43 17.98  Prepaid Expenses - 58.29 - -  Other Current Assets, Total 106 42.6 23.51 18.17","Cash and Short Term Investments 396 365.37 545.02 418.47  Cash - - - -  Cash & Equivalents 396 365.37 545.02 418.47  Short Term Investments - - - -  Total Receivables, Net 388 254.66 551.1 598.37  Accounts Receivables - Trade, Net 388 254.66 551.1 598.37  Total Inventory 4 37.68 14.43 17.98  Prepaid Expenses - 58.29 - -  Other Current Assets, Total 106 42.6 23.51 18.17","Cash and Short Term Investments 396 365.37 545.02 418.47  Cash - - - -  Cash & Equivalents 396 365.37 545.02 418.47  Short Term Investments - - - -  Total Receivables, Net 388 254.66 551.1 598.37  Accounts Receivables - Trade, Net 388 254.66 551.1 598.37  Total Inventory 4 37.68 14.43 17.98  Prepaid Expenses - 58.29 - -  Other Current Assets, Total 106 42.6 23.51 18.17","Cash and Short Term Investments 396 365.37 545.02 418.47  Cash - - - -  Cash & Equivalents 396 365.37 545.02 418.47  Short Term Investments - - - -  Total Receivables, Net 388 254.66 551.1 598.37  Accounts Receivables - Trade, Net 388 254.66 551.1 598.37  Total Inventory 4 37.68 14.43 17.98  Prepaid Expenses - 58.29 - -  Other Current Assets, Total 106 42.6 23.51 18.17","Cash and Short Term Investments 396 365.37 545.02 418.47  Cash - - - -  Cash & Equivalents 396 365.37 545.02 418.47  Short Term Investments - - - -  Total Receivables, Net 388 254.66 551.1 598.37  Accounts Receivables - Trade, Net 388 254.66 551.1 598.37  Total Inventory 4 37.68 14.43 17.98  Prepaid Expenses - 58.29 - -  Other Current Assets, Total 106 42.6 23.51 18.17"
Cash and Short Term Investments,396,365.37,545.02,418.47
Cash,-,-,-,-
Cash & Equivalents,396,365.37,545.02,418.47
Short Term Investments,-,-,-,-
"Total Receivables, Net",388,254.66,551.1,598.37
"Accounts Receivables - Trade, Net",388,254.66,551.1,598.37
Total Inventory,4,37.68,14.43,17.98
Prepaid Expenses,-,58.29,-,-
