Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,191516.29,155686.47,102015.85,82743.74
"Cash and Short Term Investments 47855.52 43043 30299.54 14126.54  Cash - - - -  Cash & Equivalents 46258.16 43043 30299.54 14126.54  Short Term Investments 1597.36 - - -  Total Receivables, Net 59.62 512 260.19 488.83  Accounts Receivables - Trade, Net 59.62 512 260.19 488.83  Total Inventory 136815.68 107731 68221.71 65667.01  Prepaid Expenses - 2037.31 1794.22 1412.76  Other Current Assets, Total 6785.48 4400 1440.18 1048.6","Cash and Short Term Investments 47855.52 43043 30299.54 14126.54  Cash - - - -  Cash & Equivalents 46258.16 43043 30299.54 14126.54  Short Term Investments 1597.36 - - -  Total Receivables, Net 59.62 512 260.19 488.83  Accounts Receivables - Trade, Net 59.62 512 260.19 488.83  Total Inventory 136815.68 107731 68221.71 65667.01  Prepaid Expenses - 2037.31 1794.22 1412.76  Other Current Assets, Total 6785.48 4400 1440.18 1048.6","Cash and Short Term Investments 47855.52 43043 30299.54 14126.54  Cash - - - -  Cash & Equivalents 46258.16 43043 30299.54 14126.54  Short Term Investments 1597.36 - - -  Total Receivables, Net 59.62 512 260.19 488.83  Accounts Receivables - Trade, Net 59.62 512 260.19 488.83  Total Inventory 136815.68 107731 68221.71 65667.01  Prepaid Expenses - 2037.31 1794.22 1412.76  Other Current Assets, Total 6785.48 4400 1440.18 1048.6","Cash and Short Term Investments 47855.52 43043 30299.54 14126.54  Cash - - - -  Cash & Equivalents 46258.16 43043 30299.54 14126.54  Short Term Investments 1597.36 - - -  Total Receivables, Net 59.62 512 260.19 488.83  Accounts Receivables - Trade, Net 59.62 512 260.19 488.83  Total Inventory 136815.68 107731 68221.71 65667.01  Prepaid Expenses - 2037.31 1794.22 1412.76  Other Current Assets, Total 6785.48 4400 1440.18 1048.6","Cash and Short Term Investments 47855.52 43043 30299.54 14126.54  Cash - - - -  Cash & Equivalents 46258.16 43043 30299.54 14126.54  Short Term Investments 1597.36 - - -  Total Receivables, Net 59.62 512 260.19 488.83  Accounts Receivables - Trade, Net 59.62 512 260.19 488.83  Total Inventory 136815.68 107731 68221.71 65667.01  Prepaid Expenses - 2037.31 1794.22 1412.76  Other Current Assets, Total 6785.48 4400 1440.18 1048.6"
Cash and Short Term Investments,47855.52,43043,30299.54,14126.54
Cash,-,-,-,-
Cash & Equivalents,46258.16,43043,30299.54,14126.54
Short Term Investments,1597.36,-,-,-
"Total Receivables, Net",59.62,512,260.19,488.83
"Accounts Receivables - Trade, Net",59.62,512,260.19,488.83
Total Inventory,136815.68,107731,68221.71,65667.01
Prepaid Expenses,-,2037.31,1794.22,1412.76
"Other Current Assets, Total",6785.48,4400,1440.18,1048.6
Total Assets,199461.28,163240.76,110127.07,89936.05
