Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,2877,2732,2522.05,3238.35
"Cash and Short Term Investments 1312 477 317.89 1223.16  Cash - - - -  Cash & Equivalents 1312 477 317.89 1223.16  Short Term Investments - - - -  Total Receivables, Net 137 1015 15.65 209.73  Accounts Receivables - Trade, Net 137 1015 15.65 209.73  Total Inventory 1172 1031 1883.6 1297.12  Prepaid Expenses - 64.72 109.76 147.99  Other Current Assets, Total 256 209 195.15 360.35","Cash and Short Term Investments 1312 477 317.89 1223.16  Cash - - - -  Cash & Equivalents 1312 477 317.89 1223.16  Short Term Investments - - - -  Total Receivables, Net 137 1015 15.65 209.73  Accounts Receivables - Trade, Net 137 1015 15.65 209.73  Total Inventory 1172 1031 1883.6 1297.12  Prepaid Expenses - 64.72 109.76 147.99  Other Current Assets, Total 256 209 195.15 360.35","Cash and Short Term Investments 1312 477 317.89 1223.16  Cash - - - -  Cash & Equivalents 1312 477 317.89 1223.16  Short Term Investments - - - -  Total Receivables, Net 137 1015 15.65 209.73  Accounts Receivables - Trade, Net 137 1015 15.65 209.73  Total Inventory 1172 1031 1883.6 1297.12  Prepaid Expenses - 64.72 109.76 147.99  Other Current Assets, Total 256 209 195.15 360.35","Cash and Short Term Investments 1312 477 317.89 1223.16  Cash - - - -  Cash & Equivalents 1312 477 317.89 1223.16  Short Term Investments - - - -  Total Receivables, Net 137 1015 15.65 209.73  Accounts Receivables - Trade, Net 137 1015 15.65 209.73  Total Inventory 1172 1031 1883.6 1297.12  Prepaid Expenses - 64.72 109.76 147.99  Other Current Assets, Total 256 209 195.15 360.35","Cash and Short Term Investments 1312 477 317.89 1223.16  Cash - - - -  Cash & Equivalents 1312 477 317.89 1223.16  Short Term Investments - - - -  Total Receivables, Net 137 1015 15.65 209.73  Accounts Receivables - Trade, Net 137 1015 15.65 209.73  Total Inventory 1172 1031 1883.6 1297.12  Prepaid Expenses - 64.72 109.76 147.99  Other Current Assets, Total 256 209 195.15 360.35"
Cash and Short Term Investments,1312,477,317.89,1223.16
Cash,-,-,-,-
Cash & Equivalents,1312,477,317.89,1223.16
Short Term Investments,-,-,-,-
"Total Receivables, Net",137,1015,15.65,209.73
"Accounts Receivables - Trade, Net",137,1015,15.65,209.73
Total Inventory,1172,1031,1883.6,1297.12
Prepaid Expenses,-,64.72,109.76,147.99
"Other Current Assets, Total",256,209,195.15,360.35
Total Assets,4158,3239,3085.09,4735.68
