Period Ending:,202131/12,202031/12,201931/12,201831/12
Total Current Assets,4875.33,3361.72,2986.24,2492.23
"Cash and Short Term Investments 3183.33 2176.91 1641.58 1234.13  Cash - - - -  Cash & Equivalents 3152.97 2176.91 1641.58 1234.13  Short Term Investments 30.36 - - -  Total Receivables, Net 1142.57 789.62 943.12 874.89  Accounts Receivables - Trade, Net 1091.16 710.44 847.59 796.75  Total Inventory 249.37 201.54 223.76 205.91  Prepaid Expenses 176.1 186.57 169.18 166  Other Current Assets, Total 123.96 7.09 8.58 11.28","Cash and Short Term Investments 3183.33 2176.91 1641.58 1234.13  Cash - - - -  Cash & Equivalents 3152.97 2176.91 1641.58 1234.13  Short Term Investments 30.36 - - -  Total Receivables, Net 1142.57 789.62 943.12 874.89  Accounts Receivables - Trade, Net 1091.16 710.44 847.59 796.75  Total Inventory 249.37 201.54 223.76 205.91  Prepaid Expenses 176.1 186.57 169.18 166  Other Current Assets, Total 123.96 7.09 8.58 11.28","Cash and Short Term Investments 3183.33 2176.91 1641.58 1234.13  Cash - - - -  Cash & Equivalents 3152.97 2176.91 1641.58 1234.13  Short Term Investments 30.36 - - -  Total Receivables, Net 1142.57 789.62 943.12 874.89  Accounts Receivables - Trade, Net 1091.16 710.44 847.59 796.75  Total Inventory 249.37 201.54 223.76 205.91  Prepaid Expenses 176.1 186.57 169.18 166  Other Current Assets, Total 123.96 7.09 8.58 11.28","Cash and Short Term Investments 3183.33 2176.91 1641.58 1234.13  Cash - - - -  Cash & Equivalents 3152.97 2176.91 1641.58 1234.13  Short Term Investments 30.36 - - -  Total Receivables, Net 1142.57 789.62 943.12 874.89  Accounts Receivables - Trade, Net 1091.16 710.44 847.59 796.75  Total Inventory 249.37 201.54 223.76 205.91  Prepaid Expenses 176.1 186.57 169.18 166  Other Current Assets, Total 123.96 7.09 8.58 11.28","Cash and Short Term Investments 3183.33 2176.91 1641.58 1234.13  Cash - - - -  Cash & Equivalents 3152.97 2176.91 1641.58 1234.13  Short Term Investments 30.36 - - -  Total Receivables, Net 1142.57 789.62 943.12 874.89  Accounts Receivables - Trade, Net 1091.16 710.44 847.59 796.75  Total Inventory 249.37 201.54 223.76 205.91  Prepaid Expenses 176.1 186.57 169.18 166  Other Current Assets, Total 123.96 7.09 8.58 11.28"
Cash and Short Term Investments,3183.33,2176.91,1641.58,1234.13
Cash,-,-,-,-
Cash & Equivalents,3152.97,2176.91,1641.58,1234.13
Short Term Investments,30.36,-,-,-
"Total Receivables, Net",1142.57,789.62,943.12,874.89
"Accounts Receivables - Trade, Net",1091.16,710.44,847.59,796.75
Total Inventory,249.37,201.54,223.76,205.91
Prepaid Expenses,176.1,186.57,169.18,166
