Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,12882,12940.56,13770.97,13733.44
"Cash and Short Term Investments 577 260.94 688.67 2424.48  Cash - - - -  Cash & Equivalents 577 260.94 688.67 2424.48  Short Term Investments - - - -  Total Receivables, Net 5181 4761.23 5419.27 5285.65  Accounts Receivables - Trade, Net 5181 4761.23 5419.27 5285.65  Total Inventory 6691 7559.37 7299.68 5606.81  Prepaid Expenses 31 30.38 29.13 39.55  Other Current Assets, Total 402 328.64 334.22 376.96","Cash and Short Term Investments 577 260.94 688.67 2424.48  Cash - - - -  Cash & Equivalents 577 260.94 688.67 2424.48  Short Term Investments - - - -  Total Receivables, Net 5181 4761.23 5419.27 5285.65  Accounts Receivables - Trade, Net 5181 4761.23 5419.27 5285.65  Total Inventory 6691 7559.37 7299.68 5606.81  Prepaid Expenses 31 30.38 29.13 39.55  Other Current Assets, Total 402 328.64 334.22 376.96","Cash and Short Term Investments 577 260.94 688.67 2424.48  Cash - - - -  Cash & Equivalents 577 260.94 688.67 2424.48  Short Term Investments - - - -  Total Receivables, Net 5181 4761.23 5419.27 5285.65  Accounts Receivables - Trade, Net 5181 4761.23 5419.27 5285.65  Total Inventory 6691 7559.37 7299.68 5606.81  Prepaid Expenses 31 30.38 29.13 39.55  Other Current Assets, Total 402 328.64 334.22 376.96","Cash and Short Term Investments 577 260.94 688.67 2424.48  Cash - - - -  Cash & Equivalents 577 260.94 688.67 2424.48  Short Term Investments - - - -  Total Receivables, Net 5181 4761.23 5419.27 5285.65  Accounts Receivables - Trade, Net 5181 4761.23 5419.27 5285.65  Total Inventory 6691 7559.37 7299.68 5606.81  Prepaid Expenses 31 30.38 29.13 39.55  Other Current Assets, Total 402 328.64 334.22 376.96","Cash and Short Term Investments 577 260.94 688.67 2424.48  Cash - - - -  Cash & Equivalents 577 260.94 688.67 2424.48  Short Term Investments - - - -  Total Receivables, Net 5181 4761.23 5419.27 5285.65  Accounts Receivables - Trade, Net 5181 4761.23 5419.27 5285.65  Total Inventory 6691 7559.37 7299.68 5606.81  Prepaid Expenses 31 30.38 29.13 39.55  Other Current Assets, Total 402 328.64 334.22 376.96"
Cash and Short Term Investments,577,260.94,688.67,2424.48
Cash,-,-,-,-
Cash & Equivalents,577,260.94,688.67,2424.48
Short Term Investments,-,-,-,-
"Total Receivables, Net",5181,4761.23,5419.27,5285.65
"Accounts Receivables - Trade, Net",5181,4761.23,5419.27,5285.65
Total Inventory,6691,7559.37,7299.68,5606.81
Prepaid Expenses,31,30.38,29.13,39.55
"Other Current Assets, Total",402,328.64,334.22,376.96
Total Assets,34706,32058.34,29802.41,29323.06
