Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,12072,9412.59,5068.67,3684.22
"Cash and Short Term Investments 3711 3253.34 2485.11 574.59  Cash - - - -  Cash & Equivalents - 3253.34 2485.11 574.59  Short Term Investments - - - -  Total Receivables, Net - - - -  Accounts Receivables - Trade, Net - - - -  Total Inventory - 5896.5 2458.6 2996.73  Prepaid Expenses - 99.61 110.53 72.64  Other Current Assets, Total 164 163.14 14.43 40.27","Cash and Short Term Investments 3711 3253.34 2485.11 574.59  Cash - - - -  Cash & Equivalents - 3253.34 2485.11 574.59  Short Term Investments - - - -  Total Receivables, Net - - - -  Accounts Receivables - Trade, Net - - - -  Total Inventory - 5896.5 2458.6 2996.73  Prepaid Expenses - 99.61 110.53 72.64  Other Current Assets, Total 164 163.14 14.43 40.27","Cash and Short Term Investments 3711 3253.34 2485.11 574.59  Cash - - - -  Cash & Equivalents - 3253.34 2485.11 574.59  Short Term Investments - - - -  Total Receivables, Net - - - -  Accounts Receivables - Trade, Net - - - -  Total Inventory - 5896.5 2458.6 2996.73  Prepaid Expenses - 99.61 110.53 72.64  Other Current Assets, Total 164 163.14 14.43 40.27","Cash and Short Term Investments 3711 3253.34 2485.11 574.59  Cash - - - -  Cash & Equivalents - 3253.34 2485.11 574.59  Short Term Investments - - - -  Total Receivables, Net - - - -  Accounts Receivables - Trade, Net - - - -  Total Inventory - 5896.5 2458.6 2996.73  Prepaid Expenses - 99.61 110.53 72.64  Other Current Assets, Total 164 163.14 14.43 40.27","Cash and Short Term Investments 3711 3253.34 2485.11 574.59  Cash - - - -  Cash & Equivalents - 3253.34 2485.11 574.59  Short Term Investments - - - -  Total Receivables, Net - - - -  Accounts Receivables - Trade, Net - - - -  Total Inventory - 5896.5 2458.6 2996.73  Prepaid Expenses - 99.61 110.53 72.64  Other Current Assets, Total 164 163.14 14.43 40.27"
Cash and Short Term Investments,3711,3253.34,2485.11,574.59
Cash,-,-,-,-
Cash & Equivalents,-,3253.34,2485.11,574.59
Short Term Investments,-,-,-,-
"Total Receivables, Net",-,-,-,-
"Accounts Receivables - Trade, Net",-,-,-,-
Total Inventory,-,5896.5,2458.6,2996.73
Prepaid Expenses,-,99.61,110.53,72.64
"Other Current Assets, Total",164,163.14,14.43,40.27
Total Assets,-,9909.38,5255.11,3854.5
