Period Ending:,202328/02,202231/08,202228/02,202131/08
Total Current Assets,11082,11287,-,9735.09
"Cash and Short Term Investments 3639 3933 - 3133.36  Cash - - - -  Cash & Equivalents 3639 3933 - 3133.36  Short Term Investments - - - -  Total Receivables, Net 111 110 - 75.71  Accounts Receivables - Trade, Net 111 110 - 75.71  Total Inventory - - - -  Prepaid Expenses - - - 157.78  Other Current Assets, Total 7332 7244 - 6368.24","Cash and Short Term Investments 3639 3933 - 3133.36  Cash - - - -  Cash & Equivalents 3639 3933 - 3133.36  Short Term Investments - - - -  Total Receivables, Net 111 110 - 75.71  Accounts Receivables - Trade, Net 111 110 - 75.71  Total Inventory - - - -  Prepaid Expenses - - - 157.78  Other Current Assets, Total 7332 7244 - 6368.24","Cash and Short Term Investments 3639 3933 - 3133.36  Cash - - - -  Cash & Equivalents 3639 3933 - 3133.36  Short Term Investments - - - -  Total Receivables, Net 111 110 - 75.71  Accounts Receivables - Trade, Net 111 110 - 75.71  Total Inventory - - - -  Prepaid Expenses - - - 157.78  Other Current Assets, Total 7332 7244 - 6368.24","Cash and Short Term Investments 3639 3933 - 3133.36  Cash - - - -  Cash & Equivalents 3639 3933 - 3133.36  Short Term Investments - - - -  Total Receivables, Net 111 110 - 75.71  Accounts Receivables - Trade, Net 111 110 - 75.71  Total Inventory - - - -  Prepaid Expenses - - - 157.78  Other Current Assets, Total 7332 7244 - 6368.24","Cash and Short Term Investments 3639 3933 - 3133.36  Cash - - - -  Cash & Equivalents 3639 3933 - 3133.36  Short Term Investments - - - -  Total Receivables, Net 111 110 - 75.71  Accounts Receivables - Trade, Net 111 110 - 75.71  Total Inventory - - - -  Prepaid Expenses - - - 157.78  Other Current Assets, Total 7332 7244 - 6368.24"
Cash and Short Term Investments,3639,3933,-,3133.36
Cash,-,-,-,-
Cash & Equivalents,3639,3933,-,3133.36
Short Term Investments,-,-,-,-
"Total Receivables, Net",111,110,-,75.71
"Accounts Receivables - Trade, Net",111,110,-,75.71
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,157.78
"Other Current Assets, Total",7332,7244,-,6368.24
Total Assets,134403,130821,-,113808.03
