Period Ending:,202120/06,202020/06,201920/06,201820/06
Total Current Assets,64993,57996,53068,40380
"Cash and Short Term Investments 45533 38906 32488 19938  Cash - - - -  Cash & Equivalents 45533 38906 32488 19938  Short Term Investments - - - -  Total Receivables, Net 3266 3058 2472 2535  Accounts Receivables - Trade, Net 3266 3058 2472 2535  Total Inventory 14350 14526 16478 16315  Prepaid Expenses 748 697 - -  Other Current Assets, Total 1096 809 1630 1592","Cash and Short Term Investments 45533 38906 32488 19938  Cash - - - -  Cash & Equivalents 45533 38906 32488 19938  Short Term Investments - - - -  Total Receivables, Net 3266 3058 2472 2535  Accounts Receivables - Trade, Net 3266 3058 2472 2535  Total Inventory 14350 14526 16478 16315  Prepaid Expenses 748 697 - -  Other Current Assets, Total 1096 809 1630 1592","Cash and Short Term Investments 45533 38906 32488 19938  Cash - - - -  Cash & Equivalents 45533 38906 32488 19938  Short Term Investments - - - -  Total Receivables, Net 3266 3058 2472 2535  Accounts Receivables - Trade, Net 3266 3058 2472 2535  Total Inventory 14350 14526 16478 16315  Prepaid Expenses 748 697 - -  Other Current Assets, Total 1096 809 1630 1592","Cash and Short Term Investments 45533 38906 32488 19938  Cash - - - -  Cash & Equivalents 45533 38906 32488 19938  Short Term Investments - - - -  Total Receivables, Net 3266 3058 2472 2535  Accounts Receivables - Trade, Net 3266 3058 2472 2535  Total Inventory 14350 14526 16478 16315  Prepaid Expenses 748 697 - -  Other Current Assets, Total 1096 809 1630 1592","Cash and Short Term Investments 45533 38906 32488 19938  Cash - - - -  Cash & Equivalents 45533 38906 32488 19938  Short Term Investments - - - -  Total Receivables, Net 3266 3058 2472 2535  Accounts Receivables - Trade, Net 3266 3058 2472 2535  Total Inventory 14350 14526 16478 16315  Prepaid Expenses 748 697 - -  Other Current Assets, Total 1096 809 1630 1592"
Cash and Short Term Investments,45533,38906,32488,19938
Cash,-,-,-,-
Cash & Equivalents,45533,38906,32488,19938
Short Term Investments,-,-,-,-
"Total Receivables, Net",3266,3058,2472,2535
"Accounts Receivables - Trade, Net",3266,3058,2472,2535
Total Inventory,14350,14526,16478,16315
Prepaid Expenses,748,697,-,-
"Other Current Assets, Total",1096,809,1630,1592
Total Assets,160606,157766,161739,152187
