Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,16856,13542,13840.19,6298.61
"Cash and Short Term Investments 15432 12389 12815.23 5627.03  Cash - - - -  Cash & Equivalents 15432 12389 12815.23 5627.03  Short Term Investments - - - -  Total Receivables, Net 753 567 437.78 315.92  Accounts Receivables - Trade, Net 753 567 437.44 315.65  Total Inventory - - - -  Prepaid Expenses 478 469 410.58 322.66  Other Current Assets, Total 193 117 176.61 33","Cash and Short Term Investments 15432 12389 12815.23 5627.03  Cash - - - -  Cash & Equivalents 15432 12389 12815.23 5627.03  Short Term Investments - - - -  Total Receivables, Net 753 567 437.78 315.92  Accounts Receivables - Trade, Net 753 567 437.44 315.65  Total Inventory - - - -  Prepaid Expenses 478 469 410.58 322.66  Other Current Assets, Total 193 117 176.61 33","Cash and Short Term Investments 15432 12389 12815.23 5627.03  Cash - - - -  Cash & Equivalents 15432 12389 12815.23 5627.03  Short Term Investments - - - -  Total Receivables, Net 753 567 437.78 315.92  Accounts Receivables - Trade, Net 753 567 437.44 315.65  Total Inventory - - - -  Prepaid Expenses 478 469 410.58 322.66  Other Current Assets, Total 193 117 176.61 33","Cash and Short Term Investments 15432 12389 12815.23 5627.03  Cash - - - -  Cash & Equivalents 15432 12389 12815.23 5627.03  Short Term Investments - - - -  Total Receivables, Net 753 567 437.78 315.92  Accounts Receivables - Trade, Net 753 567 437.44 315.65  Total Inventory - - - -  Prepaid Expenses 478 469 410.58 322.66  Other Current Assets, Total 193 117 176.61 33","Cash and Short Term Investments 15432 12389 12815.23 5627.03  Cash - - - -  Cash & Equivalents 15432 12389 12815.23 5627.03  Short Term Investments - - - -  Total Receivables, Net 753 567 437.78 315.92  Accounts Receivables - Trade, Net 753 567 437.44 315.65  Total Inventory - - - -  Prepaid Expenses 478 469 410.58 322.66  Other Current Assets, Total 193 117 176.61 33"
Cash and Short Term Investments,15432,12389,12815.23,5627.03
Cash,-,-,-,-
Cash & Equivalents,15432,12389,12815.23,5627.03
Short Term Investments,-,-,-,-
"Total Receivables, Net",753,567,437.78,315.92
"Accounts Receivables - Trade, Net",753,567,437.44,315.65
Total Inventory,-,-,-,-
Prepaid Expenses,478,469,410.58,322.66
"Other Current Assets, Total",193,117,176.61,33
Total Assets,26292,24310,22819.77,9079.12
"Property/Plant/Equipment, Total - Net 806 504 414.47 406.92  Property/Plant/Equipment, Total - Gross - 1082.9 839.95 661.17  Accumulated Depreciation, Total - -578.01 -425.48 -254.25  Goodwill, Net 229 185 - -  Intangibles, Net 918 1024 926.06 835.13  Long Term Investments 7065 9053 6941.6 1093.8  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 697.45 444.66  Other Assets, Total -144 -450 - -","Property/Plant/Equipment, Total - Net 806 504 414.47 406.92  Property/Plant/Equipment, Total - Gross - 1082.9 839.95 661.17  Accumulated Depreciation, Total - -578.01 -425.48 -254.25  Goodwill, Net 229 185 - -  Intangibles, Net 918 1024 926.06 835.13  Long Term Investments 7065 9053 6941.6 1093.8  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 697.45 444.66  Other Assets, Total -144 -450 - -","Property/Plant/Equipment, Total - Net 806 504 414.47 406.92  Property/Plant/Equipment, Total - Gross - 1082.9 839.95 661.17  Accumulated Depreciation, Total - -578.01 -425.48 -254.25  Goodwill, Net 229 185 - -  Intangibles, Net 918 1024 926.06 835.13  Long Term Investments 7065 9053 6941.6 1093.8  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 697.45 444.66  Other Assets, Total -144 -450 - -","Property/Plant/Equipment, Total - Net 806 504 414.47 406.92  Property/Plant/Equipment, Total - Gross - 1082.9 839.95 661.17  Accumulated Depreciation, Total - -578.01 -425.48 -254.25  Goodwill, Net 229 185 - -  Intangibles, Net 918 1024 926.06 835.13  Long Term Investments 7065 9053 6941.6 1093.8  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 697.45 444.66  Other Assets, Total -144 -450 - -","Property/Plant/Equipment, Total - Net 806 504 414.47 406.92  Property/Plant/Equipment, Total - Gross - 1082.9 839.95 661.17  Accumulated Depreciation, Total - -578.01 -425.48 -254.25  Goodwill, Net 229 185 - -  Intangibles, Net 918 1024 926.06 835.13  Long Term Investments 7065 9053 6941.6 1093.8  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 697.45 444.66  Other Assets, Total -144 -450 - -"
"Property/Plant/Equipment, Total - Net",806,504,414.47,406.92
"Property/Plant/Equipment, Total - Gross",-,1082.9,839.95,661.17
"Accumulated Depreciation, Total",-,-578.01,-425.48,-254.25
"Goodwill, Net",229,185,-,-
"Intangibles, Net",918,1024,926.06,835.13
Long Term Investments,7065,9053,6941.6,1093.8
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,2,697.45,444.66
"Other Assets, Total",-144,-450,-,-
Total Current Liabilities,11507,10243,8335.56,5428.77
"Accounts Payable 253 195 102.92 96.17  Payable/Accrued - - - -  Accrued Expenses 487 359 719.13 383.75  Notes Payable/Short Term Debt - 200 20 18  Current Port. of LT Debt/Capital Leases 477 1085 1294.96 155.56  Other Current liabilities, Total 10290 8404 6198.54 4775.29","Accounts Payable 253 195 102.92 96.17  Payable/Accrued - - - -  Accrued Expenses 487 359 719.13 383.75  Notes Payable/Short Term Debt - 200 20 18  Current Port. of LT Debt/Capital Leases 477 1085 1294.96 155.56  Other Current liabilities, Total 10290 8404 6198.54 4775.29","Accounts Payable 253 195 102.92 96.17  Payable/Accrued - - - -  Accrued Expenses 487 359 719.13 383.75  Notes Payable/Short Term Debt - 200 20 18  Current Port. of LT Debt/Capital Leases 477 1085 1294.96 155.56  Other Current liabilities, Total 10290 8404 6198.54 4775.29","Accounts Payable 253 195 102.92 96.17  Payable/Accrued - - - -  Accrued Expenses 487 359 719.13 383.75  Notes Payable/Short Term Debt - 200 20 18  Current Port. of LT Debt/Capital Leases 477 1085 1294.96 155.56  Other Current liabilities, Total 10290 8404 6198.54 4775.29","Accounts Payable 253 195 102.92 96.17  Payable/Accrued - - - -  Accrued Expenses 487 359 719.13 383.75  Notes Payable/Short Term Debt - 200 20 18  Current Port. of LT Debt/Capital Leases 477 1085 1294.96 155.56  Other Current liabilities, Total 10290 8404 6198.54 4775.29"
Accounts Payable,253,195,102.92,96.17
Payable/Accrued,-,-,-,-
Accrued Expenses,487,359,719.13,383.75
Notes Payable/Short Term Debt,-,200,20,18
Current Port. of LT Debt/Capital Leases,477,1085,1294.96,155.56
"Other Current liabilities, Total",10290,8404,6198.54,4775.29
Total Liabilities,14201,11728,12267.15,5706.15
