Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,110532,99823,80216,76082
"Cash and Short Term Investments 47591 46954 27772 34261  Cash - - - -  Cash & Equivalents 47591 46954 27772 34261  Short Term Investments - - - -  Total Receivables, Net 47537 32494 36344 29726  Accounts Receivables - Trade, Net 47537 32494 36344 29726  Total Inventory 9972 13453 9356 4672  Prepaid Expenses - 4011 3394 4641  Other Current Assets, Total 5432 6922 3350 2782","Cash and Short Term Investments 47591 46954 27772 34261  Cash - - - -  Cash & Equivalents 47591 46954 27772 34261  Short Term Investments - - - -  Total Receivables, Net 47537 32494 36344 29726  Accounts Receivables - Trade, Net 47537 32494 36344 29726  Total Inventory 9972 13453 9356 4672  Prepaid Expenses - 4011 3394 4641  Other Current Assets, Total 5432 6922 3350 2782","Cash and Short Term Investments 47591 46954 27772 34261  Cash - - - -  Cash & Equivalents 47591 46954 27772 34261  Short Term Investments - - - -  Total Receivables, Net 47537 32494 36344 29726  Accounts Receivables - Trade, Net 47537 32494 36344 29726  Total Inventory 9972 13453 9356 4672  Prepaid Expenses - 4011 3394 4641  Other Current Assets, Total 5432 6922 3350 2782","Cash and Short Term Investments 47591 46954 27772 34261  Cash - - - -  Cash & Equivalents 47591 46954 27772 34261  Short Term Investments - - - -  Total Receivables, Net 47537 32494 36344 29726  Accounts Receivables - Trade, Net 47537 32494 36344 29726  Total Inventory 9972 13453 9356 4672  Prepaid Expenses - 4011 3394 4641  Other Current Assets, Total 5432 6922 3350 2782","Cash and Short Term Investments 47591 46954 27772 34261  Cash - - - -  Cash & Equivalents 47591 46954 27772 34261  Short Term Investments - - - -  Total Receivables, Net 47537 32494 36344 29726  Accounts Receivables - Trade, Net 47537 32494 36344 29726  Total Inventory 9972 13453 9356 4672  Prepaid Expenses - 4011 3394 4641  Other Current Assets, Total 5432 6922 3350 2782"
Cash and Short Term Investments,47591,46954,27772,34261
Cash,-,-,-,-
Cash & Equivalents,47591,46954,27772,34261
Short Term Investments,-,-,-,-
"Total Receivables, Net",47537,32494,36344,29726
"Accounts Receivables - Trade, Net",47537,32494,36344,29726
Total Inventory,9972,13453,9356,4672
Prepaid Expenses,-,4011,3394,4641
"Other Current Assets, Total",5432,6922,3350,2782
Total Assets,154724,148766,133937,129212
