Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,443,579,493.65,261.58
"Cash and Short Term Investments 159 75 112.25 94.08  Cash - - - -  Cash & Equivalents 159 75 112.25 94.08  Short Term Investments - - - -  Total Receivables, Net 197 306 141.76 -112.8  Accounts Receivables - Trade, Net -214 16 73.76 -525.19  Total Inventory 47 162 108.72 94.21  Prepaid Expenses - 9.36 112.28 165.6  Other Current Assets, Total 40 36 18.65 20.49","Cash and Short Term Investments 159 75 112.25 94.08  Cash - - - -  Cash & Equivalents 159 75 112.25 94.08  Short Term Investments - - - -  Total Receivables, Net 197 306 141.76 -112.8  Accounts Receivables - Trade, Net -214 16 73.76 -525.19  Total Inventory 47 162 108.72 94.21  Prepaid Expenses - 9.36 112.28 165.6  Other Current Assets, Total 40 36 18.65 20.49","Cash and Short Term Investments 159 75 112.25 94.08  Cash - - - -  Cash & Equivalents 159 75 112.25 94.08  Short Term Investments - - - -  Total Receivables, Net 197 306 141.76 -112.8  Accounts Receivables - Trade, Net -214 16 73.76 -525.19  Total Inventory 47 162 108.72 94.21  Prepaid Expenses - 9.36 112.28 165.6  Other Current Assets, Total 40 36 18.65 20.49","Cash and Short Term Investments 159 75 112.25 94.08  Cash - - - -  Cash & Equivalents 159 75 112.25 94.08  Short Term Investments - - - -  Total Receivables, Net 197 306 141.76 -112.8  Accounts Receivables - Trade, Net -214 16 73.76 -525.19  Total Inventory 47 162 108.72 94.21  Prepaid Expenses - 9.36 112.28 165.6  Other Current Assets, Total 40 36 18.65 20.49","Cash and Short Term Investments 159 75 112.25 94.08  Cash - - - -  Cash & Equivalents 159 75 112.25 94.08  Short Term Investments - - - -  Total Receivables, Net 197 306 141.76 -112.8  Accounts Receivables - Trade, Net -214 16 73.76 -525.19  Total Inventory 47 162 108.72 94.21  Prepaid Expenses - 9.36 112.28 165.6  Other Current Assets, Total 40 36 18.65 20.49"
Cash and Short Term Investments,159,75,112.25,94.08
Cash,-,-,-,-
Cash & Equivalents,159,75,112.25,94.08
Short Term Investments,-,-,-,-
"Total Receivables, Net",197,306,141.76,-112.8
"Accounts Receivables - Trade, Net",-214,16,73.76,-525.19
Total Inventory,47,162,108.72,94.21
Prepaid Expenses,-,9.36,112.28,165.6
"Other Current Assets, Total",40,36,18.65,20.49
Total Assets,1324,1786,1382.89,1832.57
