Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,580694,499934,440062,421929
"Cash and Short Term Investments 119677 136740 120794 95111  Cash - - - -  Cash & Equivalents 116137 139489 121996 94014  Short Term Investments 3540 -2749 -1202 1097  Total Receivables, Net 152802 225559 205469 190055  Accounts Receivables - Trade, Net 151665 215698 197570 190055  Total Inventory 181337 121389 101654 121101  Prepaid Expenses 5189 11773 8529 -  Other Current Assets, Total 121689 4473 3616 15662","Cash and Short Term Investments 119677 136740 120794 95111  Cash - - - -  Cash & Equivalents 116137 139489 121996 94014  Short Term Investments 3540 -2749 -1202 1097  Total Receivables, Net 152802 225559 205469 190055  Accounts Receivables - Trade, Net 151665 215698 197570 190055  Total Inventory 181337 121389 101654 121101  Prepaid Expenses 5189 11773 8529 -  Other Current Assets, Total 121689 4473 3616 15662","Cash and Short Term Investments 119677 136740 120794 95111  Cash - - - -  Cash & Equivalents 116137 139489 121996 94014  Short Term Investments 3540 -2749 -1202 1097  Total Receivables, Net 152802 225559 205469 190055  Accounts Receivables - Trade, Net 151665 215698 197570 190055  Total Inventory 181337 121389 101654 121101  Prepaid Expenses 5189 11773 8529 -  Other Current Assets, Total 121689 4473 3616 15662","Cash and Short Term Investments 119677 136740 120794 95111  Cash - - - -  Cash & Equivalents 116137 139489 121996 94014  Short Term Investments 3540 -2749 -1202 1097  Total Receivables, Net 152802 225559 205469 190055  Accounts Receivables - Trade, Net 151665 215698 197570 190055  Total Inventory 181337 121389 101654 121101  Prepaid Expenses 5189 11773 8529 -  Other Current Assets, Total 121689 4473 3616 15662","Cash and Short Term Investments 119677 136740 120794 95111  Cash - - - -  Cash & Equivalents 116137 139489 121996 94014  Short Term Investments 3540 -2749 -1202 1097  Total Receivables, Net 152802 225559 205469 190055  Accounts Receivables - Trade, Net 151665 215698 197570 190055  Total Inventory 181337 121389 101654 121101  Prepaid Expenses 5189 11773 8529 -  Other Current Assets, Total 121689 4473 3616 15662"
Cash and Short Term Investments,119677,136740,120794,95111
Cash,-,-,-,-
Cash & Equivalents,116137,139489,121996,94014
Short Term Investments,3540,-2749,-1202,1097
"Total Receivables, Net",152802,225559,205469,190055
"Accounts Receivables - Trade, Net",151665,215698,197570,190055
Total Inventory,181337,121389,101654,121101
Prepaid Expenses,5189,11773,8529,-
"Other Current Assets, Total",121689,4473,3616,15662
Total Assets,828049,719736,644771,595239
