Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,41849,30584.94,26793.6,24111.83
"Cash and Short Term Investments 6819 7908.01 5191.97 4710.3  Cash - - - -  Cash & Equivalents 6819 7908.01 5191.97 4710.3  Short Term Investments - - - -  Total Receivables, Net 726 173.45 0.46 3.19  Accounts Receivables - Trade, Net 325 170.54 -0.25 3.19  Total Inventory 33828 21955.1 21133.49 19120.86  Prepaid Expenses 127 480.92 447.2 260.85  Other Current Assets, Total 349 67.46 20.47 16.63","Cash and Short Term Investments 6819 7908.01 5191.97 4710.3  Cash - - - -  Cash & Equivalents 6819 7908.01 5191.97 4710.3  Short Term Investments - - - -  Total Receivables, Net 726 173.45 0.46 3.19  Accounts Receivables - Trade, Net 325 170.54 -0.25 3.19  Total Inventory 33828 21955.1 21133.49 19120.86  Prepaid Expenses 127 480.92 447.2 260.85  Other Current Assets, Total 349 67.46 20.47 16.63","Cash and Short Term Investments 6819 7908.01 5191.97 4710.3  Cash - - - -  Cash & Equivalents 6819 7908.01 5191.97 4710.3  Short Term Investments - - - -  Total Receivables, Net 726 173.45 0.46 3.19  Accounts Receivables - Trade, Net 325 170.54 -0.25 3.19  Total Inventory 33828 21955.1 21133.49 19120.86  Prepaid Expenses 127 480.92 447.2 260.85  Other Current Assets, Total 349 67.46 20.47 16.63","Cash and Short Term Investments 6819 7908.01 5191.97 4710.3  Cash - - - -  Cash & Equivalents 6819 7908.01 5191.97 4710.3  Short Term Investments - - - -  Total Receivables, Net 726 173.45 0.46 3.19  Accounts Receivables - Trade, Net 325 170.54 -0.25 3.19  Total Inventory 33828 21955.1 21133.49 19120.86  Prepaid Expenses 127 480.92 447.2 260.85  Other Current Assets, Total 349 67.46 20.47 16.63","Cash and Short Term Investments 6819 7908.01 5191.97 4710.3  Cash - - - -  Cash & Equivalents 6819 7908.01 5191.97 4710.3  Short Term Investments - - - -  Total Receivables, Net 726 173.45 0.46 3.19  Accounts Receivables - Trade, Net 325 170.54 -0.25 3.19  Total Inventory 33828 21955.1 21133.49 19120.86  Prepaid Expenses 127 480.92 447.2 260.85  Other Current Assets, Total 349 67.46 20.47 16.63"
Cash and Short Term Investments,6819,7908.01,5191.97,4710.3
Cash,-,-,-,-
Cash & Equivalents,6819,7908.01,5191.97,4710.3
Short Term Investments,-,-,-,-
"Total Receivables, Net",726,173.45,0.46,3.19
"Accounts Receivables - Trade, Net",325,170.54,-0.25,3.19
Total Inventory,33828,21955.1,21133.49,19120.86
Prepaid Expenses,127,480.92,447.2,260.85
