Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,8653,9004,9493,9502.08
"Cash and Short Term Investments 4887 4691 5125 4537.31  Cash - - - -  Cash & Equivalents 4887 4691 5125 4537.31  Short Term Investments - - - -  Total Receivables, Net 2652 3543 3612 4164.19  Accounts Receivables - Trade, Net 2619 3519 3597 2795.69  Total Inventory 1080 736 729 777.3  Prepaid Expenses 31 32 26 23.28  Other Current Assets, Total 3 2 1 -","Cash and Short Term Investments 4887 4691 5125 4537.31  Cash - - - -  Cash & Equivalents 4887 4691 5125 4537.31  Short Term Investments - - - -  Total Receivables, Net 2652 3543 3612 4164.19  Accounts Receivables - Trade, Net 2619 3519 3597 2795.69  Total Inventory 1080 736 729 777.3  Prepaid Expenses 31 32 26 23.28  Other Current Assets, Total 3 2 1 -","Cash and Short Term Investments 4887 4691 5125 4537.31  Cash - - - -  Cash & Equivalents 4887 4691 5125 4537.31  Short Term Investments - - - -  Total Receivables, Net 2652 3543 3612 4164.19  Accounts Receivables - Trade, Net 2619 3519 3597 2795.69  Total Inventory 1080 736 729 777.3  Prepaid Expenses 31 32 26 23.28  Other Current Assets, Total 3 2 1 -","Cash and Short Term Investments 4887 4691 5125 4537.31  Cash - - - -  Cash & Equivalents 4887 4691 5125 4537.31  Short Term Investments - - - -  Total Receivables, Net 2652 3543 3612 4164.19  Accounts Receivables - Trade, Net 2619 3519 3597 2795.69  Total Inventory 1080 736 729 777.3  Prepaid Expenses 31 32 26 23.28  Other Current Assets, Total 3 2 1 -","Cash and Short Term Investments 4887 4691 5125 4537.31  Cash - - - -  Cash & Equivalents 4887 4691 5125 4537.31  Short Term Investments - - - -  Total Receivables, Net 2652 3543 3612 4164.19  Accounts Receivables - Trade, Net 2619 3519 3597 2795.69  Total Inventory 1080 736 729 777.3  Prepaid Expenses 31 32 26 23.28  Other Current Assets, Total 3 2 1 -"
Cash and Short Term Investments,4887,4691,5125,4537.31
Cash,-,-,-,-
Cash & Equivalents,4887,4691,5125,4537.31
Short Term Investments,-,-,-,-
"Total Receivables, Net",2652,3543,3612,4164.19
"Accounts Receivables - Trade, Net",2619,3519,3597,2795.69
Total Inventory,1080,736,729,777.3
Prepaid Expenses,31,32,26,23.28
"Other Current Assets, Total",3,2,1,-
Total Assets,13480,13626,14144,14035.8
