Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,10659,9558.17,7140.62,7850.73
"Cash and Short Term Investments 5797 5440.74 2628.75 1302.82  Cash - - - -  Cash & Equivalents 5797 5440.74 2628.75 1302.82  Short Term Investments - - - -  Total Receivables, Net 2526 2330.91 2322.71 4396.99  Accounts Receivables - Trade, Net 1849 1888.59 1965.21 3258.05  Total Inventory 1847 1363.39 1653.79 1646.91  Prepaid Expenses 300 322.6 442.48 436.92  Other Current Assets, Total 189 100.53 92.89 67.09","Cash and Short Term Investments 5797 5440.74 2628.75 1302.82  Cash - - - -  Cash & Equivalents 5797 5440.74 2628.75 1302.82  Short Term Investments - - - -  Total Receivables, Net 2526 2330.91 2322.71 4396.99  Accounts Receivables - Trade, Net 1849 1888.59 1965.21 3258.05  Total Inventory 1847 1363.39 1653.79 1646.91  Prepaid Expenses 300 322.6 442.48 436.92  Other Current Assets, Total 189 100.53 92.89 67.09","Cash and Short Term Investments 5797 5440.74 2628.75 1302.82  Cash - - - -  Cash & Equivalents 5797 5440.74 2628.75 1302.82  Short Term Investments - - - -  Total Receivables, Net 2526 2330.91 2322.71 4396.99  Accounts Receivables - Trade, Net 1849 1888.59 1965.21 3258.05  Total Inventory 1847 1363.39 1653.79 1646.91  Prepaid Expenses 300 322.6 442.48 436.92  Other Current Assets, Total 189 100.53 92.89 67.09","Cash and Short Term Investments 5797 5440.74 2628.75 1302.82  Cash - - - -  Cash & Equivalents 5797 5440.74 2628.75 1302.82  Short Term Investments - - - -  Total Receivables, Net 2526 2330.91 2322.71 4396.99  Accounts Receivables - Trade, Net 1849 1888.59 1965.21 3258.05  Total Inventory 1847 1363.39 1653.79 1646.91  Prepaid Expenses 300 322.6 442.48 436.92  Other Current Assets, Total 189 100.53 92.89 67.09","Cash and Short Term Investments 5797 5440.74 2628.75 1302.82  Cash - - - -  Cash & Equivalents 5797 5440.74 2628.75 1302.82  Short Term Investments - - - -  Total Receivables, Net 2526 2330.91 2322.71 4396.99  Accounts Receivables - Trade, Net 1849 1888.59 1965.21 3258.05  Total Inventory 1847 1363.39 1653.79 1646.91  Prepaid Expenses 300 322.6 442.48 436.92  Other Current Assets, Total 189 100.53 92.89 67.09"
Cash and Short Term Investments,5797,5440.74,2628.75,1302.82
Cash,-,-,-,-
Cash & Equivalents,5797,5440.74,2628.75,1302.82
Short Term Investments,-,-,-,-
"Total Receivables, Net",2526,2330.91,2322.71,4396.99
"Accounts Receivables - Trade, Net",1849,1888.59,1965.21,3258.05
Total Inventory,1847,1363.39,1653.79,1646.91
Prepaid Expenses,300,322.6,442.48,436.92
