Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1049954,923354,872588,867514
"Cash and Short Term Investments 376840 337283 326128 324943  Cash - - - -  Cash & Equivalents - 315986 326128 313126  Short Term Investments - 21297 5560 11817  Total Receivables, Net 445778 404001 362722 373505  Accounts Receivables - Trade, Net - 382462 343178 347042  Total Inventory 174386 153072 164080 151017  Prepaid Expenses - - - 11483  Other Current Assets, Total 52950 28998 19658 18049","Cash and Short Term Investments 376840 337283 326128 324943  Cash - - - -  Cash & Equivalents - 315986 326128 313126  Short Term Investments - 21297 5560 11817  Total Receivables, Net 445778 404001 362722 373505  Accounts Receivables - Trade, Net - 382462 343178 347042  Total Inventory 174386 153072 164080 151017  Prepaid Expenses - - - 11483  Other Current Assets, Total 52950 28998 19658 18049","Cash and Short Term Investments 376840 337283 326128 324943  Cash - - - -  Cash & Equivalents - 315986 326128 313126  Short Term Investments - 21297 5560 11817  Total Receivables, Net 445778 404001 362722 373505  Accounts Receivables - Trade, Net - 382462 343178 347042  Total Inventory 174386 153072 164080 151017  Prepaid Expenses - - - 11483  Other Current Assets, Total 52950 28998 19658 18049","Cash and Short Term Investments 376840 337283 326128 324943  Cash - - - -  Cash & Equivalents - 315986 326128 313126  Short Term Investments - 21297 5560 11817  Total Receivables, Net 445778 404001 362722 373505  Accounts Receivables - Trade, Net - 382462 343178 347042  Total Inventory 174386 153072 164080 151017  Prepaid Expenses - - - 11483  Other Current Assets, Total 52950 28998 19658 18049","Cash and Short Term Investments 376840 337283 326128 324943  Cash - - - -  Cash & Equivalents - 315986 326128 313126  Short Term Investments - 21297 5560 11817  Total Receivables, Net 445778 404001 362722 373505  Accounts Receivables - Trade, Net - 382462 343178 347042  Total Inventory 174386 153072 164080 151017  Prepaid Expenses - - - 11483  Other Current Assets, Total 52950 28998 19658 18049"
Cash and Short Term Investments,376840,337283,326128,324943
Cash,-,-,-,-
Cash & Equivalents,-,315986,326128,313126
Short Term Investments,-,21297,5560,11817
"Total Receivables, Net",445778,404001,362722,373505
"Accounts Receivables - Trade, Net",-,382462,343178,347042
Total Inventory,174386,153072,164080,151017
Prepaid Expenses,-,-,-,11483
"Other Current Assets, Total",52950,28998,19658,18049
Total Assets,2456518,2332395,2273628,2315169
