Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,14168.46,10473,11165,6417.16
"Cash and Short Term Investments 8224.62 5517 8206 4176.11  Cash - - - -  Cash & Equivalents 8224.62 5517 8206 4176.11  Short Term Investments - - - -  Total Receivables, Net 4364.12 4126 2633 1548.09  Accounts Receivables - Trade, Net 4269.04 4044 2339 1536.57  Total Inventory 1261.02 351 234 605.5  Prepaid Expenses 117.58 88 85 78.26  Other Current Assets, Total 201.11 391 7 9.2","Cash and Short Term Investments 8224.62 5517 8206 4176.11  Cash - - - -  Cash & Equivalents 8224.62 5517 8206 4176.11  Short Term Investments - - - -  Total Receivables, Net 4364.12 4126 2633 1548.09  Accounts Receivables - Trade, Net 4269.04 4044 2339 1536.57  Total Inventory 1261.02 351 234 605.5  Prepaid Expenses 117.58 88 85 78.26  Other Current Assets, Total 201.11 391 7 9.2","Cash and Short Term Investments 8224.62 5517 8206 4176.11  Cash - - - -  Cash & Equivalents 8224.62 5517 8206 4176.11  Short Term Investments - - - -  Total Receivables, Net 4364.12 4126 2633 1548.09  Accounts Receivables - Trade, Net 4269.04 4044 2339 1536.57  Total Inventory 1261.02 351 234 605.5  Prepaid Expenses 117.58 88 85 78.26  Other Current Assets, Total 201.11 391 7 9.2","Cash and Short Term Investments 8224.62 5517 8206 4176.11  Cash - - - -  Cash & Equivalents 8224.62 5517 8206 4176.11  Short Term Investments - - - -  Total Receivables, Net 4364.12 4126 2633 1548.09  Accounts Receivables - Trade, Net 4269.04 4044 2339 1536.57  Total Inventory 1261.02 351 234 605.5  Prepaid Expenses 117.58 88 85 78.26  Other Current Assets, Total 201.11 391 7 9.2","Cash and Short Term Investments 8224.62 5517 8206 4176.11  Cash - - - -  Cash & Equivalents 8224.62 5517 8206 4176.11  Short Term Investments - - - -  Total Receivables, Net 4364.12 4126 2633 1548.09  Accounts Receivables - Trade, Net 4269.04 4044 2339 1536.57  Total Inventory 1261.02 351 234 605.5  Prepaid Expenses 117.58 88 85 78.26  Other Current Assets, Total 201.11 391 7 9.2"
Cash and Short Term Investments,8224.62,5517,8206,4176.11
Cash,-,-,-,-
Cash & Equivalents,8224.62,5517,8206,4176.11
Short Term Investments,-,-,-,-
"Total Receivables, Net",4364.12,4126,2633,1548.09
"Accounts Receivables - Trade, Net",4269.04,4044,2339,1536.57
Total Inventory,1261.02,351,234,605.5
Prepaid Expenses,117.58,88,85,78.26
