Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,1639,1876.87,2160.32,2460.45
"Cash and Short Term Investments 1563 1830.27 1817.58 2281.19  Cash - - - -  Cash & Equivalents 1563 1830.27 1817.58 2281.19  Short Term Investments - - - 7.5  Total Receivables, Net 61 36.01 251.6 163  Accounts Receivables - Trade, Net 25 8.33 18.09 25.57  Total Inventory - - - -  Prepaid Expenses 14 9.89 13.43 15.03  Other Current Assets, Total 1 0.7 77.72 1.22","Cash and Short Term Investments 1563 1830.27 1817.58 2281.19  Cash - - - -  Cash & Equivalents 1563 1830.27 1817.58 2281.19  Short Term Investments - - - 7.5  Total Receivables, Net 61 36.01 251.6 163  Accounts Receivables - Trade, Net 25 8.33 18.09 25.57  Total Inventory - - - -  Prepaid Expenses 14 9.89 13.43 15.03  Other Current Assets, Total 1 0.7 77.72 1.22","Cash and Short Term Investments 1563 1830.27 1817.58 2281.19  Cash - - - -  Cash & Equivalents 1563 1830.27 1817.58 2281.19  Short Term Investments - - - 7.5  Total Receivables, Net 61 36.01 251.6 163  Accounts Receivables - Trade, Net 25 8.33 18.09 25.57  Total Inventory - - - -  Prepaid Expenses 14 9.89 13.43 15.03  Other Current Assets, Total 1 0.7 77.72 1.22","Cash and Short Term Investments 1563 1830.27 1817.58 2281.19  Cash - - - -  Cash & Equivalents 1563 1830.27 1817.58 2281.19  Short Term Investments - - - 7.5  Total Receivables, Net 61 36.01 251.6 163  Accounts Receivables - Trade, Net 25 8.33 18.09 25.57  Total Inventory - - - -  Prepaid Expenses 14 9.89 13.43 15.03  Other Current Assets, Total 1 0.7 77.72 1.22","Cash and Short Term Investments 1563 1830.27 1817.58 2281.19  Cash - - - -  Cash & Equivalents 1563 1830.27 1817.58 2281.19  Short Term Investments - - - 7.5  Total Receivables, Net 61 36.01 251.6 163  Accounts Receivables - Trade, Net 25 8.33 18.09 25.57  Total Inventory - - - -  Prepaid Expenses 14 9.89 13.43 15.03  Other Current Assets, Total 1 0.7 77.72 1.22"
Cash and Short Term Investments,1563,1830.27,1817.58,2281.19
Cash,-,-,-,-
Cash & Equivalents,1563,1830.27,1817.58,2281.19
Short Term Investments,-,-,-,7.5
"Total Receivables, Net",61,36.01,251.6,163
"Accounts Receivables - Trade, Net",25,8.33,18.09,25.57
Total Inventory,-,-,-,-
Prepaid Expenses,14,9.89,13.43,15.03
"Other Current Assets, Total",1,0.7,77.72,1.22
Total Assets,1689,1942.74,2269.43,2690.93
"Property/Plant/Equipment, Total - Net 11 12.94 3.66 51.48  Property/Plant/Equipment, Total - Gross 20.24 20.71 17.88 102.72  Accumulated Depreciation, Total -8.91 -7.77 -14.21 -51.23  Goodwill, Net - - - -  Intangibles, Net 7 13.89 49.05 28.12  Long Term Investments 31 9.67 9.67 9.67  Note Receivable - Long Term 36 1.84 5.17 -  Other Long Term Assets, Total 1 27.54 41.55 141.2  Other Assets, Total -60 - - -","Property/Plant/Equipment, Total - Net 11 12.94 3.66 51.48  Property/Plant/Equipment, Total - Gross 20.24 20.71 17.88 102.72  Accumulated Depreciation, Total -8.91 -7.77 -14.21 -51.23  Goodwill, Net - - - -  Intangibles, Net 7 13.89 49.05 28.12  Long Term Investments 31 9.67 9.67 9.67  Note Receivable - Long Term 36 1.84 5.17 -  Other Long Term Assets, Total 1 27.54 41.55 141.2  Other Assets, Total -60 - - -","Property/Plant/Equipment, Total - Net 11 12.94 3.66 51.48  Property/Plant/Equipment, Total - Gross 20.24 20.71 17.88 102.72  Accumulated Depreciation, Total -8.91 -7.77 -14.21 -51.23  Goodwill, Net - - - -  Intangibles, Net 7 13.89 49.05 28.12  Long Term Investments 31 9.67 9.67 9.67  Note Receivable - Long Term 36 1.84 5.17 -  Other Long Term Assets, Total 1 27.54 41.55 141.2  Other Assets, Total -60 - - -","Property/Plant/Equipment, Total - Net 11 12.94 3.66 51.48  Property/Plant/Equipment, Total - Gross 20.24 20.71 17.88 102.72  Accumulated Depreciation, Total -8.91 -7.77 -14.21 -51.23  Goodwill, Net - - - -  Intangibles, Net 7 13.89 49.05 28.12  Long Term Investments 31 9.67 9.67 9.67  Note Receivable - Long Term 36 1.84 5.17 -  Other Long Term Assets, Total 1 27.54 41.55 141.2  Other Assets, Total -60 - - -","Property/Plant/Equipment, Total - Net 11 12.94 3.66 51.48  Property/Plant/Equipment, Total - Gross 20.24 20.71 17.88 102.72  Accumulated Depreciation, Total -8.91 -7.77 -14.21 -51.23  Goodwill, Net - - - -  Intangibles, Net 7 13.89 49.05 28.12  Long Term Investments 31 9.67 9.67 9.67  Note Receivable - Long Term 36 1.84 5.17 -  Other Long Term Assets, Total 1 27.54 41.55 141.2  Other Assets, Total -60 - - -"
"Property/Plant/Equipment, Total - Net",11,12.94,3.66,51.48
"Property/Plant/Equipment, Total - Gross",20.24,20.71,17.88,102.72
"Accumulated Depreciation, Total",-8.91,-7.77,-14.21,-51.23
"Goodwill, Net",-,-,-,-
"Intangibles, Net",7,13.89,49.05,28.12
Long Term Investments,31,9.67,9.67,9.67
Note Receivable - Long Term,36,1.84,5.17,-
"Other Long Term Assets, Total",1,27.54,41.55,141.2
"Other Assets, Total",-60,-,-,-
Total Current Liabilities,154,110.5,183.72,580.98
"Accounts Payable 2 0.42 1.03 6.95  Payable/Accrued - - - -  Accrued Expenses 30 65.15 50.95 95.16  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 3 0.83 - -  Other Current liabilities, Total 119 44.1 131.75 478.88","Accounts Payable 2 0.42 1.03 6.95  Payable/Accrued - - - -  Accrued Expenses 30 65.15 50.95 95.16  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 3 0.83 - -  Other Current liabilities, Total 119 44.1 131.75 478.88","Accounts Payable 2 0.42 1.03 6.95  Payable/Accrued - - - -  Accrued Expenses 30 65.15 50.95 95.16  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 3 0.83 - -  Other Current liabilities, Total 119 44.1 131.75 478.88","Accounts Payable 2 0.42 1.03 6.95  Payable/Accrued - - - -  Accrued Expenses 30 65.15 50.95 95.16  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 3 0.83 - -  Other Current liabilities, Total 119 44.1 131.75 478.88","Accounts Payable 2 0.42 1.03 6.95  Payable/Accrued - - - -  Accrued Expenses 30 65.15 50.95 95.16  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 3 0.83 - -  Other Current liabilities, Total 119 44.1 131.75 478.88"
Accounts Payable,2,0.42,1.03,6.95
Payable/Accrued,-,-,-,-
Accrued Expenses,30,65.15,50.95,95.16
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,3,0.83,-,-
"Other Current liabilities, Total",119,44.1,131.75,478.88
Total Liabilities,296,250.08,200.72,628.12
"Total Long Term Debt 116 119.17 - -  Long Term Debt 116 119.17 - -  Capital Lease Obligations - - - -  Deferred Income Tax 1 - - -  Minority Interest - - - -  Other Liabilities, Total 25 20.41 17 47.14","Total Long Term Debt 116 119.17 - -  Long Term Debt 116 119.17 - -  Capital Lease Obligations - - - -  Deferred Income Tax 1 - - -  Minority Interest - - - -  Other Liabilities, Total 25 20.41 17 47.14","Total Long Term Debt 116 119.17 - -  Long Term Debt 116 119.17 - -  Capital Lease Obligations - - - -  Deferred Income Tax 1 - - -  Minority Interest - - - -  Other Liabilities, Total 25 20.41 17 47.14","Total Long Term Debt 116 119.17 - -  Long Term Debt 116 119.17 - -  Capital Lease Obligations - - - -  Deferred Income Tax 1 - - -  Minority Interest - - - -  Other Liabilities, Total 25 20.41 17 47.14","Total Long Term Debt 116 119.17 - -  Long Term Debt 116 119.17 - -  Capital Lease Obligations - - - -  Deferred Income Tax 1 - - -  Minority Interest - - - -  Other Liabilities, Total 25 20.41 17 47.14"
Total Long Term Debt,116,119.17,-,-
Long Term Debt,116,119.17,-,-
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,1,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",25,20.41,17,47.14
Total Equity,1393,1692.66,2068.7,2062.8
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 281 281 281 281  Additional Paid-In Capital 276 276 276 276  Retained Earnings (Accumulated Deficit) 1205 1529.58 1905.62 1899.72  Treasury Stock - Common -369 -393.92 -393.92 -393.92  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 281 281 281 281  Additional Paid-In Capital 276 276 276 276  Retained Earnings (Accumulated Deficit) 1205 1529.58 1905.62 1899.72  Treasury Stock - Common -369 -393.92 -393.92 -393.92  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 281 281 281 281  Additional Paid-In Capital 276 276 276 276  Retained Earnings (Accumulated Deficit) 1205 1529.58 1905.62 1899.72  Treasury Stock - Common -369 -393.92 -393.92 -393.92  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 281 281 281 281  Additional Paid-In Capital 276 276 276 276  Retained Earnings (Accumulated Deficit) 1205 1529.58 1905.62 1899.72  Treasury Stock - Common -369 -393.92 -393.92 -393.92  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 281 281 281 281  Additional Paid-In Capital 276 276 276 276  Retained Earnings (Accumulated Deficit) 1205 1529.58 1905.62 1899.72  Treasury Stock - Common -369 -393.92 -393.92 -393.92  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total - - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",281,281,281,281
Additional Paid-In Capital,276,276,276,276
Retained Earnings (Accumulated Deficit),1205,1529.58,1905.62,1899.72
Treasury Stock - Common,-369,-393.92,-393.92,-393.92
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",-,-,-,-
Total Liabilities & Shareholders' Equity,1689,1942.74,2269.43,2690.93
Total Common Shares Outstanding,18.7,18.65,18.65,18.65
Total Preferred Shares Outstanding,-,-,-,-
