Period Ending:,202231/10,202131/10,202031/10,201931/10
Total Current Assets,770,942,746.93,455.83
"Cash and Short Term Investments 264 491 438.71 177.63  Cash - - - -  Cash & Equivalents 264 491 438.71 177.63  Short Term Investments - - - -  Total Receivables, Net 357 334 196.4 184.87  Accounts Receivables - Trade, Net 357 334 196.4 184.87  Total Inventory 29 30 29.65 33.64  Prepaid Expenses 102 82 76.64 59.37  Other Current Assets, Total 18 5 5.53 0.32","Cash and Short Term Investments 264 491 438.71 177.63  Cash - - - -  Cash & Equivalents 264 491 438.71 177.63  Short Term Investments - - - -  Total Receivables, Net 357 334 196.4 184.87  Accounts Receivables - Trade, Net 357 334 196.4 184.87  Total Inventory 29 30 29.65 33.64  Prepaid Expenses 102 82 76.64 59.37  Other Current Assets, Total 18 5 5.53 0.32","Cash and Short Term Investments 264 491 438.71 177.63  Cash - - - -  Cash & Equivalents 264 491 438.71 177.63  Short Term Investments - - - -  Total Receivables, Net 357 334 196.4 184.87  Accounts Receivables - Trade, Net 357 334 196.4 184.87  Total Inventory 29 30 29.65 33.64  Prepaid Expenses 102 82 76.64 59.37  Other Current Assets, Total 18 5 5.53 0.32","Cash and Short Term Investments 264 491 438.71 177.63  Cash - - - -  Cash & Equivalents 264 491 438.71 177.63  Short Term Investments - - - -  Total Receivables, Net 357 334 196.4 184.87  Accounts Receivables - Trade, Net 357 334 196.4 184.87  Total Inventory 29 30 29.65 33.64  Prepaid Expenses 102 82 76.64 59.37  Other Current Assets, Total 18 5 5.53 0.32","Cash and Short Term Investments 264 491 438.71 177.63  Cash - - - -  Cash & Equivalents 264 491 438.71 177.63  Short Term Investments - - - -  Total Receivables, Net 357 334 196.4 184.87  Accounts Receivables - Trade, Net 357 334 196.4 184.87  Total Inventory 29 30 29.65 33.64  Prepaid Expenses 102 82 76.64 59.37  Other Current Assets, Total 18 5 5.53 0.32"
Cash and Short Term Investments,264,491,438.71,177.63
Cash,-,-,-,-
Cash & Equivalents,264,491,438.71,177.63
Short Term Investments,-,-,-,-
"Total Receivables, Net",357,334,196.4,184.87
"Accounts Receivables - Trade, Net",357,334,196.4,184.87
Total Inventory,29,30,29.65,33.64
Prepaid Expenses,102,82,76.64,59.37
"Other Current Assets, Total",18,5,5.53,0.32
Total Assets,1840,1689,1323.97,991.51
