Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,27683,26480,20580,16417
"Cash and Short Term Investments 18090 18975 14187 10884  Cash - - - -  Cash & Equivalents 18090 18975 14138 10884  Short Term Investments - - 49 -  Total Receivables, Net 4311 3744 2426 2424  Accounts Receivables - Trade, Net 4311 3744 2426 2424  Total Inventory 3613 3219 3463 2592  Prepaid Expenses 298 336 312 330  Other Current Assets, Total 1371 206 192 187","Cash and Short Term Investments 18090 18975 14187 10884  Cash - - - -  Cash & Equivalents 18090 18975 14138 10884  Short Term Investments - - 49 -  Total Receivables, Net 4311 3744 2426 2424  Accounts Receivables - Trade, Net 4311 3744 2426 2424  Total Inventory 3613 3219 3463 2592  Prepaid Expenses 298 336 312 330  Other Current Assets, Total 1371 206 192 187","Cash and Short Term Investments 18090 18975 14187 10884  Cash - - - -  Cash & Equivalents 18090 18975 14138 10884  Short Term Investments - - 49 -  Total Receivables, Net 4311 3744 2426 2424  Accounts Receivables - Trade, Net 4311 3744 2426 2424  Total Inventory 3613 3219 3463 2592  Prepaid Expenses 298 336 312 330  Other Current Assets, Total 1371 206 192 187","Cash and Short Term Investments 18090 18975 14187 10884  Cash - - - -  Cash & Equivalents 18090 18975 14138 10884  Short Term Investments - - 49 -  Total Receivables, Net 4311 3744 2426 2424  Accounts Receivables - Trade, Net 4311 3744 2426 2424  Total Inventory 3613 3219 3463 2592  Prepaid Expenses 298 336 312 330  Other Current Assets, Total 1371 206 192 187","Cash and Short Term Investments 18090 18975 14187 10884  Cash - - - -  Cash & Equivalents 18090 18975 14138 10884  Short Term Investments - - 49 -  Total Receivables, Net 4311 3744 2426 2424  Accounts Receivables - Trade, Net 4311 3744 2426 2424  Total Inventory 3613 3219 3463 2592  Prepaid Expenses 298 336 312 330  Other Current Assets, Total 1371 206 192 187"
Cash and Short Term Investments,18090,18975,14187,10884
Cash,-,-,-,-
Cash & Equivalents,18090,18975,14138,10884
Short Term Investments,-,-,49,-
"Total Receivables, Net",4311,3744,2426,2424
"Accounts Receivables - Trade, Net",4311,3744,2426,2424
Total Inventory,3613,3219,3463,2592
Prepaid Expenses,298,336,312,330
"Other Current Assets, Total",1371,206,192,187
Total Assets,39240,37513,31185,26731
"Property/Plant/Equipment, Total - Net 5294 5254 5031 4744  Property/Plant/Equipment, Total - Gross - 9889 9347 8703  Accumulated Depreciation, Total - -4637 -4316 -3960  Goodwill, Net 862 987 1023 15  Intangibles, Net 324 261 296 176  Long Term Investments 4571 3354 3363 2351  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1177 892 3028  Other Assets, Total 1177 - - -","Property/Plant/Equipment, Total - Net 5294 5254 5031 4744  Property/Plant/Equipment, Total - Gross - 9889 9347 8703  Accumulated Depreciation, Total - -4637 -4316 -3960  Goodwill, Net 862 987 1023 15  Intangibles, Net 324 261 296 176  Long Term Investments 4571 3354 3363 2351  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1177 892 3028  Other Assets, Total 1177 - - -","Property/Plant/Equipment, Total - Net 5294 5254 5031 4744  Property/Plant/Equipment, Total - Gross - 9889 9347 8703  Accumulated Depreciation, Total - -4637 -4316 -3960  Goodwill, Net 862 987 1023 15  Intangibles, Net 324 261 296 176  Long Term Investments 4571 3354 3363 2351  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1177 892 3028  Other Assets, Total 1177 - - -","Property/Plant/Equipment, Total - Net 5294 5254 5031 4744  Property/Plant/Equipment, Total - Gross - 9889 9347 8703  Accumulated Depreciation, Total - -4637 -4316 -3960  Goodwill, Net 862 987 1023 15  Intangibles, Net 324 261 296 176  Long Term Investments 4571 3354 3363 2351  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1177 892 3028  Other Assets, Total 1177 - - -","Property/Plant/Equipment, Total - Net 5294 5254 5031 4744  Property/Plant/Equipment, Total - Gross - 9889 9347 8703  Accumulated Depreciation, Total - -4637 -4316 -3960  Goodwill, Net 862 987 1023 15  Intangibles, Net 324 261 296 176  Long Term Investments 4571 3354 3363 2351  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1177 892 3028  Other Assets, Total 1177 - - -"
"Property/Plant/Equipment, Total - Net",5294,5254,5031,4744
"Property/Plant/Equipment, Total - Gross",-,9889,9347,8703
