Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Current Assets,4635,6868.02,3726.87,4954.92
"Cash and Short Term Investments 855 523.74 1597.51 1109.76  Cash - - - -  Cash & Equivalents 855 523.74 1597.51 1109.76  Short Term Investments - - - -  Total Receivables, Net 75 126.31 52.56 48.53  Accounts Receivables - Trade, Net 52 111.68 36.28 28  Total Inventory 3585 5854.04 1735.52 3598.87  Prepaid Expenses - 104.33 275.08 110  Other Current Assets, Total 120 259.6 66.2 87.76","Cash and Short Term Investments 855 523.74 1597.51 1109.76  Cash - - - -  Cash & Equivalents 855 523.74 1597.51 1109.76  Short Term Investments - - - -  Total Receivables, Net 75 126.31 52.56 48.53  Accounts Receivables - Trade, Net 52 111.68 36.28 28  Total Inventory 3585 5854.04 1735.52 3598.87  Prepaid Expenses - 104.33 275.08 110  Other Current Assets, Total 120 259.6 66.2 87.76","Cash and Short Term Investments 855 523.74 1597.51 1109.76  Cash - - - -  Cash & Equivalents 855 523.74 1597.51 1109.76  Short Term Investments - - - -  Total Receivables, Net 75 126.31 52.56 48.53  Accounts Receivables - Trade, Net 52 111.68 36.28 28  Total Inventory 3585 5854.04 1735.52 3598.87  Prepaid Expenses - 104.33 275.08 110  Other Current Assets, Total 120 259.6 66.2 87.76","Cash and Short Term Investments 855 523.74 1597.51 1109.76  Cash - - - -  Cash & Equivalents 855 523.74 1597.51 1109.76  Short Term Investments - - - -  Total Receivables, Net 75 126.31 52.56 48.53  Accounts Receivables - Trade, Net 52 111.68 36.28 28  Total Inventory 3585 5854.04 1735.52 3598.87  Prepaid Expenses - 104.33 275.08 110  Other Current Assets, Total 120 259.6 66.2 87.76","Cash and Short Term Investments 855 523.74 1597.51 1109.76  Cash - - - -  Cash & Equivalents 855 523.74 1597.51 1109.76  Short Term Investments - - - -  Total Receivables, Net 75 126.31 52.56 48.53  Accounts Receivables - Trade, Net 52 111.68 36.28 28  Total Inventory 3585 5854.04 1735.52 3598.87  Prepaid Expenses - 104.33 275.08 110  Other Current Assets, Total 120 259.6 66.2 87.76"
Cash and Short Term Investments,855,523.74,1597.51,1109.76
Cash,-,-,-,-
Cash & Equivalents,855,523.74,1597.51,1109.76
Short Term Investments,-,-,-,-
"Total Receivables, Net",75,126.31,52.56,48.53
"Accounts Receivables - Trade, Net",52,111.68,36.28,28
Total Inventory,3585,5854.04,1735.52,3598.87
Prepaid Expenses,-,104.33,275.08,110
"Other Current Assets, Total",120,259.6,66.2,87.76
Total Assets,5034,7387.34,4202.09,5448.91
"Property/Plant/Equipment, Total - Net 123 216.39 229.97 249.6  Property/Plant/Equipment, Total - Gross - 311.78 301.32 303.22  Accumulated Depreciation, Total - -95.39 -71.36 -53.62  Goodwill, Net 77 90.9 103.88 116.87  Intangibles, Net 4 6.12 7.43 10.08  Long Term Investments 193 32.82 5.4 5.4  Note Receivable - Long Term 23 - - -  Other Long Term Assets, Total 2 173.08 128.54 112.03  Other Assets, Total 3630 - - -","Property/Plant/Equipment, Total - Net 123 216.39 229.97 249.6  Property/Plant/Equipment, Total - Gross - 311.78 301.32 303.22  Accumulated Depreciation, Total - -95.39 -71.36 -53.62  Goodwill, Net 77 90.9 103.88 116.87  Intangibles, Net 4 6.12 7.43 10.08  Long Term Investments 193 32.82 5.4 5.4  Note Receivable - Long Term 23 - - -  Other Long Term Assets, Total 2 173.08 128.54 112.03  Other Assets, Total 3630 - - -","Property/Plant/Equipment, Total - Net 123 216.39 229.97 249.6  Property/Plant/Equipment, Total - Gross - 311.78 301.32 303.22  Accumulated Depreciation, Total - -95.39 -71.36 -53.62  Goodwill, Net 77 90.9 103.88 116.87  Intangibles, Net 4 6.12 7.43 10.08  Long Term Investments 193 32.82 5.4 5.4  Note Receivable - Long Term 23 - - -  Other Long Term Assets, Total 2 173.08 128.54 112.03  Other Assets, Total 3630 - - -","Property/Plant/Equipment, Total - Net 123 216.39 229.97 249.6  Property/Plant/Equipment, Total - Gross - 311.78 301.32 303.22  Accumulated Depreciation, Total - -95.39 -71.36 -53.62  Goodwill, Net 77 90.9 103.88 116.87  Intangibles, Net 4 6.12 7.43 10.08  Long Term Investments 193 32.82 5.4 5.4  Note Receivable - Long Term 23 - - -  Other Long Term Assets, Total 2 173.08 128.54 112.03  Other Assets, Total 3630 - - -","Property/Plant/Equipment, Total - Net 123 216.39 229.97 249.6  Property/Plant/Equipment, Total - Gross - 311.78 301.32 303.22  Accumulated Depreciation, Total - -95.39 -71.36 -53.62  Goodwill, Net 77 90.9 103.88 116.87  Intangibles, Net 4 6.12 7.43 10.08  Long Term Investments 193 32.82 5.4 5.4  Note Receivable - Long Term 23 - - -  Other Long Term Assets, Total 2 173.08 128.54 112.03  Other Assets, Total 3630 - - -"
"Property/Plant/Equipment, Total - Net",123,216.39,229.97,249.6
"Property/Plant/Equipment, Total - Gross",-,311.78,301.32,303.22
"Accumulated Depreciation, Total",-,-95.39,-71.36,-53.62
"Goodwill, Net",77,90.9,103.88,116.87
"Intangibles, Net",4,6.12,7.43,10.08
Long Term Investments,193,32.82,5.4,5.4
Note Receivable - Long Term,23,-,-,-
"Other Long Term Assets, Total",2,173.08,128.54,112.03
"Other Assets, Total",3630,-,-,-
Total Current Liabilities,1992,3155.06,1063.52,2443.75
"Accounts Payable 50 52.72 29.64 314.16  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 189 56.09 19.67 1278.5  Current Port. of LT Debt/Capital Leases 1478 2816.17 603.01 310.94  Other Current liabilities, Total 275 230.08 411.21 540.15","Accounts Payable 50 52.72 29.64 314.16  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 189 56.09 19.67 1278.5  Current Port. of LT Debt/Capital Leases 1478 2816.17 603.01 310.94  Other Current liabilities, Total 275 230.08 411.21 540.15","Accounts Payable 50 52.72 29.64 314.16  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 189 56.09 19.67 1278.5  Current Port. of LT Debt/Capital Leases 1478 2816.17 603.01 310.94  Other Current liabilities, Total 275 230.08 411.21 540.15","Accounts Payable 50 52.72 29.64 314.16  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 189 56.09 19.67 1278.5  Current Port. of LT Debt/Capital Leases 1478 2816.17 603.01 310.94  Other Current liabilities, Total 275 230.08 411.21 540.15","Accounts Payable 50 52.72 29.64 314.16  Payable/Accrued - - - -  Accrued Expenses - - - -  Notes Payable/Short Term Debt 189 56.09 19.67 1278.5  Current Port. of LT Debt/Capital Leases 1478 2816.17 603.01 310.94  Other Current liabilities, Total 275 230.08 411.21 540.15"
Accounts Payable,50,52.72,29.64,314.16
Payable/Accrued,-,-,-,-
Accrued Expenses,-,-,-,-
Notes Payable/Short Term Debt,189,56.09,19.67,1278.5
Current Port. of LT Debt/Capital Leases,1478,2816.17,603.01,310.94
"Other Current liabilities, Total",275,230.08,411.21,540.15
Total Liabilities,2988,5352.5,2142.7,3604.85
"Total Long Term Debt 908 2075.79 956.13 1021.63  Long Term Debt 886 2035.36 894.23 934.09  Capital Lease Obligations 22 40.43 61.9 87.54  Deferred Income Tax 2 - - -  Minority Interest - - - -  Other Liabilities, Total -2584.11 121.66 123.04 139.47","Total Long Term Debt 908 2075.79 956.13 1021.63  Long Term Debt 886 2035.36 894.23 934.09  Capital Lease Obligations 22 40.43 61.9 87.54  Deferred Income Tax 2 - - -  Minority Interest - - - -  Other Liabilities, Total -2584.11 121.66 123.04 139.47","Total Long Term Debt 908 2075.79 956.13 1021.63  Long Term Debt 886 2035.36 894.23 934.09  Capital Lease Obligations 22 40.43 61.9 87.54  Deferred Income Tax 2 - - -  Minority Interest - - - -  Other Liabilities, Total -2584.11 121.66 123.04 139.47","Total Long Term Debt 908 2075.79 956.13 1021.63  Long Term Debt 886 2035.36 894.23 934.09  Capital Lease Obligations 22 40.43 61.9 87.54  Deferred Income Tax 2 - - -  Minority Interest - - - -  Other Liabilities, Total -2584.11 121.66 123.04 139.47","Total Long Term Debt 908 2075.79 956.13 1021.63  Long Term Debt 886 2035.36 894.23 934.09  Capital Lease Obligations 22 40.43 61.9 87.54  Deferred Income Tax 2 - - -  Minority Interest - - - -  Other Liabilities, Total -2584.11 121.66 123.04 139.47"
Total Long Term Debt,908,2075.79,956.13,1021.63
Long Term Debt,886,2035.36,894.23,934.09
Capital Lease Obligations,22,40.43,61.9,87.54
Deferred Income Tax,2,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-2584.11,121.66,123.04,139.47
Total Equity,2046,2034.84,2059.39,1844.06
