Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,6372,6636,3081.8,2030.86
"Cash and Short Term Investments 5231 5537 2337.7 1552.25  Cash - - - -  Cash & Equivalents 5231 5537 2337.7 1552.25  Short Term Investments - - - -  Total Receivables, Net 1032 914 603.52 425.14  Accounts Receivables - Trade, Net 1032 914 603.52 377.35  Total Inventory - - - 8.79  Prepaid Expenses - - - 38.65  Other Current Assets, Total 109 185 140.58 6.02","Cash and Short Term Investments 5231 5537 2337.7 1552.25  Cash - - - -  Cash & Equivalents 5231 5537 2337.7 1552.25  Short Term Investments - - - -  Total Receivables, Net 1032 914 603.52 425.14  Accounts Receivables - Trade, Net 1032 914 603.52 377.35  Total Inventory - - - 8.79  Prepaid Expenses - - - 38.65  Other Current Assets, Total 109 185 140.58 6.02","Cash and Short Term Investments 5231 5537 2337.7 1552.25  Cash - - - -  Cash & Equivalents 5231 5537 2337.7 1552.25  Short Term Investments - - - -  Total Receivables, Net 1032 914 603.52 425.14  Accounts Receivables - Trade, Net 1032 914 603.52 377.35  Total Inventory - - - 8.79  Prepaid Expenses - - - 38.65  Other Current Assets, Total 109 185 140.58 6.02","Cash and Short Term Investments 5231 5537 2337.7 1552.25  Cash - - - -  Cash & Equivalents 5231 5537 2337.7 1552.25  Short Term Investments - - - -  Total Receivables, Net 1032 914 603.52 425.14  Accounts Receivables - Trade, Net 1032 914 603.52 377.35  Total Inventory - - - 8.79  Prepaid Expenses - - - 38.65  Other Current Assets, Total 109 185 140.58 6.02","Cash and Short Term Investments 5231 5537 2337.7 1552.25  Cash - - - -  Cash & Equivalents 5231 5537 2337.7 1552.25  Short Term Investments - - - -  Total Receivables, Net 1032 914 603.52 425.14  Accounts Receivables - Trade, Net 1032 914 603.52 377.35  Total Inventory - - - 8.79  Prepaid Expenses - - - 38.65  Other Current Assets, Total 109 185 140.58 6.02"
Cash and Short Term Investments,5231,5537,2337.7,1552.25
Cash,-,-,-,-
Cash & Equivalents,5231,5537,2337.7,1552.25
Short Term Investments,-,-,-,-
"Total Receivables, Net",1032,914,603.52,425.14
"Accounts Receivables - Trade, Net",1032,914,603.52,377.35
Total Inventory,-,-,-,8.79
Prepaid Expenses,-,-,-,38.65
"Other Current Assets, Total",109,185,140.58,6.02
Total Assets,7939,7865,3686.18,2483.02
