Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,272506,276135,233494,225712
"Cash and Short Term Investments 32482 50929 44764 33543  Cash - - - -  Cash & Equivalents 30399 50929 44764 33543  Short Term Investments 2083 - - -  Total Receivables, Net 200049 188811 155344 149263  Accounts Receivables - Trade, Net 194922 184909 153037 146075  Total Inventory 31717 30914 30788 32758  Prepaid Expenses 1163 1224 1166 1230  Other Current Assets, Total 7095 4257 1432 8918","Cash and Short Term Investments 32482 50929 44764 33543  Cash - - - -  Cash & Equivalents 30399 50929 44764 33543  Short Term Investments 2083 - - -  Total Receivables, Net 200049 188811 155344 149263  Accounts Receivables - Trade, Net 194922 184909 153037 146075  Total Inventory 31717 30914 30788 32758  Prepaid Expenses 1163 1224 1166 1230  Other Current Assets, Total 7095 4257 1432 8918","Cash and Short Term Investments 32482 50929 44764 33543  Cash - - - -  Cash & Equivalents 30399 50929 44764 33543  Short Term Investments 2083 - - -  Total Receivables, Net 200049 188811 155344 149263  Accounts Receivables - Trade, Net 194922 184909 153037 146075  Total Inventory 31717 30914 30788 32758  Prepaid Expenses 1163 1224 1166 1230  Other Current Assets, Total 7095 4257 1432 8918","Cash and Short Term Investments 32482 50929 44764 33543  Cash - - - -  Cash & Equivalents 30399 50929 44764 33543  Short Term Investments 2083 - - -  Total Receivables, Net 200049 188811 155344 149263  Accounts Receivables - Trade, Net 194922 184909 153037 146075  Total Inventory 31717 30914 30788 32758  Prepaid Expenses 1163 1224 1166 1230  Other Current Assets, Total 7095 4257 1432 8918","Cash and Short Term Investments 32482 50929 44764 33543  Cash - - - -  Cash & Equivalents 30399 50929 44764 33543  Short Term Investments 2083 - - -  Total Receivables, Net 200049 188811 155344 149263  Accounts Receivables - Trade, Net 194922 184909 153037 146075  Total Inventory 31717 30914 30788 32758  Prepaid Expenses 1163 1224 1166 1230  Other Current Assets, Total 7095 4257 1432 8918"
Cash and Short Term Investments,32482,50929,44764,33543
Cash,-,-,-,-
Cash & Equivalents,30399,50929,44764,33543
Short Term Investments,2083,-,-,-
"Total Receivables, Net",200049,188811,155344,149263
"Accounts Receivables - Trade, Net",194922,184909,153037,146075
Total Inventory,31717,30914,30788,32758
Prepaid Expenses,1163,1224,1166,1230
"Other Current Assets, Total",7095,4257,1432,8918
Total Assets,436752,432683,358751,352134
"Property/Plant/Equipment, Total - Net 93469 91552 86655 82596  Property/Plant/Equipment, Total - Gross 137901 131322 122095 114868  Accumulated Depreciation, Total -44432 -39772 -35442 -32274  Goodwill, Net 20687 27658 3094 2921  Intangibles, Net 18033 6152 4455 3790  Long Term Investments 17833 27535 28548 30139  Note Receivable - Long Term 5127 3902 2307 -  Other Long Term Assets, Total 10220 14962 1 6976  Other Assets, Total -155150 -149989 -120620 -","Property/Plant/Equipment, Total - Net 93469 91552 86655 82596  Property/Plant/Equipment, Total - Gross 137901 131322 122095 114868  Accumulated Depreciation, Total -44432 -39772 -35442 -32274  Goodwill, Net 20687 27658 3094 2921  Intangibles, Net 18033 6152 4455 3790  Long Term Investments 17833 27535 28548 30139  Note Receivable - Long Term 5127 3902 2307 -  Other Long Term Assets, Total 10220 14962 1 6976  Other Assets, Total -155150 -149989 -120620 -","Property/Plant/Equipment, Total - Net 93469 91552 86655 82596  Property/Plant/Equipment, Total - Gross 137901 131322 122095 114868  Accumulated Depreciation, Total -44432 -39772 -35442 -32274  Goodwill, Net 20687 27658 3094 2921  Intangibles, Net 18033 6152 4455 3790  Long Term Investments 17833 27535 28548 30139  Note Receivable - Long Term 5127 3902 2307 -  Other Long Term Assets, Total 10220 14962 1 6976  Other Assets, Total -155150 -149989 -120620 -","Property/Plant/Equipment, Total - Net 93469 91552 86655 82596  Property/Plant/Equipment, Total - Gross 137901 131322 122095 114868  Accumulated Depreciation, Total -44432 -39772 -35442 -32274  Goodwill, Net 20687 27658 3094 2921  Intangibles, Net 18033 6152 4455 3790  Long Term Investments 17833 27535 28548 30139  Note Receivable - Long Term 5127 3902 2307 -  Other Long Term Assets, Total 10220 14962 1 6976  Other Assets, Total -155150 -149989 -120620 -","Property/Plant/Equipment, Total - Net 93469 91552 86655 82596  Property/Plant/Equipment, Total - Gross 137901 131322 122095 114868  Accumulated Depreciation, Total -44432 -39772 -35442 -32274  Goodwill, Net 20687 27658 3094 2921  Intangibles, Net 18033 6152 4455 3790  Long Term Investments 17833 27535 28548 30139  Note Receivable - Long Term 5127 3902 2307 -  Other Long Term Assets, Total 10220 14962 1 6976  Other Assets, Total -155150 -149989 -120620 -"
"Property/Plant/Equipment, Total - Net",93469,91552,86655,82596
"Property/Plant/Equipment, Total - Gross",137901,131322,122095,114868
"Accumulated Depreciation, Total",-44432,-39772,-35442,-32274
"Goodwill, Net",20687,27658,3094,2921
"Intangibles, Net",18033,6152,4455,3790
Long Term Investments,17833,27535,28548,30139
Note Receivable - Long Term,5127,3902,2307,-
"Other Long Term Assets, Total",10220,14962,1,6976
"Other Assets, Total",-155150,-149989,-120620,-
Total Current Liabilities,125066,158683,103018,104738
