Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,16198,15541.31,14545.66,4755.58
"Cash and Short Term Investments 14422 14294.46 14052.03 4477.4  Cash - - - -  Cash & Equivalents 14422 14294.46 14052.03 4477.4  Short Term Investments 71 - - -  Total Receivables, Net 1238 828.97 271.34 220.54  Accounts Receivables - Trade, Net 1238 828.97 271.34 220.54  Total Inventory 166 42.48 15.99 0.21  Prepaid Expenses 148 168.94 71.96 37.19  Other Current Assets, Total 224 206.47 134.33 20.24","Cash and Short Term Investments 14422 14294.46 14052.03 4477.4  Cash - - - -  Cash & Equivalents 14422 14294.46 14052.03 4477.4  Short Term Investments 71 - - -  Total Receivables, Net 1238 828.97 271.34 220.54  Accounts Receivables - Trade, Net 1238 828.97 271.34 220.54  Total Inventory 166 42.48 15.99 0.21  Prepaid Expenses 148 168.94 71.96 37.19  Other Current Assets, Total 224 206.47 134.33 20.24","Cash and Short Term Investments 14422 14294.46 14052.03 4477.4  Cash - - - -  Cash & Equivalents 14422 14294.46 14052.03 4477.4  Short Term Investments 71 - - -  Total Receivables, Net 1238 828.97 271.34 220.54  Accounts Receivables - Trade, Net 1238 828.97 271.34 220.54  Total Inventory 166 42.48 15.99 0.21  Prepaid Expenses 148 168.94 71.96 37.19  Other Current Assets, Total 224 206.47 134.33 20.24","Cash and Short Term Investments 14422 14294.46 14052.03 4477.4  Cash - - - -  Cash & Equivalents 14422 14294.46 14052.03 4477.4  Short Term Investments 71 - - -  Total Receivables, Net 1238 828.97 271.34 220.54  Accounts Receivables - Trade, Net 1238 828.97 271.34 220.54  Total Inventory 166 42.48 15.99 0.21  Prepaid Expenses 148 168.94 71.96 37.19  Other Current Assets, Total 224 206.47 134.33 20.24","Cash and Short Term Investments 14422 14294.46 14052.03 4477.4  Cash - - - -  Cash & Equivalents 14422 14294.46 14052.03 4477.4  Short Term Investments 71 - - -  Total Receivables, Net 1238 828.97 271.34 220.54  Accounts Receivables - Trade, Net 1238 828.97 271.34 220.54  Total Inventory 166 42.48 15.99 0.21  Prepaid Expenses 148 168.94 71.96 37.19  Other Current Assets, Total 224 206.47 134.33 20.24"
Cash and Short Term Investments,14422,14294.46,14052.03,4477.4
Cash,-,-,-,-
Cash & Equivalents,14422,14294.46,14052.03,4477.4
Short Term Investments,71,-,-,-
"Total Receivables, Net",1238,828.97,271.34,220.54
"Accounts Receivables - Trade, Net",1238,828.97,271.34,220.54
Total Inventory,166,42.48,15.99,0.21
Prepaid Expenses,148,168.94,71.96,37.19
"Other Current Assets, Total",224,206.47,134.33,20.24
Total Assets,21810,20208.36,15519.99,5400.49
