Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,38240,25979,28360,10136
"Cash and Short Term Investments 22782 15753 20050 7692  Cash - - - -  Cash & Equivalents 22782 13192 19898 7692  Short Term Investments - 2561 152 -  Total Receivables, Net 11241 9283 7753 1962  Accounts Receivables - Trade, Net 11241 9283 7753 1746  Total Inventory 275 248 220 266  Prepaid Expenses - 344 266 156  Other Current Assets, Total 3942 351 337 60","Cash and Short Term Investments 22782 15753 20050 7692  Cash - - - -  Cash & Equivalents 22782 13192 19898 7692  Short Term Investments - 2561 152 -  Total Receivables, Net 11241 9283 7753 1962  Accounts Receivables - Trade, Net 11241 9283 7753 1746  Total Inventory 275 248 220 266  Prepaid Expenses - 344 266 156  Other Current Assets, Total 3942 351 337 60","Cash and Short Term Investments 22782 15753 20050 7692  Cash - - - -  Cash & Equivalents 22782 13192 19898 7692  Short Term Investments - 2561 152 -  Total Receivables, Net 11241 9283 7753 1962  Accounts Receivables - Trade, Net 11241 9283 7753 1746  Total Inventory 275 248 220 266  Prepaid Expenses - 344 266 156  Other Current Assets, Total 3942 351 337 60","Cash and Short Term Investments 22782 15753 20050 7692  Cash - - - -  Cash & Equivalents 22782 13192 19898 7692  Short Term Investments - 2561 152 -  Total Receivables, Net 11241 9283 7753 1962  Accounts Receivables - Trade, Net 11241 9283 7753 1746  Total Inventory 275 248 220 266  Prepaid Expenses - 344 266 156  Other Current Assets, Total 3942 351 337 60","Cash and Short Term Investments 22782 15753 20050 7692  Cash - - - -  Cash & Equivalents 22782 13192 19898 7692  Short Term Investments - 2561 152 -  Total Receivables, Net 11241 9283 7753 1962  Accounts Receivables - Trade, Net 11241 9283 7753 1746  Total Inventory 275 248 220 266  Prepaid Expenses - 344 266 156  Other Current Assets, Total 3942 351 337 60"
Cash and Short Term Investments,22782,15753,20050,7692
Cash,-,-,-,-
Cash & Equivalents,22782,13192,19898,7692
Short Term Investments,-,2561,152,-
"Total Receivables, Net",11241,9283,7753,1962
"Accounts Receivables - Trade, Net",11241,9283,7753,1746
Total Inventory,275,248,220,266
Prepaid Expenses,-,344,266,156
"Other Current Assets, Total",3942,351,337,60
Total Assets,98567,62064,58264,26944
"Property/Plant/Equipment, Total - Net 10772 8420 8186 5169  Property/Plant/Equipment, Total - Gross - - 10534 6839  Accumulated Depreciation, Total - - -2349 -1671  Goodwill, Net 39824 19409 14508 7388  Intangibles, Net 5922 5176 4904 1971  Long Term Investments - 1439 1132 1331  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1752 4 1174 949  Other Assets, Total -4967 -4486 - -","Property/Plant/Equipment, Total - Net 10772 8420 8186 5169  Property/Plant/Equipment, Total - Gross - - 10534 6839  Accumulated Depreciation, Total - - -2349 -1671  Goodwill, Net 39824 19409 14508 7388  Intangibles, Net 5922 5176 4904 1971  Long Term Investments - 1439 1132 1331  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1752 4 1174 949  Other Assets, Total -4967 -4486 - -","Property/Plant/Equipment, Total - Net 10772 8420 8186 5169  Property/Plant/Equipment, Total - Gross - - 10534 6839  Accumulated Depreciation, Total - - -2349 -1671  Goodwill, Net 39824 19409 14508 7388  Intangibles, Net 5922 5176 4904 1971  Long Term Investments - 1439 1132 1331  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1752 4 1174 949  Other Assets, Total -4967 -4486 - -","Property/Plant/Equipment, Total - Net 10772 8420 8186 5169  Property/Plant/Equipment, Total - Gross - - 10534 6839  Accumulated Depreciation, Total - - -2349 -1671  Goodwill, Net 39824 19409 14508 7388  Intangibles, Net 5922 5176 4904 1971  Long Term Investments - 1439 1132 1331  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1752 4 1174 949  Other Assets, Total -4967 -4486 - -","Property/Plant/Equipment, Total - Net 10772 8420 8186 5169  Property/Plant/Equipment, Total - Gross - - 10534 6839  Accumulated Depreciation, Total - - -2349 -1671  Goodwill, Net 39824 19409 14508 7388  Intangibles, Net 5922 5176 4904 1971  Long Term Investments - 1439 1132 1331  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1752 4 1174 949  Other Assets, Total -4967 -4486 - -"
"Property/Plant/Equipment, Total - Net",10772,8420,8186,5169
"Property/Plant/Equipment, Total - Gross",-,-,10534,6839
"Accumulated Depreciation, Total",-,-,-2349,-1671
"Goodwill, Net",39824,19409,14508,7388
"Intangibles, Net",5922,5176,4904,1971
Long Term Investments,-,1439,1132,1331
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1752,4,1174,949
"Other Assets, Total",-4967,-4486,-,-
Total Current Liabilities,12216,11633,12634,4938
"Accounts Payable 5790 6182 5842 520  Payable/Accrued - - - -  Accrued Expenses - 822 646 431  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1840 1466 3909 765  Other Current liabilities, Total 4586 3163 2883 3222","Accounts Payable 5790 6182 5842 520  Payable/Accrued - - - -  Accrued Expenses - 822 646 431  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1840 1466 3909 765  Other Current liabilities, Total 4586 3163 2883 3222","Accounts Payable 5790 6182 5842 520  Payable/Accrued - - - -  Accrued Expenses - 822 646 431  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1840 1466 3909 765  Other Current liabilities, Total 4586 3163 2883 3222","Accounts Payable 5790 6182 5842 520  Payable/Accrued - - - -  Accrued Expenses - 822 646 431  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1840 1466 3909 765  Other Current liabilities, Total 4586 3163 2883 3222","Accounts Payable 5790 6182 5842 520  Payable/Accrued - - - -  Accrued Expenses - 822 646 431  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 1840 1466 3909 765  Other Current liabilities, Total 4586 3163 2883 3222"
Accounts Payable,5790,6182,5842,520
Payable/Accrued,-,-,-,-
Accrued Expenses,-,822,646,431
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,1840,1466,3909,765
"Other Current liabilities, Total",4586,3163,2883,3222
Total Liabilities,34042,30888,30014,13821
"Total Long Term Debt 18558 16329 15544 8504  Long Term Debt 11935 10928 10133 4677  Capital Lease Obligations 6623 5401 5411 3827  Deferred Income Tax 730 769 818 2  Minority Interest -14 -5 - -  Other Liabilities, Total 2552 -9543 1018 377","Total Long Term Debt 18558 16329 15544 8504  Long Term Debt 11935 10928 10133 4677  Capital Lease Obligations 6623 5401 5411 3827  Deferred Income Tax 730 769 818 2  Minority Interest -14 -5 - -  Other Liabilities, Total 2552 -9543 1018 377","Total Long Term Debt 18558 16329 15544 8504  Long Term Debt 11935 10928 10133 4677  Capital Lease Obligations 6623 5401 5411 3827  Deferred Income Tax 730 769 818 2  Minority Interest -14 -5 - -  Other Liabilities, Total 2552 -9543 1018 377","Total Long Term Debt 18558 16329 15544 8504  Long Term Debt 11935 10928 10133 4677  Capital Lease Obligations 6623 5401 5411 3827  Deferred Income Tax 730 769 818 2  Minority Interest -14 -5 - -  Other Liabilities, Total 2552 -9543 1018 377","Total Long Term Debt 18558 16329 15544 8504  Long Term Debt 11935 10928 10133 4677  Capital Lease Obligations 6623 5401 5411 3827  Deferred Income Tax 730 769 818 2  Minority Interest -14 -5 - -  Other Liabilities, Total 2552 -9543 1018 377"
Total Long Term Debt,18558,16329,15544,8504
Long Term Debt,11935,10928,10133,4677
Capital Lease Obligations,6623,5401,5411,3827
Deferred Income Tax,730,769,818,2
Minority Interest,-14,-5,-,-
"Other Liabilities, Total",2552,-9543,1018,377
Total Equity,64525,31176,28250,13123
