Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1445,1626.21,1889.88,1787.85
"Cash and Short Term Investments 798 730.18 663.16 508.19  Cash - - - -  Cash & Equivalents 798 730.18 663.16 508.19  Short Term Investments - - - -  Total Receivables, Net 427 820.49 1129.61 1189.09  Accounts Receivables - Trade, Net 427 770.45 964.38 983.41  Total Inventory 73 52.94 69.45 60.94  Prepaid Expenses 18 18.22 19.73 22.25  Other Current Assets, Total 129 4.38 7.94 7.39","Cash and Short Term Investments 798 730.18 663.16 508.19  Cash - - - -  Cash & Equivalents 798 730.18 663.16 508.19  Short Term Investments - - - -  Total Receivables, Net 427 820.49 1129.61 1189.09  Accounts Receivables - Trade, Net 427 770.45 964.38 983.41  Total Inventory 73 52.94 69.45 60.94  Prepaid Expenses 18 18.22 19.73 22.25  Other Current Assets, Total 129 4.38 7.94 7.39","Cash and Short Term Investments 798 730.18 663.16 508.19  Cash - - - -  Cash & Equivalents 798 730.18 663.16 508.19  Short Term Investments - - - -  Total Receivables, Net 427 820.49 1129.61 1189.09  Accounts Receivables - Trade, Net 427 770.45 964.38 983.41  Total Inventory 73 52.94 69.45 60.94  Prepaid Expenses 18 18.22 19.73 22.25  Other Current Assets, Total 129 4.38 7.94 7.39","Cash and Short Term Investments 798 730.18 663.16 508.19  Cash - - - -  Cash & Equivalents 798 730.18 663.16 508.19  Short Term Investments - - - -  Total Receivables, Net 427 820.49 1129.61 1189.09  Accounts Receivables - Trade, Net 427 770.45 964.38 983.41  Total Inventory 73 52.94 69.45 60.94  Prepaid Expenses 18 18.22 19.73 22.25  Other Current Assets, Total 129 4.38 7.94 7.39","Cash and Short Term Investments 798 730.18 663.16 508.19  Cash - - - -  Cash & Equivalents 798 730.18 663.16 508.19  Short Term Investments - - - -  Total Receivables, Net 427 820.49 1129.61 1189.09  Accounts Receivables - Trade, Net 427 770.45 964.38 983.41  Total Inventory 73 52.94 69.45 60.94  Prepaid Expenses 18 18.22 19.73 22.25  Other Current Assets, Total 129 4.38 7.94 7.39"
Cash and Short Term Investments,798,730.18,663.16,508.19
Cash,-,-,-,-
Cash & Equivalents,798,730.18,663.16,508.19
Short Term Investments,-,-,-,-
"Total Receivables, Net",427,820.49,1129.61,1189.09
"Accounts Receivables - Trade, Net",427,770.45,964.38,983.41
Total Inventory,73,52.94,69.45,60.94
Prepaid Expenses,18,18.22,19.73,22.25
"Other Current Assets, Total",129,4.38,7.94,7.39
Total Assets,3102,3300.86,3546.92,3413.37
