Period Ending:,202331/01,202231/07,202231/01,202131/07
Total Current Assets,2008,1797,-,1806.36
"Cash and Short Term Investments 1539.88 1311 - 1482.16  Cash - - - -  Cash & Equivalents 1539.88 1311 - 1482.16  Short Term Investments - - - -  Total Receivables, Net 51.05 23 - 3.04  Accounts Receivables - Trade, Net 51 23 - 3.04  Total Inventory - - - -  Prepaid Expenses - - - 113.99  Other Current Assets, Total 417.13 463 - 207.16","Cash and Short Term Investments 1539.88 1311 - 1482.16  Cash - - - -  Cash & Equivalents 1539.88 1311 - 1482.16  Short Term Investments - - - -  Total Receivables, Net 51.05 23 - 3.04  Accounts Receivables - Trade, Net 51 23 - 3.04  Total Inventory - - - -  Prepaid Expenses - - - 113.99  Other Current Assets, Total 417.13 463 - 207.16","Cash and Short Term Investments 1539.88 1311 - 1482.16  Cash - - - -  Cash & Equivalents 1539.88 1311 - 1482.16  Short Term Investments - - - -  Total Receivables, Net 51.05 23 - 3.04  Accounts Receivables - Trade, Net 51 23 - 3.04  Total Inventory - - - -  Prepaid Expenses - - - 113.99  Other Current Assets, Total 417.13 463 - 207.16","Cash and Short Term Investments 1539.88 1311 - 1482.16  Cash - - - -  Cash & Equivalents 1539.88 1311 - 1482.16  Short Term Investments - - - -  Total Receivables, Net 51.05 23 - 3.04  Accounts Receivables - Trade, Net 51 23 - 3.04  Total Inventory - - - -  Prepaid Expenses - - - 113.99  Other Current Assets, Total 417.13 463 - 207.16","Cash and Short Term Investments 1539.88 1311 - 1482.16  Cash - - - -  Cash & Equivalents 1539.88 1311 - 1482.16  Short Term Investments - - - -  Total Receivables, Net 51.05 23 - 3.04  Accounts Receivables - Trade, Net 51 23 - 3.04  Total Inventory - - - -  Prepaid Expenses - - - 113.99  Other Current Assets, Total 417.13 463 - 207.16"
Cash and Short Term Investments,1539.88,1311,-,1482.16
Cash,-,-,-,-
Cash & Equivalents,1539.88,1311,-,1482.16
Short Term Investments,-,-,-,-
"Total Receivables, Net",51.05,23,-,3.04
"Accounts Receivables - Trade, Net",51,23,-,3.04
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,113.99
"Other Current Assets, Total",417.13,463,-,207.16
Total Assets,81243,80357,-,68883.83
"Property/Plant/Equipment, Total - Net 79197 78516 - 207.19  Property/Plant/Equipment, Total - Gross 84500.94 - - 278.52  Accumulated Depreciation, Total - - - -71.33  Goodwill, Net - - - -  Intangibles, Net 2.77 - - 0.4  Long Term Investments - - - 66670.63  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 38 44 - 199.25  Other Assets, Total 403.62 440 - -","Property/Plant/Equipment, Total - Net 79197 78516 - 207.19  Property/Plant/Equipment, Total - Gross 84500.94 - - 278.52  Accumulated Depreciation, Total - - - -71.33  Goodwill, Net - - - -  Intangibles, Net 2.77 - - 0.4  Long Term Investments - - - 66670.63  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 38 44 - 199.25  Other Assets, Total 403.62 440 - -","Property/Plant/Equipment, Total - Net 79197 78516 - 207.19  Property/Plant/Equipment, Total - Gross 84500.94 - - 278.52  Accumulated Depreciation, Total - - - -71.33  Goodwill, Net - - - -  Intangibles, Net 2.77 - - 0.4  Long Term Investments - - - 66670.63  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 38 44 - 199.25  Other Assets, Total 403.62 440 - -","Property/Plant/Equipment, Total - Net 79197 78516 - 207.19  Property/Plant/Equipment, Total - Gross 84500.94 - - 278.52  Accumulated Depreciation, Total - - - -71.33  Goodwill, Net - - - -  Intangibles, Net 2.77 - - 0.4  Long Term Investments - - - 66670.63  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 38 44 - 199.25  Other Assets, Total 403.62 440 - -","Property/Plant/Equipment, Total - Net 79197 78516 - 207.19  Property/Plant/Equipment, Total - Gross 84500.94 - - 278.52  Accumulated Depreciation, Total - - - -71.33  Goodwill, Net - - - -  Intangibles, Net 2.77 - - 0.4  Long Term Investments - - - 66670.63  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 38 44 - 199.25  Other Assets, Total 403.62 440 - -"
"Property/Plant/Equipment, Total - Net",79197,78516,-,207.19
"Property/Plant/Equipment, Total - Gross",84500.94,-,-,278.52
"Accumulated Depreciation, Total",-,-,-,-71.33
"Goodwill, Net",-,-,-,-
"Intangibles, Net",2.77,-,-,0.4
Long Term Investments,-,-,-,66670.63
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",38,44,-,199.25
"Other Assets, Total",403.62,440,-,-
Total Current Liabilities,10208,12020,-,7797.09
"Accounts Payable 264 123 - 79.83  Payable/Accrued - - - -  Accrued Expenses 295 247 - 253.64  Notes Payable/Short Term Debt 2000 2000 - -  Current Port. of LT Debt/Capital Leases 7250 9250 - 7000  Other Current liabilities, Total 501.86 400 - 463.63","Accounts Payable 264 123 - 79.83  Payable/Accrued - - - -  Accrued Expenses 295 247 - 253.64  Notes Payable/Short Term Debt 2000 2000 - -  Current Port. of LT Debt/Capital Leases 7250 9250 - 7000  Other Current liabilities, Total 501.86 400 - 463.63","Accounts Payable 264 123 - 79.83  Payable/Accrued - - - -  Accrued Expenses 295 247 - 253.64  Notes Payable/Short Term Debt 2000 2000 - -  Current Port. of LT Debt/Capital Leases 7250 9250 - 7000  Other Current liabilities, Total 501.86 400 - 463.63","Accounts Payable 264 123 - 79.83  Payable/Accrued - - - -  Accrued Expenses 295 247 - 253.64  Notes Payable/Short Term Debt 2000 2000 - -  Current Port. of LT Debt/Capital Leases 7250 9250 - 7000  Other Current liabilities, Total 501.86 400 - 463.63","Accounts Payable 264 123 - 79.83  Payable/Accrued - - - -  Accrued Expenses 295 247 - 253.64  Notes Payable/Short Term Debt 2000 2000 - -  Current Port. of LT Debt/Capital Leases 7250 9250 - 7000  Other Current liabilities, Total 501.86 400 - 463.63"
Accounts Payable,264,123,-,79.83
Payable/Accrued,-,-,-,-
Accrued Expenses,295,247,-,253.64
Notes Payable/Short Term Debt,2000,2000,-,-
Current Port. of LT Debt/Capital Leases,7250,9250,-,7000
"Other Current liabilities, Total",501.86,400,-,463.63
Total Liabilities,42275,41556,-,35919.04
"Total Long Term Debt 29900 27400 - 26150  Long Term Debt 29900 27400 - 26150  Capital Lease Obligations - - - -  Deferred Income Tax 47.32 11 - 1.22  Minority Interest - - - -  Other Liabilities, Total 119.44 125 - 1970.73","Total Long Term Debt 29900 27400 - 26150  Long Term Debt 29900 27400 - 26150  Capital Lease Obligations - - - -  Deferred Income Tax 47.32 11 - 1.22  Minority Interest - - - -  Other Liabilities, Total 119.44 125 - 1970.73","Total Long Term Debt 29900 27400 - 26150  Long Term Debt 29900 27400 - 26150  Capital Lease Obligations - - - -  Deferred Income Tax 47.32 11 - 1.22  Minority Interest - - - -  Other Liabilities, Total 119.44 125 - 1970.73","Total Long Term Debt 29900 27400 - 26150  Long Term Debt 29900 27400 - 26150  Capital Lease Obligations - - - -  Deferred Income Tax 47.32 11 - 1.22  Minority Interest - - - -  Other Liabilities, Total 119.44 125 - 1970.73","Total Long Term Debt 29900 27400 - 26150  Long Term Debt 29900 27400 - 26150  Capital Lease Obligations - - - -  Deferred Income Tax 47.32 11 - 1.22  Minority Interest - - - -  Other Liabilities, Total 119.44 125 - 1970.73"
Total Long Term Debt,29900,27400,-,26150
Long Term Debt,29900,27400,-,26150
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,47.32,11,-,1.22
Minority Interest,-,-,-,-
"Other Liabilities, Total",119.44,125,-,1970.73
Total Equity,38968.25,38801,-,32964.79
