Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,619,660.06,670.58,402.19
"Cash and Short Term Investments 492 504.97 321.46 283.82  Cash - - - -  Cash & Equivalents 454 504.97 321.46 283.82  Short Term Investments 38 - - -  Total Receivables, Net 79 114.42 144.72 94.64  Accounts Receivables - Trade, Net 79 114.42 144.72 94.64  Total Inventory - 0.66 0.57 1.73  Prepaid Expenses 23 17.06 201.94 20.27  Other Current Assets, Total 25 22.96 1.9 1.73","Cash and Short Term Investments 492 504.97 321.46 283.82  Cash - - - -  Cash & Equivalents 454 504.97 321.46 283.82  Short Term Investments 38 - - -  Total Receivables, Net 79 114.42 144.72 94.64  Accounts Receivables - Trade, Net 79 114.42 144.72 94.64  Total Inventory - 0.66 0.57 1.73  Prepaid Expenses 23 17.06 201.94 20.27  Other Current Assets, Total 25 22.96 1.9 1.73","Cash and Short Term Investments 492 504.97 321.46 283.82  Cash - - - -  Cash & Equivalents 454 504.97 321.46 283.82  Short Term Investments 38 - - -  Total Receivables, Net 79 114.42 144.72 94.64  Accounts Receivables - Trade, Net 79 114.42 144.72 94.64  Total Inventory - 0.66 0.57 1.73  Prepaid Expenses 23 17.06 201.94 20.27  Other Current Assets, Total 25 22.96 1.9 1.73","Cash and Short Term Investments 492 504.97 321.46 283.82  Cash - - - -  Cash & Equivalents 454 504.97 321.46 283.82  Short Term Investments 38 - - -  Total Receivables, Net 79 114.42 144.72 94.64  Accounts Receivables - Trade, Net 79 114.42 144.72 94.64  Total Inventory - 0.66 0.57 1.73  Prepaid Expenses 23 17.06 201.94 20.27  Other Current Assets, Total 25 22.96 1.9 1.73","Cash and Short Term Investments 492 504.97 321.46 283.82  Cash - - - -  Cash & Equivalents 454 504.97 321.46 283.82  Short Term Investments 38 - - -  Total Receivables, Net 79 114.42 144.72 94.64  Accounts Receivables - Trade, Net 79 114.42 144.72 94.64  Total Inventory - 0.66 0.57 1.73  Prepaid Expenses 23 17.06 201.94 20.27  Other Current Assets, Total 25 22.96 1.9 1.73"
Cash and Short Term Investments,492,504.97,321.46,283.82
Cash,-,-,-,-
Cash & Equivalents,454,504.97,321.46,283.82
Short Term Investments,38,-,-,-
"Total Receivables, Net",79,114.42,144.72,94.64
"Accounts Receivables - Trade, Net",79,114.42,144.72,94.64
Total Inventory,-,0.66,0.57,1.73
Prepaid Expenses,23,17.06,201.94,20.27
"Other Current Assets, Total",25,22.96,1.9,1.73
Total Assets,706,767.52,799.75,589.97
