Period Ending:,202331/01,202231/01,202131/01,202031/01
Total Current Assets,799,453.42,418.2,443.1
"Cash and Short Term Investments 632 309.47 311.05 386.91  Cash - - - -  Cash & Equivalents 632 309.47 311.05 386.91  Short Term Investments - - - -  Total Receivables, Net 115 111.22 51.15 46.28  Accounts Receivables - Trade, Net 115 111.22 51.15 46.28  Total Inventory 3 6.66 2.81 0.51  Prepaid Expenses 40 21.37 23.07 9.29  Other Current Assets, Total 9 4.71 30.12 0.1","Cash and Short Term Investments 632 309.47 311.05 386.91  Cash - - - -  Cash & Equivalents 632 309.47 311.05 386.91  Short Term Investments - - - -  Total Receivables, Net 115 111.22 51.15 46.28  Accounts Receivables - Trade, Net 115 111.22 51.15 46.28  Total Inventory 3 6.66 2.81 0.51  Prepaid Expenses 40 21.37 23.07 9.29  Other Current Assets, Total 9 4.71 30.12 0.1","Cash and Short Term Investments 632 309.47 311.05 386.91  Cash - - - -  Cash & Equivalents 632 309.47 311.05 386.91  Short Term Investments - - - -  Total Receivables, Net 115 111.22 51.15 46.28  Accounts Receivables - Trade, Net 115 111.22 51.15 46.28  Total Inventory 3 6.66 2.81 0.51  Prepaid Expenses 40 21.37 23.07 9.29  Other Current Assets, Total 9 4.71 30.12 0.1","Cash and Short Term Investments 632 309.47 311.05 386.91  Cash - - - -  Cash & Equivalents 632 309.47 311.05 386.91  Short Term Investments - - - -  Total Receivables, Net 115 111.22 51.15 46.28  Accounts Receivables - Trade, Net 115 111.22 51.15 46.28  Total Inventory 3 6.66 2.81 0.51  Prepaid Expenses 40 21.37 23.07 9.29  Other Current Assets, Total 9 4.71 30.12 0.1","Cash and Short Term Investments 632 309.47 311.05 386.91  Cash - - - -  Cash & Equivalents 632 309.47 311.05 386.91  Short Term Investments - - - -  Total Receivables, Net 115 111.22 51.15 46.28  Accounts Receivables - Trade, Net 115 111.22 51.15 46.28  Total Inventory 3 6.66 2.81 0.51  Prepaid Expenses 40 21.37 23.07 9.29  Other Current Assets, Total 9 4.71 30.12 0.1"
Cash and Short Term Investments,632,309.47,311.05,386.91
Cash,-,-,-,-
Cash & Equivalents,632,309.47,311.05,386.91
Short Term Investments,-,-,-,-
"Total Receivables, Net",115,111.22,51.15,46.28
"Accounts Receivables - Trade, Net",115,111.22,51.15,46.28
Total Inventory,3,6.66,2.81,0.51
Prepaid Expenses,40,21.37,23.07,9.29
"Other Current Assets, Total",9,4.71,30.12,0.1
Total Assets,1107,786.73,728.05,637.93
"Property/Plant/Equipment, Total - Net 98 110.18 124.47 30.9  Property/Plant/Equipment, Total - Gross - 142.44 138.71 40.3  Accumulated Depreciation, Total - -32.26 -14.24 -9.4  Goodwill, Net - - - -  Intangibles, Net 99 90.43 84.19 52.49  Long Term Investments 89 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 132.69 101.19 111.44  Other Assets, Total -83 - - -","Property/Plant/Equipment, Total - Net 98 110.18 124.47 30.9  Property/Plant/Equipment, Total - Gross - 142.44 138.71 40.3  Accumulated Depreciation, Total - -32.26 -14.24 -9.4  Goodwill, Net - - - -  Intangibles, Net 99 90.43 84.19 52.49  Long Term Investments 89 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 132.69 101.19 111.44  Other Assets, Total -83 - - -","Property/Plant/Equipment, Total - Net 98 110.18 124.47 30.9  Property/Plant/Equipment, Total - Gross - 142.44 138.71 40.3  Accumulated Depreciation, Total - -32.26 -14.24 -9.4  Goodwill, Net - - - -  Intangibles, Net 99 90.43 84.19 52.49  Long Term Investments 89 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 132.69 101.19 111.44  Other Assets, Total -83 - - -","Property/Plant/Equipment, Total - Net 98 110.18 124.47 30.9  Property/Plant/Equipment, Total - Gross - 142.44 138.71 40.3  Accumulated Depreciation, Total - -32.26 -14.24 -9.4  Goodwill, Net - - - -  Intangibles, Net 99 90.43 84.19 52.49  Long Term Investments 89 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 132.69 101.19 111.44  Other Assets, Total -83 - - -","Property/Plant/Equipment, Total - Net 98 110.18 124.47 30.9  Property/Plant/Equipment, Total - Gross - 142.44 138.71 40.3  Accumulated Depreciation, Total - -32.26 -14.24 -9.4  Goodwill, Net - - - -  Intangibles, Net 99 90.43 84.19 52.49  Long Term Investments 89 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 132.69 101.19 111.44  Other Assets, Total -83 - - -"
"Property/Plant/Equipment, Total - Net",98,110.18,124.47,30.9
"Property/Plant/Equipment, Total - Gross",-,142.44,138.71,40.3
"Accumulated Depreciation, Total",-,-32.26,-14.24,-9.4
"Goodwill, Net",-,-,-,-
"Intangibles, Net",99,90.43,84.19,52.49
Long Term Investments,89,-,-,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,132.69,101.19,111.44
"Other Assets, Total",-83,-,-,-
Total Current Liabilities,359,381,339.71,145.52
