Period Ending:,202228/02,202128/02,202029/02,201928/02
Total Current Assets,757.18,843.88,1076.9,1229.15
"Cash and Short Term Investments 395.74 463.68 761.02 1018.71  Cash - - - -  Cash & Equivalents 395.74 463.68 761.02 1018.71  Short Term Investments - - - -  Total Receivables, Net 215.15 110.08 106.46 68.88  Accounts Receivables - Trade, Net 73.73 70.8 106.46 68.88  Total Inventory 40.93 47.75 53.14 51.2  Prepaid Expenses 59.51 65.83 76.68 77.33  Other Current Assets, Total 45.85 156.54 79.6 13.03","Cash and Short Term Investments 395.74 463.68 761.02 1018.71  Cash - - - -  Cash & Equivalents 395.74 463.68 761.02 1018.71  Short Term Investments - - - -  Total Receivables, Net 215.15 110.08 106.46 68.88  Accounts Receivables - Trade, Net 73.73 70.8 106.46 68.88  Total Inventory 40.93 47.75 53.14 51.2  Prepaid Expenses 59.51 65.83 76.68 77.33  Other Current Assets, Total 45.85 156.54 79.6 13.03","Cash and Short Term Investments 395.74 463.68 761.02 1018.71  Cash - - - -  Cash & Equivalents 395.74 463.68 761.02 1018.71  Short Term Investments - - - -  Total Receivables, Net 215.15 110.08 106.46 68.88  Accounts Receivables - Trade, Net 73.73 70.8 106.46 68.88  Total Inventory 40.93 47.75 53.14 51.2  Prepaid Expenses 59.51 65.83 76.68 77.33  Other Current Assets, Total 45.85 156.54 79.6 13.03","Cash and Short Term Investments 395.74 463.68 761.02 1018.71  Cash - - - -  Cash & Equivalents 395.74 463.68 761.02 1018.71  Short Term Investments - - - -  Total Receivables, Net 215.15 110.08 106.46 68.88  Accounts Receivables - Trade, Net 73.73 70.8 106.46 68.88  Total Inventory 40.93 47.75 53.14 51.2  Prepaid Expenses 59.51 65.83 76.68 77.33  Other Current Assets, Total 45.85 156.54 79.6 13.03","Cash and Short Term Investments 395.74 463.68 761.02 1018.71  Cash - - - -  Cash & Equivalents 395.74 463.68 761.02 1018.71  Short Term Investments - - - -  Total Receivables, Net 215.15 110.08 106.46 68.88  Accounts Receivables - Trade, Net 73.73 70.8 106.46 68.88  Total Inventory 40.93 47.75 53.14 51.2  Prepaid Expenses 59.51 65.83 76.68 77.33  Other Current Assets, Total 45.85 156.54 79.6 13.03"
Cash and Short Term Investments,395.74,463.68,761.02,1018.71
Cash,-,-,-,-
Cash & Equivalents,395.74,463.68,761.02,1018.71
Short Term Investments,-,-,-,-
"Total Receivables, Net",215.15,110.08,106.46,68.88
"Accounts Receivables - Trade, Net",73.73,70.8,106.46,68.88
Total Inventory,40.93,47.75,53.14,51.2
Prepaid Expenses,59.51,65.83,76.68,77.33
"Other Current Assets, Total",45.85,156.54,79.6,13.03
Total Assets,3814.5,4175.89,4913.36,4960.08
