Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,7562,5693,4542.54,3272.62
"Cash and Short Term Investments 3203 2668 2620.11 1759.09  Cash - - - -  Cash & Equivalents 3203 2668 2620.11 1759.09  Short Term Investments - - - -  Total Receivables, Net 3507 2397 1632.77 1362.01  Accounts Receivables - Trade, Net 3507 2397 1632.77 1362.01  Total Inventory 240 167 127.5 9.67  Prepaid Expenses 352 223 92.23 40.67  Other Current Assets, Total 260 238 69.93 101.18","Cash and Short Term Investments 3203 2668 2620.11 1759.09  Cash - - - -  Cash & Equivalents 3203 2668 2620.11 1759.09  Short Term Investments - - - -  Total Receivables, Net 3507 2397 1632.77 1362.01  Accounts Receivables - Trade, Net 3507 2397 1632.77 1362.01  Total Inventory 240 167 127.5 9.67  Prepaid Expenses 352 223 92.23 40.67  Other Current Assets, Total 260 238 69.93 101.18","Cash and Short Term Investments 3203 2668 2620.11 1759.09  Cash - - - -  Cash & Equivalents 3203 2668 2620.11 1759.09  Short Term Investments - - - -  Total Receivables, Net 3507 2397 1632.77 1362.01  Accounts Receivables - Trade, Net 3507 2397 1632.77 1362.01  Total Inventory 240 167 127.5 9.67  Prepaid Expenses 352 223 92.23 40.67  Other Current Assets, Total 260 238 69.93 101.18","Cash and Short Term Investments 3203 2668 2620.11 1759.09  Cash - - - -  Cash & Equivalents 3203 2668 2620.11 1759.09  Short Term Investments - - - -  Total Receivables, Net 3507 2397 1632.77 1362.01  Accounts Receivables - Trade, Net 3507 2397 1632.77 1362.01  Total Inventory 240 167 127.5 9.67  Prepaid Expenses 352 223 92.23 40.67  Other Current Assets, Total 260 238 69.93 101.18","Cash and Short Term Investments 3203 2668 2620.11 1759.09  Cash - - - -  Cash & Equivalents 3203 2668 2620.11 1759.09  Short Term Investments - - - -  Total Receivables, Net 3507 2397 1632.77 1362.01  Accounts Receivables - Trade, Net 3507 2397 1632.77 1362.01  Total Inventory 240 167 127.5 9.67  Prepaid Expenses 352 223 92.23 40.67  Other Current Assets, Total 260 238 69.93 101.18"
Cash and Short Term Investments,3203,2668,2620.11,1759.09
Cash,-,-,-,-
Cash & Equivalents,3203,2668,2620.11,1759.09
Short Term Investments,-,-,-,-
"Total Receivables, Net",3507,2397,1632.77,1362.01
"Accounts Receivables - Trade, Net",3507,2397,1632.77,1362.01
Total Inventory,240,167,127.5,9.67
Prepaid Expenses,352,223,92.23,40.67
"Other Current Assets, Total",260,238,69.93,101.18
Total Assets,8376,6250,5092.25,3859.68
