Period Ending:,202331/01,202231/07,202231/01,202131/07
Total Current Assets,25621.96,25595,-,27745.09
"Cash and Short Term Investments 13949.81 14043 - 16724.65  Cash - - - -  Cash & Equivalents 13949.81 14043 - 16724.65  Short Term Investments - - - -  Total Receivables, Net 65.83 57 - 168.1  Accounts Receivables - Trade, Net 65.83 57 - 168.1  Total Inventory - - - -  Prepaid Expenses - - - 15.82  Other Current Assets, Total 11606.32 11495 - 10836.52","Cash and Short Term Investments 13949.81 14043 - 16724.65  Cash - - - -  Cash & Equivalents 13949.81 14043 - 16724.65  Short Term Investments - - - -  Total Receivables, Net 65.83 57 - 168.1  Accounts Receivables - Trade, Net 65.83 57 - 168.1  Total Inventory - - - -  Prepaid Expenses - - - 15.82  Other Current Assets, Total 11606.32 11495 - 10836.52","Cash and Short Term Investments 13949.81 14043 - 16724.65  Cash - - - -  Cash & Equivalents 13949.81 14043 - 16724.65  Short Term Investments - - - -  Total Receivables, Net 65.83 57 - 168.1  Accounts Receivables - Trade, Net 65.83 57 - 168.1  Total Inventory - - - -  Prepaid Expenses - - - 15.82  Other Current Assets, Total 11606.32 11495 - 10836.52","Cash and Short Term Investments 13949.81 14043 - 16724.65  Cash - - - -  Cash & Equivalents 13949.81 14043 - 16724.65  Short Term Investments - - - -  Total Receivables, Net 65.83 57 - 168.1  Accounts Receivables - Trade, Net 65.83 57 - 168.1  Total Inventory - - - -  Prepaid Expenses - - - 15.82  Other Current Assets, Total 11606.32 11495 - 10836.52","Cash and Short Term Investments 13949.81 14043 - 16724.65  Cash - - - -  Cash & Equivalents 13949.81 14043 - 16724.65  Short Term Investments - - - -  Total Receivables, Net 65.83 57 - 168.1  Accounts Receivables - Trade, Net 65.83 57 - 168.1  Total Inventory - - - -  Prepaid Expenses - - - 15.82  Other Current Assets, Total 11606.32 11495 - 10836.52"
Cash and Short Term Investments,13949.81,14043,-,16724.65
Cash,-,-,-,-
Cash & Equivalents,13949.81,14043,-,16724.65
Short Term Investments,-,-,-,-
"Total Receivables, Net",65.83,57,-,168.1
"Accounts Receivables - Trade, Net",65.83,57,-,168.1
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,15.82
"Other Current Assets, Total",11606.32,11495,-,10836.52
Total Assets,327014.19,315886,-,293176.95
"Property/Plant/Equipment, Total - Net 296994 290187 - 2015.44  Property/Plant/Equipment, Total - Gross 318535.98 - - 2615.59  Accumulated Depreciation, Total -21541.98 - - -600.16  Goodwill, Net - - - -  Intangibles, Net 1849.58 - - 1117.49  Long Term Investments - - - 261074.32  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2438.79 104 - 1224.62  Other Assets, Total 11650.36 11438 - -","Property/Plant/Equipment, Total - Net 296994 290187 - 2015.44  Property/Plant/Equipment, Total - Gross 318535.98 - - 2615.59  Accumulated Depreciation, Total -21541.98 - - -600.16  Goodwill, Net - - - -  Intangibles, Net 1849.58 - - 1117.49  Long Term Investments - - - 261074.32  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2438.79 104 - 1224.62  Other Assets, Total 11650.36 11438 - -","Property/Plant/Equipment, Total - Net 296994 290187 - 2015.44  Property/Plant/Equipment, Total - Gross 318535.98 - - 2615.59  Accumulated Depreciation, Total -21541.98 - - -600.16  Goodwill, Net - - - -  Intangibles, Net 1849.58 - - 1117.49  Long Term Investments - - - 261074.32  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2438.79 104 - 1224.62  Other Assets, Total 11650.36 11438 - -","Property/Plant/Equipment, Total - Net 296994 290187 - 2015.44  Property/Plant/Equipment, Total - Gross 318535.98 - - 2615.59  Accumulated Depreciation, Total -21541.98 - - -600.16  Goodwill, Net - - - -  Intangibles, Net 1849.58 - - 1117.49  Long Term Investments - - - 261074.32  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2438.79 104 - 1224.62  Other Assets, Total 11650.36 11438 - -","Property/Plant/Equipment, Total - Net 296994 290187 - 2015.44  Property/Plant/Equipment, Total - Gross 318535.98 - - 2615.59  Accumulated Depreciation, Total -21541.98 - - -600.16  Goodwill, Net - - - -  Intangibles, Net 1849.58 - - 1117.49  Long Term Investments - - - 261074.32  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2438.79 104 - 1224.62  Other Assets, Total 11650.36 11438 - -"
"Property/Plant/Equipment, Total - Net",296994,290187,-,2015.44
"Property/Plant/Equipment, Total - Gross",318535.98,-,-,2615.59
"Accumulated Depreciation, Total",-21541.98,-,-,-600.16
"Goodwill, Net",-,-,-,-
"Intangibles, Net",1849.58,-,-,1117.49
Long Term Investments,-,-,-,261074.32
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2438.79,104,-,1224.62
"Other Assets, Total",11650.36,11438,-,-
Total Current Liabilities,30151.54,21170,-,25453.85
