Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,19265,18528,16211,14693
"Cash and Short Term Investments 14351 13652 12271 10576  Cash - - - -  Cash & Equivalents 14351 13652 12271 10576  Short Term Investments - - - -  Total Receivables, Net 2820 3129 2531 2826  Accounts Receivables - Trade, Net 2820 3129 2531 2826  Total Inventory 1735 1404 1193 1062  Prepaid Expenses 236 277 189 216  Other Current Assets, Total 123 66 27 13","Cash and Short Term Investments 14351 13652 12271 10576  Cash - - - -  Cash & Equivalents 14351 13652 12271 10576  Short Term Investments - - - -  Total Receivables, Net 2820 3129 2531 2826  Accounts Receivables - Trade, Net 2820 3129 2531 2826  Total Inventory 1735 1404 1193 1062  Prepaid Expenses 236 277 189 216  Other Current Assets, Total 123 66 27 13","Cash and Short Term Investments 14351 13652 12271 10576  Cash - - - -  Cash & Equivalents 14351 13652 12271 10576  Short Term Investments - - - -  Total Receivables, Net 2820 3129 2531 2826  Accounts Receivables - Trade, Net 2820 3129 2531 2826  Total Inventory 1735 1404 1193 1062  Prepaid Expenses 236 277 189 216  Other Current Assets, Total 123 66 27 13","Cash and Short Term Investments 14351 13652 12271 10576  Cash - - - -  Cash & Equivalents 14351 13652 12271 10576  Short Term Investments - - - -  Total Receivables, Net 2820 3129 2531 2826  Accounts Receivables - Trade, Net 2820 3129 2531 2826  Total Inventory 1735 1404 1193 1062  Prepaid Expenses 236 277 189 216  Other Current Assets, Total 123 66 27 13","Cash and Short Term Investments 14351 13652 12271 10576  Cash - - - -  Cash & Equivalents 14351 13652 12271 10576  Short Term Investments - - - -  Total Receivables, Net 2820 3129 2531 2826  Accounts Receivables - Trade, Net 2820 3129 2531 2826  Total Inventory 1735 1404 1193 1062  Prepaid Expenses 236 277 189 216  Other Current Assets, Total 123 66 27 13"
Cash and Short Term Investments,14351,13652,12271,10576
Cash,-,-,-,-
Cash & Equivalents,14351,13652,12271,10576
Short Term Investments,-,-,-,-
"Total Receivables, Net",2820,3129,2531,2826
"Accounts Receivables - Trade, Net",2820,3129,2531,2826
Total Inventory,1735,1404,1193,1062
Prepaid Expenses,236,277,189,216
"Other Current Assets, Total",123,66,27,13
Total Assets,23857,23197,19956,18575
"Property/Plant/Equipment, Total - Net 2050 2157 2297 2140  Property/Plant/Equipment, Total - Gross 3095 3068 3107 2962  Accumulated Depreciation, Total -1045 -912 -808 -823  Goodwill, Net 923 1107 - -  Intangibles, Net 569 328 470 653  Long Term Investments 605 306 367 492  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 771 611 597  Other Assets, Total -518 - - -","Property/Plant/Equipment, Total - Net 2050 2157 2297 2140  Property/Plant/Equipment, Total - Gross 3095 3068 3107 2962  Accumulated Depreciation, Total -1045 -912 -808 -823  Goodwill, Net 923 1107 - -  Intangibles, Net 569 328 470 653  Long Term Investments 605 306 367 492  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 771 611 597  Other Assets, Total -518 - - -","Property/Plant/Equipment, Total - Net 2050 2157 2297 2140  Property/Plant/Equipment, Total - Gross 3095 3068 3107 2962  Accumulated Depreciation, Total -1045 -912 -808 -823  Goodwill, Net 923 1107 - -  Intangibles, Net 569 328 470 653  Long Term Investments 605 306 367 492  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 771 611 597  Other Assets, Total -518 - - -","Property/Plant/Equipment, Total - Net 2050 2157 2297 2140  Property/Plant/Equipment, Total - Gross 3095 3068 3107 2962  Accumulated Depreciation, Total -1045 -912 -808 -823  Goodwill, Net 923 1107 - -  Intangibles, Net 569 328 470 653  Long Term Investments 605 306 367 492  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 771 611 597  Other Assets, Total -518 - - -","Property/Plant/Equipment, Total - Net 2050 2157 2297 2140  Property/Plant/Equipment, Total - Gross 3095 3068 3107 2962  Accumulated Depreciation, Total -1045 -912 -808 -823  Goodwill, Net 923 1107 - -  Intangibles, Net 569 328 470 653  Long Term Investments 605 306 367 492  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 771 611 597  Other Assets, Total -518 - - -"
"Property/Plant/Equipment, Total - Net",2050,2157,2297,2140
"Property/Plant/Equipment, Total - Gross",3095,3068,3107,2962
"Accumulated Depreciation, Total",-1045,-912,-808,-823
"Goodwill, Net",923,1107,-,-
"Intangibles, Net",569,328,470,653
Long Term Investments,605,306,367,492
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,771,611,597
"Other Assets, Total",-518,-,-,-
Total Current Liabilities,3975,4712,4474,4544
"Accounts Payable 553 527 509 416  Payable/Accrued - - - -  Accrued Expenses 349 394 376 360  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 396 398 173 173  Other Current liabilities, Total 2677 3393 3416 3595","Accounts Payable 553 527 509 416  Payable/Accrued - - - -  Accrued Expenses 349 394 376 360  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 396 398 173 173  Other Current liabilities, Total 2677 3393 3416 3595","Accounts Payable 553 527 509 416  Payable/Accrued - - - -  Accrued Expenses 349 394 376 360  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 396 398 173 173  Other Current liabilities, Total 2677 3393 3416 3595","Accounts Payable 553 527 509 416  Payable/Accrued - - - -  Accrued Expenses 349 394 376 360  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 396 398 173 173  Other Current liabilities, Total 2677 3393 3416 3595","Accounts Payable 553 527 509 416  Payable/Accrued - - - -  Accrued Expenses 349 394 376 360  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 396 398 173 173  Other Current liabilities, Total 2677 3393 3416 3595"
Accounts Payable,553,527,509,416
Payable/Accrued,-,-,-,-
Accrued Expenses,349,394,376,360
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,396,398,173,173
"Other Current liabilities, Total",2677,3393,3416,3595
Total Liabilities,5939,7023,5689,5817
"Total Long Term Debt 1443 1839 762 936  Long Term Debt 1443 1839 762 936  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -1318 472 453 337","Total Long Term Debt 1443 1839 762 936  Long Term Debt 1443 1839 762 936  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -1318 472 453 337","Total Long Term Debt 1443 1839 762 936  Long Term Debt 1443 1839 762 936  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -1318 472 453 337","Total Long Term Debt 1443 1839 762 936  Long Term Debt 1443 1839 762 936  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -1318 472 453 337","Total Long Term Debt 1443 1839 762 936  Long Term Debt 1443 1839 762 936  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -1318 472 453 337"
Total Long Term Debt,1443,1839,762,936
Long Term Debt,1443,1839,762,936
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-1318,472,453,337
Total Equity,17918,16174,14267,12758
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 4158 4158 3826 3826  Additional Paid-In Capital 4121 4150 3817 3817  Retained Earnings (Accumulated Deficit) 10199 8716 6922 5113  Treasury Stock - Common -735 -852 -299 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - 1  Other Equity, Total 175 2 1 1","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 4158 4158 3826 3826  Additional Paid-In Capital 4121 4150 3817 3817  Retained Earnings (Accumulated Deficit) 10199 8716 6922 5113  Treasury Stock - Common -735 -852 -299 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - 1  Other Equity, Total 175 2 1 1","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 4158 4158 3826 3826  Additional Paid-In Capital 4121 4150 3817 3817  Retained Earnings (Accumulated Deficit) 10199 8716 6922 5113  Treasury Stock - Common -735 -852 -299 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - 1  Other Equity, Total 175 2 1 1","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 4158 4158 3826 3826  Additional Paid-In Capital 4121 4150 3817 3817  Retained Earnings (Accumulated Deficit) 10199 8716 6922 5113  Treasury Stock - Common -735 -852 -299 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - 1  Other Equity, Total 175 2 1 1","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 4158 4158 3826 3826  Additional Paid-In Capital 4121 4150 3817 3817  Retained Earnings (Accumulated Deficit) 10199 8716 6922 5113  Treasury Stock - Common -735 -852 -299 -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - 1  Other Equity, Total 175 2 1 1"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",4158,4158,3826,3826
Additional Paid-In Capital,4121,4150,3817,3817
Retained Earnings (Accumulated Deficit),10199,8716,6922,5113
Treasury Stock - Common,-735,-852,-299,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,1
"Other Equity, Total",175,2,1,1
Total Liabilities & Shareholders' Equity,23857,23197,19956,18575
Total Common Shares Outstanding,21.47,21.4,21.42,21.61
Total Preferred Shares Outstanding,-,-,-,-
