Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,765634,600736,643496,507216
"Cash and Short Term Investments 259852 178737 302186 189243  Cash - - - -  Cash & Equivalents 242598 138813 232134 123300  Short Term Investments 17254 39924 70052 65943  Total Receivables, Net 311305 266908 240654 217837  Accounts Receivables - Trade, Net 311305 266908 225783 206887  Total Inventory 176049 132798 94055 92860  Prepaid Expenses 7544 6629 5671 6844  Other Current Assets, Total 10884 15664 930 432","Cash and Short Term Investments 259852 178737 302186 189243  Cash - - - -  Cash & Equivalents 242598 138813 232134 123300  Short Term Investments 17254 39924 70052 65943  Total Receivables, Net 311305 266908 240654 217837  Accounts Receivables - Trade, Net 311305 266908 225783 206887  Total Inventory 176049 132798 94055 92860  Prepaid Expenses 7544 6629 5671 6844  Other Current Assets, Total 10884 15664 930 432","Cash and Short Term Investments 259852 178737 302186 189243  Cash - - - -  Cash & Equivalents 242598 138813 232134 123300  Short Term Investments 17254 39924 70052 65943  Total Receivables, Net 311305 266908 240654 217837  Accounts Receivables - Trade, Net 311305 266908 225783 206887  Total Inventory 176049 132798 94055 92860  Prepaid Expenses 7544 6629 5671 6844  Other Current Assets, Total 10884 15664 930 432","Cash and Short Term Investments 259852 178737 302186 189243  Cash - - - -  Cash & Equivalents 242598 138813 232134 123300  Short Term Investments 17254 39924 70052 65943  Total Receivables, Net 311305 266908 240654 217837  Accounts Receivables - Trade, Net 311305 266908 225783 206887  Total Inventory 176049 132798 94055 92860  Prepaid Expenses 7544 6629 5671 6844  Other Current Assets, Total 10884 15664 930 432","Cash and Short Term Investments 259852 178737 302186 189243  Cash - - - -  Cash & Equivalents 242598 138813 232134 123300  Short Term Investments 17254 39924 70052 65943  Total Receivables, Net 311305 266908 240654 217837  Accounts Receivables - Trade, Net 311305 266908 225783 206887  Total Inventory 176049 132798 94055 92860  Prepaid Expenses 7544 6629 5671 6844  Other Current Assets, Total 10884 15664 930 432"
Cash and Short Term Investments,259852,178737,302186,189243
Cash,-,-,-,-
Cash & Equivalents,242598,138813,232134,123300
Short Term Investments,17254,39924,70052,65943
"Total Receivables, Net",311305,266908,240654,217837
"Accounts Receivables - Trade, Net",311305,266908,225783,206887
Total Inventory,176049,132798,94055,92860
Prepaid Expenses,7544,6629,5671,6844
"Other Current Assets, Total",10884,15664,930,432
Total Assets,2442340,1955083,1614580,1478646
