Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,7848,6766,7669.15,4571.88
"Cash and Short Term Investments 6044 4737 5288.13 2262.95  Cash - - - -  Cash & Equivalents 6044 4737 5288.13 2262.95  Short Term Investments - - - -  Total Receivables, Net 1484 1485 1841.94 1732.19  Accounts Receivables - Trade, Net 1484 1485 1841.94 1732.19  Total Inventory 22 10 7.08 -  Prepaid Expenses 148 157 174.07 371.94  Other Current Assets, Total 150 377 357.93 204.81","Cash and Short Term Investments 6044 4737 5288.13 2262.95  Cash - - - -  Cash & Equivalents 6044 4737 5288.13 2262.95  Short Term Investments - - - -  Total Receivables, Net 1484 1485 1841.94 1732.19  Accounts Receivables - Trade, Net 1484 1485 1841.94 1732.19  Total Inventory 22 10 7.08 -  Prepaid Expenses 148 157 174.07 371.94  Other Current Assets, Total 150 377 357.93 204.81","Cash and Short Term Investments 6044 4737 5288.13 2262.95  Cash - - - -  Cash & Equivalents 6044 4737 5288.13 2262.95  Short Term Investments - - - -  Total Receivables, Net 1484 1485 1841.94 1732.19  Accounts Receivables - Trade, Net 1484 1485 1841.94 1732.19  Total Inventory 22 10 7.08 -  Prepaid Expenses 148 157 174.07 371.94  Other Current Assets, Total 150 377 357.93 204.81","Cash and Short Term Investments 6044 4737 5288.13 2262.95  Cash - - - -  Cash & Equivalents 6044 4737 5288.13 2262.95  Short Term Investments - - - -  Total Receivables, Net 1484 1485 1841.94 1732.19  Accounts Receivables - Trade, Net 1484 1485 1841.94 1732.19  Total Inventory 22 10 7.08 -  Prepaid Expenses 148 157 174.07 371.94  Other Current Assets, Total 150 377 357.93 204.81","Cash and Short Term Investments 6044 4737 5288.13 2262.95  Cash - - - -  Cash & Equivalents 6044 4737 5288.13 2262.95  Short Term Investments - - - -  Total Receivables, Net 1484 1485 1841.94 1732.19  Accounts Receivables - Trade, Net 1484 1485 1841.94 1732.19  Total Inventory 22 10 7.08 -  Prepaid Expenses 148 157 174.07 371.94  Other Current Assets, Total 150 377 357.93 204.81"
Cash and Short Term Investments,6044,4737,5288.13,2262.95
Cash,-,-,-,-
Cash & Equivalents,6044,4737,5288.13,2262.95
Short Term Investments,-,-,-,-
"Total Receivables, Net",1484,1485,1841.94,1732.19
"Accounts Receivables - Trade, Net",1484,1485,1841.94,1732.19
Total Inventory,22,10,7.08,-
Prepaid Expenses,148,157,174.07,371.94
"Other Current Assets, Total",150,377,357.93,204.81
Total Assets,12226,9653,9610.42,6423.76
"Property/Plant/Equipment, Total - Net 196 210 114.9 171.52  Property/Plant/Equipment, Total - Gross - 260.5 403.87 425.01  Accumulated Depreciation, Total - -49.6 -288.97 -253.5  Goodwill, Net - - - -  Intangibles, Net 3228 1890 878.7 906.59  Long Term Investments 461 320 0.01 5.22  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 947.66 768.56  Other Assets, Total -821 -633 - -","Property/Plant/Equipment, Total - Net 196 210 114.9 171.52  Property/Plant/Equipment, Total - Gross - 260.5 403.87 425.01  Accumulated Depreciation, Total - -49.6 -288.97 -253.5  Goodwill, Net - - - -  Intangibles, Net 3228 1890 878.7 906.59  Long Term Investments 461 320 0.01 5.22  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 947.66 768.56  Other Assets, Total -821 -633 - -","Property/Plant/Equipment, Total - Net 196 210 114.9 171.52  Property/Plant/Equipment, Total - Gross - 260.5 403.87 425.01  Accumulated Depreciation, Total - -49.6 -288.97 -253.5  Goodwill, Net - - - -  Intangibles, Net 3228 1890 878.7 906.59  Long Term Investments 461 320 0.01 5.22  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 947.66 768.56  Other Assets, Total -821 -633 - -","Property/Plant/Equipment, Total - Net 196 210 114.9 171.52  Property/Plant/Equipment, Total - Gross - 260.5 403.87 425.01  Accumulated Depreciation, Total - -49.6 -288.97 -253.5  Goodwill, Net - - - -  Intangibles, Net 3228 1890 878.7 906.59  Long Term Investments 461 320 0.01 5.22  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 947.66 768.56  Other Assets, Total -821 -633 - -","Property/Plant/Equipment, Total - Net 196 210 114.9 171.52  Property/Plant/Equipment, Total - Gross - 260.5 403.87 425.01  Accumulated Depreciation, Total - -49.6 -288.97 -253.5  Goodwill, Net - - - -  Intangibles, Net 3228 1890 878.7 906.59  Long Term Investments 461 320 0.01 5.22  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 947.66 768.56  Other Assets, Total -821 -633 - -"
"Property/Plant/Equipment, Total - Net",196,210,114.9,171.52
"Property/Plant/Equipment, Total - Gross",-,260.5,403.87,425.01
"Accumulated Depreciation, Total",-,-49.6,-288.97,-253.5
"Goodwill, Net",-,-,-,-
"Intangibles, Net",3228,1890,878.7,906.59
Long Term Investments,461,320,0.01,5.22
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,2,947.66,768.56
"Other Assets, Total",-821,-633,-,-
Total Current Liabilities,4300,2709,3181.88,3594.66
"Accounts Payable 449 357 363.54 425.13  Payable/Accrued - - - -  Accrued Expenses 129 138 174.06 105.64  Notes Payable/Short Term Debt 100 146 100 1180  Current Port. of LT Debt/Capital Leases 1781 809 1315.38 1480.02  Other Current liabilities, Total 1841 1259 1228.9 403.87","Accounts Payable 449 357 363.54 425.13  Payable/Accrued - - - -  Accrued Expenses 129 138 174.06 105.64  Notes Payable/Short Term Debt 100 146 100 1180  Current Port. of LT Debt/Capital Leases 1781 809 1315.38 1480.02  Other Current liabilities, Total 1841 1259 1228.9 403.87","Accounts Payable 449 357 363.54 425.13  Payable/Accrued - - - -  Accrued Expenses 129 138 174.06 105.64  Notes Payable/Short Term Debt 100 146 100 1180  Current Port. of LT Debt/Capital Leases 1781 809 1315.38 1480.02  Other Current liabilities, Total 1841 1259 1228.9 403.87","Accounts Payable 449 357 363.54 425.13  Payable/Accrued - - - -  Accrued Expenses 129 138 174.06 105.64  Notes Payable/Short Term Debt 100 146 100 1180  Current Port. of LT Debt/Capital Leases 1781 809 1315.38 1480.02  Other Current liabilities, Total 1841 1259 1228.9 403.87","Accounts Payable 449 357 363.54 425.13  Payable/Accrued - - - -  Accrued Expenses 129 138 174.06 105.64  Notes Payable/Short Term Debt 100 146 100 1180  Current Port. of LT Debt/Capital Leases 1781 809 1315.38 1480.02  Other Current liabilities, Total 1841 1259 1228.9 403.87"
Accounts Payable,449,357,363.54,425.13
Payable/Accrued,-,-,-,-
Accrued Expenses,129,138,174.06,105.64
Notes Payable/Short Term Debt,100,146,100,1180
Current Port. of LT Debt/Capital Leases,1781,809,1315.38,1480.02
"Other Current liabilities, Total",1841,1259,1228.9,403.87
Total Liabilities,6595,5080,5757.35,4257.65
"Total Long Term Debt 1955 2018 2443.31 454.69  Long Term Debt 1952 2014 2436.93 433.53  Capital Lease Obligations 3 4 6.39 21.16  Deferred Income Tax - - - -  Minority Interest 2 2 2.25 2.44  Other Liabilities, Total 238 -2663 129.91 205.86","Total Long Term Debt 1955 2018 2443.31 454.69  Long Term Debt 1952 2014 2436.93 433.53  Capital Lease Obligations 3 4 6.39 21.16  Deferred Income Tax - - - -  Minority Interest 2 2 2.25 2.44  Other Liabilities, Total 238 -2663 129.91 205.86","Total Long Term Debt 1955 2018 2443.31 454.69  Long Term Debt 1952 2014 2436.93 433.53  Capital Lease Obligations 3 4 6.39 21.16  Deferred Income Tax - - - -  Minority Interest 2 2 2.25 2.44  Other Liabilities, Total 238 -2663 129.91 205.86","Total Long Term Debt 1955 2018 2443.31 454.69  Long Term Debt 1952 2014 2436.93 433.53  Capital Lease Obligations 3 4 6.39 21.16  Deferred Income Tax - - - -  Minority Interest 2 2 2.25 2.44  Other Liabilities, Total 238 -2663 129.91 205.86","Total Long Term Debt 1955 2018 2443.31 454.69  Long Term Debt 1952 2014 2436.93 433.53  Capital Lease Obligations 3 4 6.39 21.16  Deferred Income Tax - - - -  Minority Interest 2 2 2.25 2.44  Other Liabilities, Total 238 -2663 129.91 205.86"
Total Long Term Debt,1955,2018,2443.31,454.69
Long Term Debt,1952,2014,2436.93,433.53
Capital Lease Obligations,3,4,6.39,21.16
Deferred Income Tax,-,-,-,-
Minority Interest,2,2,2.25,2.44
"Other Liabilities, Total",238,-2663,129.91,205.86
Total Equity,5631,4573,3853.07,2166.11
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1811 1792 1761.21 1735.29  Additional Paid-In Capital 2068 2050 2017.98 1991.62  Retained Earnings (Accumulated Deficit) 1967 953 205.03 -1424.55  Treasury Stock - Common -266 -274 -131.06 -136.2  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 0.01 -0.09 -0.05  Other Equity, Total 51 52 - -0","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1811 1792 1761.21 1735.29  Additional Paid-In Capital 2068 2050 2017.98 1991.62  Retained Earnings (Accumulated Deficit) 1967 953 205.03 -1424.55  Treasury Stock - Common -266 -274 -131.06 -136.2  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 0.01 -0.09 -0.05  Other Equity, Total 51 52 - -0","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1811 1792 1761.21 1735.29  Additional Paid-In Capital 2068 2050 2017.98 1991.62  Retained Earnings (Accumulated Deficit) 1967 953 205.03 -1424.55  Treasury Stock - Common -266 -274 -131.06 -136.2  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 0.01 -0.09 -0.05  Other Equity, Total 51 52 - -0","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1811 1792 1761.21 1735.29  Additional Paid-In Capital 2068 2050 2017.98 1991.62  Retained Earnings (Accumulated Deficit) 1967 953 205.03 -1424.55  Treasury Stock - Common -266 -274 -131.06 -136.2  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 0.01 -0.09 -0.05  Other Equity, Total 51 52 - -0","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1811 1792 1761.21 1735.29  Additional Paid-In Capital 2068 2050 2017.98 1991.62  Retained Earnings (Accumulated Deficit) 1967 953 205.03 -1424.55  Treasury Stock - Common -266 -274 -131.06 -136.2  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 0.01 -0.09 -0.05  Other Equity, Total 51 52 - -0"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",1811,1792,1761.21,1735.29
Additional Paid-In Capital,2068,2050,2017.98,1991.62
Retained Earnings (Accumulated Deficit),1967,953,205.03,-1424.55
Treasury Stock - Common,-266,-274,-131.06,-136.2
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,0.01,-0.09,-0.05
"Other Equity, Total",51,52,-,-0
Total Liabilities & Shareholders' Equity,12226,9653,9610.42,6423.76
Total Common Shares Outstanding,28.51,28.44,28.55,28.46
Total Preferred Shares Outstanding,-,-,-,-
