Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,4617,3729,4349.81,2404.12
"Cash and Short Term Investments 3581 2821 3224.31 1464.17  Cash - - - -  Cash & Equivalents - 2821 3224.31 1464.17  Short Term Investments - - - -  Total Receivables, Net 481 380 308.66 330.64  Accounts Receivables - Trade, Net 380 282 225.97 197.62  Total Inventory 543 511 805.11 601.81  Prepaid Expenses 9 16 11.63 7.3  Other Current Assets, Total 3 1 0.1 0.2","Cash and Short Term Investments 3581 2821 3224.31 1464.17  Cash - - - -  Cash & Equivalents - 2821 3224.31 1464.17  Short Term Investments - - - -  Total Receivables, Net 481 380 308.66 330.64  Accounts Receivables - Trade, Net 380 282 225.97 197.62  Total Inventory 543 511 805.11 601.81  Prepaid Expenses 9 16 11.63 7.3  Other Current Assets, Total 3 1 0.1 0.2","Cash and Short Term Investments 3581 2821 3224.31 1464.17  Cash - - - -  Cash & Equivalents - 2821 3224.31 1464.17  Short Term Investments - - - -  Total Receivables, Net 481 380 308.66 330.64  Accounts Receivables - Trade, Net 380 282 225.97 197.62  Total Inventory 543 511 805.11 601.81  Prepaid Expenses 9 16 11.63 7.3  Other Current Assets, Total 3 1 0.1 0.2","Cash and Short Term Investments 3581 2821 3224.31 1464.17  Cash - - - -  Cash & Equivalents - 2821 3224.31 1464.17  Short Term Investments - - - -  Total Receivables, Net 481 380 308.66 330.64  Accounts Receivables - Trade, Net 380 282 225.97 197.62  Total Inventory 543 511 805.11 601.81  Prepaid Expenses 9 16 11.63 7.3  Other Current Assets, Total 3 1 0.1 0.2","Cash and Short Term Investments 3581 2821 3224.31 1464.17  Cash - - - -  Cash & Equivalents - 2821 3224.31 1464.17  Short Term Investments - - - -  Total Receivables, Net 481 380 308.66 330.64  Accounts Receivables - Trade, Net 380 282 225.97 197.62  Total Inventory 543 511 805.11 601.81  Prepaid Expenses 9 16 11.63 7.3  Other Current Assets, Total 3 1 0.1 0.2"
Cash and Short Term Investments,3581,2821,3224.31,1464.17
Cash,-,-,-,-
Cash & Equivalents,-,2821,3224.31,1464.17
Short Term Investments,-,-,-,-
"Total Receivables, Net",481,380,308.66,330.64
"Accounts Receivables - Trade, Net",380,282,225.97,197.62
Total Inventory,543,511,805.11,601.81
Prepaid Expenses,9,16,11.63,7.3
"Other Current Assets, Total",3,1,0.1,0.2
Total Assets,4918,4018,4675.15,2919.36
