Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Current Assets,6603,6762,5290,5731.2
"Cash and Short Term Investments 3139 3607 3016 2052.93  Cash - - - -  Cash & Equivalents 3139 3607 3016 2052.93  Short Term Investments - - - -  Total Receivables, Net 2976 2796 1630 3129.2  Accounts Receivables - Trade, Net 2976 2796 1630 3008.2  Total Inventory 213 242 218 263.93  Prepaid Expenses 99 95 100 91.99  Other Current Assets, Total 176 22 326 193.16","Cash and Short Term Investments 3139 3607 3016 2052.93  Cash - - - -  Cash & Equivalents 3139 3607 3016 2052.93  Short Term Investments - - - -  Total Receivables, Net 2976 2796 1630 3129.2  Accounts Receivables - Trade, Net 2976 2796 1630 3008.2  Total Inventory 213 242 218 263.93  Prepaid Expenses 99 95 100 91.99  Other Current Assets, Total 176 22 326 193.16","Cash and Short Term Investments 3139 3607 3016 2052.93  Cash - - - -  Cash & Equivalents 3139 3607 3016 2052.93  Short Term Investments - - - -  Total Receivables, Net 2976 2796 1630 3129.2  Accounts Receivables - Trade, Net 2976 2796 1630 3008.2  Total Inventory 213 242 218 263.93  Prepaid Expenses 99 95 100 91.99  Other Current Assets, Total 176 22 326 193.16","Cash and Short Term Investments 3139 3607 3016 2052.93  Cash - - - -  Cash & Equivalents 3139 3607 3016 2052.93  Short Term Investments - - - -  Total Receivables, Net 2976 2796 1630 3129.2  Accounts Receivables - Trade, Net 2976 2796 1630 3008.2  Total Inventory 213 242 218 263.93  Prepaid Expenses 99 95 100 91.99  Other Current Assets, Total 176 22 326 193.16","Cash and Short Term Investments 3139 3607 3016 2052.93  Cash - - - -  Cash & Equivalents 3139 3607 3016 2052.93  Short Term Investments - - - -  Total Receivables, Net 2976 2796 1630 3129.2  Accounts Receivables - Trade, Net 2976 2796 1630 3008.2  Total Inventory 213 242 218 263.93  Prepaid Expenses 99 95 100 91.99  Other Current Assets, Total 176 22 326 193.16"
Cash and Short Term Investments,3139,3607,3016,2052.93
Cash,-,-,-,-
Cash & Equivalents,3139,3607,3016,2052.93
Short Term Investments,-,-,-,-
"Total Receivables, Net",2976,2796,1630,3129.2
"Accounts Receivables - Trade, Net",2976,2796,1630,3008.2
Total Inventory,213,242,218,263.93
Prepaid Expenses,99,95,100,91.99
"Other Current Assets, Total",176,22,326,193.16
Total Assets,9582,9794,8648,9332.97
"Property/Plant/Equipment, Total - Net 2503 2568 2790 2972.6  Property/Plant/Equipment, Total - Gross - 4985.51 5182.93 5183.62  Accumulated Depreciation, Total - -2417.23 -2392.04 -2211.01  Goodwill, Net - - - -  Intangibles, Net 25 40 52 79.75  Long Term Investments 309 308 406 138.29  Note Receivable - Long Term - 51.56 44.62 46.85  Other Long Term Assets, Total 2 2 2 364.26  Other Assets, Total -2447 -2418 -978 -","Property/Plant/Equipment, Total - Net 2503 2568 2790 2972.6  Property/Plant/Equipment, Total - Gross - 4985.51 5182.93 5183.62  Accumulated Depreciation, Total - -2417.23 -2392.04 -2211.01  Goodwill, Net - - - -  Intangibles, Net 25 40 52 79.75  Long Term Investments 309 308 406 138.29  Note Receivable - Long Term - 51.56 44.62 46.85  Other Long Term Assets, Total 2 2 2 364.26  Other Assets, Total -2447 -2418 -978 -","Property/Plant/Equipment, Total - Net 2503 2568 2790 2972.6  Property/Plant/Equipment, Total - Gross - 4985.51 5182.93 5183.62  Accumulated Depreciation, Total - -2417.23 -2392.04 -2211.01  Goodwill, Net - - - -  Intangibles, Net 25 40 52 79.75  Long Term Investments 309 308 406 138.29  Note Receivable - Long Term - 51.56 44.62 46.85  Other Long Term Assets, Total 2 2 2 364.26  Other Assets, Total -2447 -2418 -978 -","Property/Plant/Equipment, Total - Net 2503 2568 2790 2972.6  Property/Plant/Equipment, Total - Gross - 4985.51 5182.93 5183.62  Accumulated Depreciation, Total - -2417.23 -2392.04 -2211.01  Goodwill, Net - - - -  Intangibles, Net 25 40 52 79.75  Long Term Investments 309 308 406 138.29  Note Receivable - Long Term - 51.56 44.62 46.85  Other Long Term Assets, Total 2 2 2 364.26  Other Assets, Total -2447 -2418 -978 -","Property/Plant/Equipment, Total - Net 2503 2568 2790 2972.6  Property/Plant/Equipment, Total - Gross - 4985.51 5182.93 5183.62  Accumulated Depreciation, Total - -2417.23 -2392.04 -2211.01  Goodwill, Net - - - -  Intangibles, Net 25 40 52 79.75  Long Term Investments 309 308 406 138.29  Note Receivable - Long Term - 51.56 44.62 46.85  Other Long Term Assets, Total 2 2 2 364.26  Other Assets, Total -2447 -2418 -978 -"
