Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,62740,43188,40461.97,31043.8
"Cash and Short Term Investments 45947 13673 13144.6 9132.19  Cash - - - -  Cash & Equivalents 45947 13673 13144.6 9132.19  Short Term Investments - - - -  Total Receivables, Net 8308 8480 7236.1 5893.8  Accounts Receivables - Trade, Net 8308 8480 7236.1 5893.8  Total Inventory 1353 903 1565.82 1407.06  Prepaid Expenses 4034 2277 2060.07 1501.17  Other Current Assets, Total 3098 17855 16455.38 13109.57","Cash and Short Term Investments 45947 13673 13144.6 9132.19  Cash - - - -  Cash & Equivalents 45947 13673 13144.6 9132.19  Short Term Investments - - - -  Total Receivables, Net 8308 8480 7236.1 5893.8  Accounts Receivables - Trade, Net 8308 8480 7236.1 5893.8  Total Inventory 1353 903 1565.82 1407.06  Prepaid Expenses 4034 2277 2060.07 1501.17  Other Current Assets, Total 3098 17855 16455.38 13109.57","Cash and Short Term Investments 45947 13673 13144.6 9132.19  Cash - - - -  Cash & Equivalents 45947 13673 13144.6 9132.19  Short Term Investments - - - -  Total Receivables, Net 8308 8480 7236.1 5893.8  Accounts Receivables - Trade, Net 8308 8480 7236.1 5893.8  Total Inventory 1353 903 1565.82 1407.06  Prepaid Expenses 4034 2277 2060.07 1501.17  Other Current Assets, Total 3098 17855 16455.38 13109.57","Cash and Short Term Investments 45947 13673 13144.6 9132.19  Cash - - - -  Cash & Equivalents 45947 13673 13144.6 9132.19  Short Term Investments - - - -  Total Receivables, Net 8308 8480 7236.1 5893.8  Accounts Receivables - Trade, Net 8308 8480 7236.1 5893.8  Total Inventory 1353 903 1565.82 1407.06  Prepaid Expenses 4034 2277 2060.07 1501.17  Other Current Assets, Total 3098 17855 16455.38 13109.57","Cash and Short Term Investments 45947 13673 13144.6 9132.19  Cash - - - -  Cash & Equivalents 45947 13673 13144.6 9132.19  Short Term Investments - - - -  Total Receivables, Net 8308 8480 7236.1 5893.8  Accounts Receivables - Trade, Net 8308 8480 7236.1 5893.8  Total Inventory 1353 903 1565.82 1407.06  Prepaid Expenses 4034 2277 2060.07 1501.17  Other Current Assets, Total 3098 17855 16455.38 13109.57"
Cash and Short Term Investments,45947,13673,13144.6,9132.19
Cash,-,-,-,-
Cash & Equivalents,45947,13673,13144.6,9132.19
Short Term Investments,-,-,-,-
"Total Receivables, Net",8308,8480,7236.1,5893.8
"Accounts Receivables - Trade, Net",8308,8480,7236.1,5893.8
Total Inventory,1353,903,1565.82,1407.06
Prepaid Expenses,4034,2277,2060.07,1501.17
"Other Current Assets, Total",3098,17855,16455.38,13109.57
Total Assets,72170,51283,47984.81,37024.02
"Property/Plant/Equipment, Total - Net 2890 2979 3065.5 2711.99  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1200 1537 888.05 300.33  Intangibles, Net 1541 1197 1150.8 450.07  Long Term Investments 3495 1840 1868.65 2066.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 542 549.84 450.95  Other Assets, Total -3554 - - -","Property/Plant/Equipment, Total - Net 2890 2979 3065.5 2711.99  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1200 1537 888.05 300.33  Intangibles, Net 1541 1197 1150.8 450.07  Long Term Investments 3495 1840 1868.65 2066.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 542 549.84 450.95  Other Assets, Total -3554 - - -","Property/Plant/Equipment, Total - Net 2890 2979 3065.5 2711.99  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1200 1537 888.05 300.33  Intangibles, Net 1541 1197 1150.8 450.07  Long Term Investments 3495 1840 1868.65 2066.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 542 549.84 450.95  Other Assets, Total -3554 - - -","Property/Plant/Equipment, Total - Net 2890 2979 3065.5 2711.99  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1200 1537 888.05 300.33  Intangibles, Net 1541 1197 1150.8 450.07  Long Term Investments 3495 1840 1868.65 2066.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 542 549.84 450.95  Other Assets, Total -3554 - - -","Property/Plant/Equipment, Total - Net 2890 2979 3065.5 2711.99  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1200 1537 888.05 300.33  Intangibles, Net 1541 1197 1150.8 450.07  Long Term Investments 3495 1840 1868.65 2066.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 542 549.84 450.95  Other Assets, Total -3554 - - -"
"Property/Plant/Equipment, Total - Net",2890,2979,3065.5,2711.99
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",1200,1537,888.05,300.33
"Intangibles, Net",1541,1197,1150.8,450.07
Long Term Investments,3495,1840,1868.65,2066.88
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,542,549.84,450.95
"Other Assets, Total",-3554,-,-,-
Total Current Liabilities,50339,31899,30310.32,24435.19
"Accounts Payable 4538 3722 3685.35 3285.96  Payable/Accrued - - - -  Accrued Expenses 42 65 16.26 6.83  Notes Payable/Short Term Debt - 47 - 24  Current Port. of LT Debt/Capital Leases 501 388 380.63 359.33  Other Current liabilities, Total 45258 27677 26228.08 20759.06","Accounts Payable 4538 3722 3685.35 3285.96  Payable/Accrued - - - -  Accrued Expenses 42 65 16.26 6.83  Notes Payable/Short Term Debt - 47 - 24  Current Port. of LT Debt/Capital Leases 501 388 380.63 359.33  Other Current liabilities, Total 45258 27677 26228.08 20759.06","Accounts Payable 4538 3722 3685.35 3285.96  Payable/Accrued - - - -  Accrued Expenses 42 65 16.26 6.83  Notes Payable/Short Term Debt - 47 - 24  Current Port. of LT Debt/Capital Leases 501 388 380.63 359.33  Other Current liabilities, Total 45258 27677 26228.08 20759.06","Accounts Payable 4538 3722 3685.35 3285.96  Payable/Accrued - - - -  Accrued Expenses 42 65 16.26 6.83  Notes Payable/Short Term Debt - 47 - 24  Current Port. of LT Debt/Capital Leases 501 388 380.63 359.33  Other Current liabilities, Total 45258 27677 26228.08 20759.06","Accounts Payable 4538 3722 3685.35 3285.96  Payable/Accrued - - - -  Accrued Expenses 42 65 16.26 6.83  Notes Payable/Short Term Debt - 47 - 24  Current Port. of LT Debt/Capital Leases 501 388 380.63 359.33  Other Current liabilities, Total 45258 27677 26228.08 20759.06"
Accounts Payable,4538,3722,3685.35,3285.96
Payable/Accrued,-,-,-,-
Accrued Expenses,42,65,16.26,6.83
Notes Payable/Short Term Debt,-,47,-,24
Current Port. of LT Debt/Capital Leases,501,388,380.63,359.33
"Other Current liabilities, Total",45258,27677,26228.08,20759.06
Total Liabilities,52506,33873,32337.09,26283.27
