Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2048,1951,1533.18,1628.29
"Cash and Short Term Investments 1107 1130 845.18 930.18  Cash - - - -  Cash & Equivalents 1107 1130 845.18 930.18  Short Term Investments - - - -  Total Receivables, Net 809 712 591.76 576.57  Accounts Receivables - Trade, Net 809 712 591.76 576.57  Total Inventory 13 15 11.34 25.73  Prepaid Expenses - - 79.79 86.14  Other Current Assets, Total 119 94 5.12 9.68","Cash and Short Term Investments 1107 1130 845.18 930.18  Cash - - - -  Cash & Equivalents 1107 1130 845.18 930.18  Short Term Investments - - - -  Total Receivables, Net 809 712 591.76 576.57  Accounts Receivables - Trade, Net 809 712 591.76 576.57  Total Inventory 13 15 11.34 25.73  Prepaid Expenses - - 79.79 86.14  Other Current Assets, Total 119 94 5.12 9.68","Cash and Short Term Investments 1107 1130 845.18 930.18  Cash - - - -  Cash & Equivalents 1107 1130 845.18 930.18  Short Term Investments - - - -  Total Receivables, Net 809 712 591.76 576.57  Accounts Receivables - Trade, Net 809 712 591.76 576.57  Total Inventory 13 15 11.34 25.73  Prepaid Expenses - - 79.79 86.14  Other Current Assets, Total 119 94 5.12 9.68","Cash and Short Term Investments 1107 1130 845.18 930.18  Cash - - - -  Cash & Equivalents 1107 1130 845.18 930.18  Short Term Investments - - - -  Total Receivables, Net 809 712 591.76 576.57  Accounts Receivables - Trade, Net 809 712 591.76 576.57  Total Inventory 13 15 11.34 25.73  Prepaid Expenses - - 79.79 86.14  Other Current Assets, Total 119 94 5.12 9.68","Cash and Short Term Investments 1107 1130 845.18 930.18  Cash - - - -  Cash & Equivalents 1107 1130 845.18 930.18  Short Term Investments - - - -  Total Receivables, Net 809 712 591.76 576.57  Accounts Receivables - Trade, Net 809 712 591.76 576.57  Total Inventory 13 15 11.34 25.73  Prepaid Expenses - - 79.79 86.14  Other Current Assets, Total 119 94 5.12 9.68"
Cash and Short Term Investments,1107,1130,845.18,930.18
Cash,-,-,-,-
Cash & Equivalents,1107,1130,845.18,930.18
Short Term Investments,-,-,-,-
"Total Receivables, Net",809,712,591.76,576.57
"Accounts Receivables - Trade, Net",809,712,591.76,576.57
Total Inventory,13,15,11.34,25.73
Prepaid Expenses,-,-,79.79,86.14
"Other Current Assets, Total",119,94,5.12,9.68
Total Assets,3185,2829,2346.63,2458.94
