Period Ending:,202131/05,202031/05,201931/05,Unnamed: 4
Total Current Assets,3494.51,3469.84,2625.82,-
"Cash and Short Term Investments 1000.37 880.95 613.96 -  Cash - - - -  Cash & Equivalents 1000.37 880.95 613.96 -  Short Term Investments - - - -  Total Receivables, Net 1600.71 1803.33 1348.91 -  Accounts Receivables - Trade, Net 1436.72 1497.94 1348.91 -  Total Inventory 856.77 735.31 624.25 -  Prepaid Expenses 24.17 41.16 - -  Other Current Assets, Total 12.48 9.09 38.7 -","Cash and Short Term Investments 1000.37 880.95 613.96 -  Cash - - - -  Cash & Equivalents 1000.37 880.95 613.96 -  Short Term Investments - - - -  Total Receivables, Net 1600.71 1803.33 1348.91 -  Accounts Receivables - Trade, Net 1436.72 1497.94 1348.91 -  Total Inventory 856.77 735.31 624.25 -  Prepaid Expenses 24.17 41.16 - -  Other Current Assets, Total 12.48 9.09 38.7 -","Cash and Short Term Investments 1000.37 880.95 613.96 -  Cash - - - -  Cash & Equivalents 1000.37 880.95 613.96 -  Short Term Investments - - - -  Total Receivables, Net 1600.71 1803.33 1348.91 -  Accounts Receivables - Trade, Net 1436.72 1497.94 1348.91 -  Total Inventory 856.77 735.31 624.25 -  Prepaid Expenses 24.17 41.16 - -  Other Current Assets, Total 12.48 9.09 38.7 -","Cash and Short Term Investments 1000.37 880.95 613.96 -  Cash - - - -  Cash & Equivalents 1000.37 880.95 613.96 -  Short Term Investments - - - -  Total Receivables, Net 1600.71 1803.33 1348.91 -  Accounts Receivables - Trade, Net 1436.72 1497.94 1348.91 -  Total Inventory 856.77 735.31 624.25 -  Prepaid Expenses 24.17 41.16 - -  Other Current Assets, Total 12.48 9.09 38.7 -","Cash and Short Term Investments 1000.37 880.95 613.96 -  Cash - - - -  Cash & Equivalents 1000.37 880.95 613.96 -  Short Term Investments - - - -  Total Receivables, Net 1600.71 1803.33 1348.91 -  Accounts Receivables - Trade, Net 1436.72 1497.94 1348.91 -  Total Inventory 856.77 735.31 624.25 -  Prepaid Expenses 24.17 41.16 - -  Other Current Assets, Total 12.48 9.09 38.7 -"
Cash and Short Term Investments,1000.37,880.95,613.96,-
Cash,-,-,-,-
Cash & Equivalents,1000.37,880.95,613.96,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",1600.71,1803.33,1348.91,-
"Accounts Receivables - Trade, Net",1436.72,1497.94,1348.91,-
Total Inventory,856.77,735.31,624.25,-
Prepaid Expenses,24.17,41.16,-,-
"Other Current Assets, Total",12.48,9.09,38.7,-
Total Assets,4612.32,4785.97,4619.34,-
