Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,203471,198874,164109,121545
"Cash and Short Term Investments 146388 141216 115398 62959  Cash - - 141 77  Cash & Equivalents 118319 104253 89144 47871  Short Term Investments 28069 36963 26254 15011  Total Receivables, Net 50537 50879 43676 33617  Accounts Receivables - Trade, Net 50537 50879 43676 25598  Total Inventory - - 1652 1557  Prepaid Expenses - 2219 2184 1955  Other Current Assets, Total 6546 4560 2851 21457","Cash and Short Term Investments 146388 141216 115398 62959  Cash - - 141 77  Cash & Equivalents 118319 104253 89144 47871  Short Term Investments 28069 36963 26254 15011  Total Receivables, Net 50537 50879 43676 33617  Accounts Receivables - Trade, Net 50537 50879 43676 25598  Total Inventory - - 1652 1557  Prepaid Expenses - 2219 2184 1955  Other Current Assets, Total 6546 4560 2851 21457","Cash and Short Term Investments 146388 141216 115398 62959  Cash - - 141 77  Cash & Equivalents 118319 104253 89144 47871  Short Term Investments 28069 36963 26254 15011  Total Receivables, Net 50537 50879 43676 33617  Accounts Receivables - Trade, Net 50537 50879 43676 25598  Total Inventory - - 1652 1557  Prepaid Expenses - 2219 2184 1955  Other Current Assets, Total 6546 4560 2851 21457","Cash and Short Term Investments 146388 141216 115398 62959  Cash - - 141 77  Cash & Equivalents 118319 104253 89144 47871  Short Term Investments 28069 36963 26254 15011  Total Receivables, Net 50537 50879 43676 33617  Accounts Receivables - Trade, Net 50537 50879 43676 25598  Total Inventory - - 1652 1557  Prepaid Expenses - 2219 2184 1955  Other Current Assets, Total 6546 4560 2851 21457","Cash and Short Term Investments 146388 141216 115398 62959  Cash - - 141 77  Cash & Equivalents 118319 104253 89144 47871  Short Term Investments 28069 36963 26254 15011  Total Receivables, Net 50537 50879 43676 33617  Accounts Receivables - Trade, Net 50537 50879 43676 25598  Total Inventory - - 1652 1557  Prepaid Expenses - 2219 2184 1955  Other Current Assets, Total 6546 4560 2851 21457"
Cash and Short Term Investments,146388,141216,115398,62959
Cash,-,-,141,77
Cash & Equivalents,118319,104253,89144,47871
Short Term Investments,28069,36963,26254,15011
"Total Receivables, Net",50537,50879,43676,33617
"Accounts Receivables - Trade, Net",50537,50879,43676,25598
Total Inventory,-,-,1652,1557
Prepaid Expenses,-,2219,2184,1955
"Other Current Assets, Total",6546,4560,2851,21457
Total Assets,400645,345981,273123,221839
"Property/Plant/Equipment, Total - Net 19034 12540 12198 9774  Property/Plant/Equipment, Total - Gross - - 20616 14999  Accumulated Depreciation, Total - - -8419 -5225  Goodwill, Net 71342 57821 52854 51173  Intangibles, Net 40711 25081 23019 20187  Long Term Investments 63667 49527 17266 11430  Note Receivable - Long Term - - 113 605  Other Long Term Assets, Total - 1 1 7125  Other Assets, Total -13502 -7219 -10895 -","Property/Plant/Equipment, Total - Net 19034 12540 12198 9774  Property/Plant/Equipment, Total - Gross - - 20616 14999  Accumulated Depreciation, Total - - -8419 -5225  Goodwill, Net 71342 57821 52854 51173  Intangibles, Net 40711 25081 23019 20187  Long Term Investments 63667 49527 17266 11430  Note Receivable - Long Term - - 113 605  Other Long Term Assets, Total - 1 1 7125  Other Assets, Total -13502 -7219 -10895 -","Property/Plant/Equipment, Total - Net 19034 12540 12198 9774  Property/Plant/Equipment, Total - Gross - - 20616 14999  Accumulated Depreciation, Total - - -8419 -5225  Goodwill, Net 71342 57821 52854 51173  Intangibles, Net 40711 25081 23019 20187  Long Term Investments 63667 49527 17266 11430  Note Receivable - Long Term - - 113 605  Other Long Term Assets, Total - 1 1 7125  Other Assets, Total -13502 -7219 -10895 -","Property/Plant/Equipment, Total - Net 19034 12540 12198 9774  Property/Plant/Equipment, Total - Gross - - 20616 14999  Accumulated Depreciation, Total - - -8419 -5225  Goodwill, Net 71342 57821 52854 51173  Intangibles, Net 40711 25081 23019 20187  Long Term Investments 63667 49527 17266 11430  Note Receivable - Long Term - - 113 605  Other Long Term Assets, Total - 1 1 7125  Other Assets, Total -13502 -7219 -10895 -","Property/Plant/Equipment, Total - Net 19034 12540 12198 9774  Property/Plant/Equipment, Total - Gross - - 20616 14999  Accumulated Depreciation, Total - - -8419 -5225  Goodwill, Net 71342 57821 52854 51173  Intangibles, Net 40711 25081 23019 20187  Long Term Investments 63667 49527 17266 11430  Note Receivable - Long Term - - 113 605  Other Long Term Assets, Total - 1 1 7125  Other Assets, Total -13502 -7219 -10895 -"
"Property/Plant/Equipment, Total - Net",19034,12540,12198,9774
"Property/Plant/Equipment, Total - Gross",-,-,20616,14999
"Accumulated Depreciation, Total",-,-,-8419,-5225
"Goodwill, Net",71342,57821,52854,51173
"Intangibles, Net",40711,25081,23019,20187
Long Term Investments,63667,49527,17266,11430
Note Receivable - Long Term,-,-,113,605
"Other Long Term Assets, Total",-,1,1,7125
"Other Assets, Total",-13502,-7219,-10895,-
Total Current Liabilities,59580,57216,50308,38144
"Accounts Payable 32864 28978 20557 5484  Payable/Accrued - 28978 - -  Accrued Expenses - 2248 2159 10053  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2927 3598 2560  Other Current liabilities, Total 26716 23063 23994 20047","Accounts Payable 32864 28978 20557 5484  Payable/Accrued - 28978 - -  Accrued Expenses - 2248 2159 10053  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2927 3598 2560  Other Current liabilities, Total 26716 23063 23994 20047","Accounts Payable 32864 28978 20557 5484  Payable/Accrued - 28978 - -  Accrued Expenses - 2248 2159 10053  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2927 3598 2560  Other Current liabilities, Total 26716 23063 23994 20047","Accounts Payable 32864 28978 20557 5484  Payable/Accrued - 28978 - -  Accrued Expenses - 2248 2159 10053  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2927 3598 2560  Other Current liabilities, Total 26716 23063 23994 20047","Accounts Payable 32864 28978 20557 5484  Payable/Accrued - 28978 - -  Accrued Expenses - 2248 2159 10053  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 2927 3598 2560  Other Current liabilities, Total 26716 23063 23994 20047"
Accounts Payable,32864,28978,20557,5484
Payable/Accrued,-,28978,-,-
Accrued Expenses,-,2248,2159,10053
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,-,2927,3598,2560
"Other Current liabilities, Total",26716,23063,23994,20047
Total Liabilities,91127,82028,65863,55728
"Total Long Term Debt - 5370 5420 3533  Long Term Debt - - 1008 1140  Capital Lease Obligations - 5370 5420 3533  Deferred Income Tax 16805 13479 5132 4194  Minority Interest 6888 6113 7447 5490  Other Liabilities, Total 7854 -150 -2444 4367","Total Long Term Debt - 5370 5420 3533  Long Term Debt - - 1008 1140  Capital Lease Obligations - 5370 5420 3533  Deferred Income Tax 16805 13479 5132 4194  Minority Interest 6888 6113 7447 5490  Other Liabilities, Total 7854 -150 -2444 4367","Total Long Term Debt - 5370 5420 3533  Long Term Debt - - 1008 1140  Capital Lease Obligations - 5370 5420 3533  Deferred Income Tax 16805 13479 5132 4194  Minority Interest 6888 6113 7447 5490  Other Liabilities, Total 7854 -150 -2444 4367","Total Long Term Debt - 5370 5420 3533  Long Term Debt - - 1008 1140  Capital Lease Obligations - 5370 5420 3533  Deferred Income Tax 16805 13479 5132 4194  Minority Interest 6888 6113 7447 5490  Other Liabilities, Total 7854 -150 -2444 4367","Total Long Term Debt - 5370 5420 3533  Long Term Debt - - 1008 1140  Capital Lease Obligations - 5370 5420 3533  Deferred Income Tax 16805 13479 5132 4194  Minority Interest 6888 6113 7447 5490  Other Liabilities, Total 7854 -150 -2444 4367"
Total Long Term Debt,-,5370,5420,3533
Long Term Debt,-,-,1008,1140
Capital Lease Obligations,-,5370,5420,3533
Deferred Income Tax,16805,13479,5132,4194
Minority Interest,6888,6113,7447,5490
"Other Liabilities, Total",7854,-150,-2444,4367
Total Equity,309518,263953,207260,166111
