Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Current Assets,1925.29,1249.08,1319.19,1302.08
"Cash and Short Term Investments 1039.96 389.85 593.93 632.23  Cash - - - -  Cash & Equivalents 1039.96 389.85 593.93 632.23  Short Term Investments - - - -  Total Receivables, Net 443.9 464.75 - 440.5  Accounts Receivables - Trade, Net 443.9 464.75 - 439.93  Total Inventory 260.28 218.1 119.74 105.03  Prepaid Expenses - 97.54 67.31 52.82  Other Current Assets, Total 181.14 176.38 144.2 71.5","Cash and Short Term Investments 1039.96 389.85 593.93 632.23  Cash - - - -  Cash & Equivalents 1039.96 389.85 593.93 632.23  Short Term Investments - - - -  Total Receivables, Net 443.9 464.75 - 440.5  Accounts Receivables - Trade, Net 443.9 464.75 - 439.93  Total Inventory 260.28 218.1 119.74 105.03  Prepaid Expenses - 97.54 67.31 52.82  Other Current Assets, Total 181.14 176.38 144.2 71.5","Cash and Short Term Investments 1039.96 389.85 593.93 632.23  Cash - - - -  Cash & Equivalents 1039.96 389.85 593.93 632.23  Short Term Investments - - - -  Total Receivables, Net 443.9 464.75 - 440.5  Accounts Receivables - Trade, Net 443.9 464.75 - 439.93  Total Inventory 260.28 218.1 119.74 105.03  Prepaid Expenses - 97.54 67.31 52.82  Other Current Assets, Total 181.14 176.38 144.2 71.5","Cash and Short Term Investments 1039.96 389.85 593.93 632.23  Cash - - - -  Cash & Equivalents 1039.96 389.85 593.93 632.23  Short Term Investments - - - -  Total Receivables, Net 443.9 464.75 - 440.5  Accounts Receivables - Trade, Net 443.9 464.75 - 439.93  Total Inventory 260.28 218.1 119.74 105.03  Prepaid Expenses - 97.54 67.31 52.82  Other Current Assets, Total 181.14 176.38 144.2 71.5","Cash and Short Term Investments 1039.96 389.85 593.93 632.23  Cash - - - -  Cash & Equivalents 1039.96 389.85 593.93 632.23  Short Term Investments - - - -  Total Receivables, Net 443.9 464.75 - 440.5  Accounts Receivables - Trade, Net 443.9 464.75 - 439.93  Total Inventory 260.28 218.1 119.74 105.03  Prepaid Expenses - 97.54 67.31 52.82  Other Current Assets, Total 181.14 176.38 144.2 71.5"
Cash and Short Term Investments,1039.96,389.85,593.93,632.23
Cash,-,-,-,-
Cash & Equivalents,1039.96,389.85,593.93,632.23
Short Term Investments,-,-,-,-
"Total Receivables, Net",443.9,464.75,-,440.5
"Accounts Receivables - Trade, Net",443.9,464.75,-,439.93
Total Inventory,260.28,218.1,119.74,105.03
Prepaid Expenses,-,97.54,67.31,52.82
"Other Current Assets, Total",181.14,176.38,144.2,71.5
Total Assets,7826.19,7122.07,7216.16,7081.02
